year,vingt - deux mètres
1935,1.8569235038512488e-08
1936,1.0737834621465936e-08
1937,2.0921385512906454e-08
1938,1.147528916334295e-08
1939,5.082652521082309e-09
1940,5.629229971049199e-09
1941,9.842890946742955e-09
1942,1.6821976700498453e-08
1943,1.926823700593161e-08
1944,3.5494505112865227e-09
1945,1.2014810479854532e-08
1946,1.2317887154722484e-08
1947,2.633565587828457e-09
1948,1.3235271656419911e-08
1949,2.055054260097222e-08
1950,1.2939040061610285e-08
1951,1.0619153556490346e-08
1952,7.008169156108579e-09
1953,1.6671565461479076e-08
1954,2.4855463465200955e-08
1955,1.7659305129313907e-08
1956,1.0611580059105563e-08
1957,1.1734531568663442e-08
1958,1.4638269263400616e-08
1959,1.800627202896976e-08
1960,1.071471211755437e-08
1961,3.373976881215768e-08
1962,1.1190812942984962e-08
1963,1.7117239181629884e-08
1964,2.214733285654802e-08
1965,1.8101590670838164e-08
1966,2.4442298851568012e-08
1967,1.140696165302657e-08
1968,1.3834616119368093e-08
1969,4.243829465622184e-08
1970,8.092603920317742e-09
1971,6.23296569912668e-09
1972,1.3001909771048759e-08
1973,6.093281434971232e-09
1974,9.328934957864021e-09
1975,1.2631133472496003e-08
1976,1.3885009586545038e-08
1977,1.688611883654545e-08
1978,1.5049980095493964e-08
1979,9.662167954616052e-09
1980,1.3149501043585587e-08
1981,1.6710782535511726e-08
1982,1.568304330845649e-08
1983,1.3189669800794945e-08
1984,1.910439439978262e-08
1985,1.1234303265439394e-08
1986,5.925189450195489e-09
1987,1.1413255229797414e-08
1988,1.7123115980677284e-08
1989,1.6275077285854422e-08
1990,1.432798923950429e-08
1991,1.0287879881332174e-08
1992,1.2673575078281374e-08
1993,2.365767931555851e-08
1994,2.655750258595546e-08
1995,1.8972345527945578e-08
1996,2.1000715222374566e-08
1997,1.9366689696376227e-08
1998,1.768870383500598e-08
1999,1.5952456411394422e-08
2000,1.0116440463114884e-08
2001,1.4810146886645725e-08
2002,1.0501361558112876e-08
2003,1.7244142114236638e-08
2004,1.5349291615507354e-08
2005,1.7167274379836783e-08
2006,1.6603447866581078e-08
2007,1.5706887207533882e-08
2008,2.138465449164073e-08
2009,2.399220444537775e-08
2010,2.174282431877117e-08
2011,3.0214270974049384e-08
2012,3.224626121678398e-08
2013,2.2793438581025782e-08
2014,3.209507948298551e-08
2015,3.30941246629024e-08
2016,3.39288220851941e-08
2017,2.5937883729731936e-08
2018,3.03689354774761e-08
2019,1.897775739334584e-08
