year,ses_DET yeux_NOUN
1913,2.3600955387337308e-05
1914,2.313256209163228e-05
1915,2.030414259479585e-05
1916,2.251770524708263e-05
1917,2.385964899076498e-05
1918,2.3923824073790456e-05
1919,2.4282016966026276e-05
1920,2.517615621400182e-05
1921,2.6653041459212545e-05
1922,3.0297491548481048e-05
1923,2.939556088676909e-05
1924,2.855623733921675e-05
1925,2.9337639489313005e-05
1926,2.8118362706663902e-05
1927,3.374758989593829e-05
1928,2.7269389647699427e-05
1929,2.776300607365556e-05
1930,2.4234965167124756e-05
1931,2.3296581730392063e-05
1932,2.393891554675065e-05
1933,2.244120264549565e-05
1934,2.2078457845964294e-05
1935,2.3255572386915446e-05
1936,2.2744752413927927e-05
1937,2.2588465981243644e-05
1938,2.350593445044069e-05
1939,2.29762515573384e-05
1940,1.739293509217532e-05
1941,2.465980355736974e-05
1942,2.3460526108465274e-05
1943,2.7197506824450102e-05
1944,2.7729797238862375e-05
1945,2.97910421522829e-05
1946,2.959905191346479e-05
1947,3.0138346346575418e-05
1948,2.7695046355802333e-05
1949,2.4242120616690954e-05
1950,2.7718941964849364e-05
1951,2.5707837721711257e-05
1952,2.4764471390881226e-05
1953,2.3633466980754747e-05
1954,2.6442529133419157e-05
1955,2.31815120059764e-05
1956,2.5506723432044964e-05
1957,2.3631075919183786e-05
1958,2.4361757141377893e-05
1959,2.289880944772449e-05
1960,2.5553100158504094e-05
1961,2.5488627443337464e-05
1962,2.5705852294777287e-05
1963,2.5544142999933683e-05
1964,2.467475110279338e-05
1965,2.3595450784341665e-05
1966,2.5762790528460755e-05
1967,2.5816222660068888e-05
1968,2.613464971545909e-05
1969,2.1883551198698115e-05
1970,2.1228174318821402e-05
1971,2.3115081603464205e-05
1972,2.1097216290399956e-05
1973,1.9676624333442305e-05
1974,1.6812583908176748e-05
1975,1.6530736729691853e-05
1976,1.7641657564126945e-05
1977,1.7709094777274004e-05
1978,1.9831475924547703e-05
1979,2.041987602297013e-05
1980,1.982355286145321e-05
1981,2.0960341089448775e-05
1982,2.1080677015561378e-05
1983,2.0978848624508828e-05
1984,2.1018505776737584e-05
1985,2.078615830214403e-05
1986,2.2094474616096704e-05
1987,2.1305974087226787e-05
1988,2.1288365132932086e-05
1989,2.1377883058448788e-05
1990,2.0478209876273468e-05
1991,2.0018662212351046e-05
1992,2.095762340559304e-05
1993,2.2123041162558366e-05
1994,2.1615593823298695e-05
1995,2.2442982299253345e-05
1996,2.0995250793021114e-05
1997,2.1406326141004683e-05
1998,2.237682974737254e-05
1999,2.15448421840847e-05
2000,2.149902434211981e-05
2001,2.216279722233594e-05
2002,2.341149456697167e-05
2003,2.3864384502303437e-05
2004,2.387969561823411e-05
2005,2.418468466203194e-05
2006,2.7035594030166976e-05
2007,3.5550069696910214e-05
2008,3.8624769786110846e-05
2009,4.330901447247015e-05
2010,5.668835001415573e-05
2011,6.225770448509138e-05
2012,7.59090453357203e-05
2013,8.730100580578437e-05
2014,9.296148164139595e-05
2015,9.480293101660209e-05
2016,9.763862180989236e-05
2017,9.928338113240898e-05
2018,0.00010974718134093564
2019,0.00010427391862322111
