year,excellents_ADJ effets_NOUN
1940,6.593035806190528e-08
1941,3.836953510472085e-08
1942,3.034211815133858e-08
1943,8.129058670647282e-08
1944,5.1410978585408884e-08
1945,5.446259976338297e-08
1946,3.7586982415405146e-08
1947,6.914105199484766e-08
1948,3.587722829934137e-08
1949,3.141442661558358e-08
1950,3.296961992305114e-08
1951,3.731490494374157e-08
1952,3.690681538159879e-08
1953,3.124409886368085e-08
1954,3.518113089739927e-08
1955,3.472674947602172e-08
1956,2.9651880950609666e-08
1957,3.975766915687018e-08
1958,3.060729980575161e-08
1959,4.5729411368711226e-08
1960,2.629916728835724e-08
1961,3.821487482014163e-08
1962,1.7123282347597524e-08
1963,2.2631185814248056e-08
1964,1.9468698653213323e-08
1965,2.0793764932136583e-08
1966,2.1602390987141007e-08
1967,1.429797347185513e-08
1968,2.5601069708613977e-08
1969,2.1346261647181564e-08
1970,2.0234390163409444e-08
1971,1.849823050292798e-08
1972,2.205963234302999e-08
1973,1.598829157956061e-08
1974,1.4626486688484874e-08
1975,8.567219822452898e-09
1976,8.570290255249802e-09
1977,1.704266772151186e-08
1978,5.940591130126904e-09
1979,1.521513048885481e-08
1980,1.5349906234973787e-08
1981,1.2018544381930951e-08
1982,1.3656505259973528e-08
1983,8.841442245000053e-09
1984,1.333771937339634e-08
1985,9.624892882698077e-09
1986,8.392279760016663e-09
1987,1.099947066762752e-08
1988,5.396898483667201e-09
1989,9.329808037250586e-09
1990,9.262707045820662e-09
1991,1.1136783939491579e-08
1992,6.61193322315512e-09
1993,1.3294098266669607e-08
1994,8.967375286772494e-09
1995,9.760411145975922e-09
1996,8.540947504798169e-09
1997,1.3425704992187093e-08
1998,8.582632382569955e-09
1999,7.312321859131998e-09
2000,9.719669513685858e-09
2001,6.571817756650944e-09
2002,7.886198361006791e-09
2003,1.0000615446870142e-08
2004,1.1011977996133737e-08
2005,7.656374201303606e-09
2006,6.58862386870851e-09
2007,5.192823504529542e-09
2008,8.51487946817997e-09
2009,9.059565542202108e-09
2010,8.030448306328708e-09
2011,3.823971805871906e-09
2012,5.7872298064864935e-09
2013,8.925200134513034e-09
2014,9.744502982300673e-09
2015,8.422986752520956e-09
2016,2.1749070100440804e-08
2017,5.0312225496895735e-09
2018,7.228107001822082e-09
2019,5.867272001580659e-09
