year,leurs_DET yeux_NOUN
1901,5.618359139702989e-06
1902,4.809131809224709e-06
1903,5.350538046400288e-06
1904,5.377849745968888e-06
1905,5.29803500626258e-06
1906,5.6514010111641255e-06
1907,5.253414613548557e-06
1908,5.508122782771352e-06
1909,5.658861624624478e-06
1910,5.772751791255359e-06
1911,5.445402905479568e-06
1912,5.536052142929293e-06
1913,5.497078944927125e-06
1914,5.846257309372049e-06
1915,6.671445305528323e-06
1916,7.447301811680518e-06
1917,7.154495364147806e-06
1918,7.353578212132561e-06
1919,6.3018513287715905e-06
1920,5.950259492237819e-06
1921,5.568241164155552e-06
1922,6.1627897025573475e-06
1923,5.984209821008335e-06
1924,5.611723992160478e-06
1925,5.682758427383305e-06
1926,5.678957307964083e-06
1927,5.970409915789787e-06
1928,5.125721969534425e-06
1929,5.063314688413811e-06
1930,4.903082214013921e-06
1931,4.790249903408039e-06
1932,4.917544231375359e-06
1933,4.379498975026763e-06
1934,4.3181616291576574e-06
1935,4.579065503662605e-06
1936,4.846248373269191e-06
1937,4.605831122717063e-06
1938,4.632471146237549e-06
1939,4.39856890466217e-06
1940,4.260115233023498e-06
1941,4.6722286128897395e-06
1942,4.9275597007181204e-06
1943,6.015503146272749e-06
1944,5.986165916738173e-06
1945,6.271913093769399e-06
1946,6.075169750374698e-06
1947,5.713673502327765e-06
1948,5.45116452599359e-06
1949,4.742596530604715e-06
1950,5.162404477232485e-06
1951,4.812556966271586e-06
1952,4.659748796598251e-06
1953,4.889162880772346e-06
1954,4.985947697377924e-06
1955,4.573606773305983e-06
1956,4.873373939062731e-06
1957,4.605705186122577e-06
1958,4.650655228033429e-06
1959,4.606269556006737e-06
1960,4.7802194416135535e-06
1961,4.99155743227675e-06
1962,5.076736243836422e-06
1963,5.1547377779570525e-06
1964,5.066728732572301e-06
1965,5.023335830856013e-06
1966,5.069361179721454e-06
1967,5.408577976595552e-06
1968,5.911152186399704e-06
1969,5.074505779134597e-06
1970,5.035604004888228e-06
1971,5.311047743816744e-06
1972,4.816694698206447e-06
1973,4.532956154434942e-06
1974,4.439138692191591e-06
1975,4.140252087836416e-06
1976,4.138307446055478e-06
1977,4.280060238670558e-06
1978,4.67227499711953e-06
1979,4.779891838779804e-06
1980,4.579957476380514e-06
1981,4.632199789966762e-06
1982,4.680456626715568e-06
1983,4.6935427491234805e-06
1984,4.9175592380379385e-06
1985,4.870797340572608e-06
1986,5.07313292530398e-06
1987,4.871543183071481e-06
1988,4.831423510154309e-06
1989,5.096819222671911e-06
1990,4.922311106270172e-06
1991,5.182121228131109e-06
1992,5.308280250915232e-06
1993,5.2051934034125225e-06
1994,5.308158563366305e-06
1995,5.491858274808692e-06
1996,5.3023267696517e-06
1997,5.610506050857111e-06
1998,5.7556086261456585e-06
1999,5.572903276629404e-06
2000,5.7805523425713545e-06
2001,5.735882581348051e-06
2002,5.925602266643182e-06
2003,5.913696980996974e-06
2004,6.121778795886712e-06
2005,6.043131406840985e-06
2006,6.222131645472473e-06
2007,6.366800676005369e-06
2008,6.497704362118384e-06
2009,6.932951862381742e-06
2010,7.4834328529505e-06
2011,7.442978869676153e-06
2012,8.761184346894879e-06
2013,9.546896023948648e-06
2014,9.69729649114015e-06
2015,9.496695838606684e-06
2016,9.80116669779818e-06
2017,9.753528217970597e-06
2018,9.9389051797516e-06
2019,9.215188526923157e-06
