year,certains_DET auteurs_NOUN
2003,5.753686991738505e-06
2004,5.372964324124041e-06
2005,5.357660484150983e-06
2006,5.095065148452704e-06
2007,4.654367444345553e-06
2008,4.866679432780074e-06
2009,4.986575845578045e-06
2010,4.543344061858079e-06
2011,4.230077820466249e-06
2012,3.914550120498461e-06
2013,4.0871838109524106e-06
2014,2.866832915060513e-06
2015,3.468497197900433e-06
2016,2.907747045810538e-06
2017,3.2682822848073556e-06
2018,3.0592960911235423e-06
2019,2.5966504040297878e-06
