year,six_DET auteurs_NOUN
1942,1.517105907566929e-08
1943,2.9032352077962287e-09
1944,1.2852744646352221e-08
1945,6.535512131478072e-09
1946,1.5313214696277555e-08
1947,7.152522574216391e-09
1948,3.2615663503321457e-09
1949,2.945102384188658e-09
1950,2.446133051670074e-08
1951,9.595261474260042e-09
1952,8.435843135146115e-09
1953,1.7238124039309355e-08
1954,1.3681551003230652e-08
1955,2.2525459275613002e-08
1956,2.2674967681268754e-08
1957,2.1204090039361745e-08
1958,1.9853383825818582e-08
1959,3.1002990952266885e-08
1960,2.4222917227589846e-08
1961,2.431855783413539e-08
1962,1.77574772664002e-08
1963,2.392439668597035e-08
1964,2.2510682873289056e-08
1965,2.6265808472647478e-08
1966,2.1602390987141007e-08
1967,3.3526282194884516e-08
1968,1.7965663401398047e-08
1969,2.40713171617557e-08
1970,2.161400769473687e-08
1971,2.5178148455040628e-08
1972,2.9754851360586088e-08
1973,2.9219980657302358e-08
1974,2.7002743374637816e-08
1975,1.6563292515314743e-08
1976,3.6566571104401646e-08
1977,2.938390863960194e-08
1978,3.148513472162051e-08
1979,2.0481906837233055e-08
1980,2.330911752501663e-08
1981,2.846497215713839e-08
1982,2.7313010075857846e-08
1983,3.157658090557902e-08
1984,3.943325666000419e-08
1985,4.271046272208423e-08
1986,4.855533219938479e-08
1987,4.583112822587054e-08
1988,5.097070765458511e-08
1989,4.006329046291057e-08
1990,3.323677177924367e-08
1991,5.5683920585636315e-08
1992,2.975369906010883e-08
1993,5.096070809784692e-08
1994,5.01118035955983e-08
1995,3.7957153864454085e-08
1996,4.3238546965085334e-08
1997,5.6100263989833365e-08
1998,4.86349165385036e-08
1999,2.69641859951264e-08
2000,5.12491649118374e-08
2001,3.417345251222059e-08
2002,3.636413881125122e-08
2003,4.000246089930215e-08
2004,3.611928844904355e-08
2005,3.693074779320682e-08
2006,4.406142295465543e-08
2007,2.3966877593650793e-08
2008,3.27822857748572e-08
2009,3.1946890466372224e-08
2010,1.5116137341841807e-08
2011,1.529588808391047e-08
2012,1.1914884523456237e-08
2013,1.171432484348145e-08
2014,1.212649292092749e-08
2015,9.752931795503628e-09
2016,9.94243232188552e-09
2017,9.810883938587978e-09
2018,1.3681773047835577e-08
2019,5.3570741176400816e-09
