year,nos_DET yeux_NOUN
1901,8.385344294481456e-06
1902,7.416492834977362e-06
1903,8.470785459735453e-06
1904,8.585963442442335e-06
1905,8.184963483870433e-06
1906,8.367530661246292e-06
1907,8.19460632328628e-06
1908,8.695614482689962e-06
1909,8.584834574776323e-06
1910,8.559192082202571e-06
1911,8.907902184773775e-06
1912,8.978958121019787e-06
1913,9.10152148492216e-06
1914,8.823629272569633e-06
1915,8.644723536122001e-06
1916,9.62062222242821e-06
1917,9.812756900373643e-06
1918,9.832338051296574e-06
1919,9.184828712704984e-06
1920,9.478919949401643e-06
1921,8.81543545006025e-06
1922,9.007720976228484e-06
1923,8.983215664670752e-06
1924,9.0202692888397e-06
1925,8.975613127404358e-06
1926,8.610392384866827e-06
1927,8.767750401261765e-06
1928,8.118201989759655e-06
1929,8.275094188547882e-06
1930,7.80207643202857e-06
1931,7.849166237861027e-06
1932,7.5302974948954216e-06
1933,7.602754919844301e-06
1934,7.63106849177575e-06
1935,7.551987522447234e-06
1936,7.590071305685342e-06
1937,7.3041076760205215e-06
1938,7.464074172958135e-06
1939,7.460437970507883e-06
1940,6.704609909036208e-06
1941,7.124927186907826e-06
1942,8.149893261588659e-06
1943,8.280026918328076e-06
1944,8.505304180062012e-06
1945,9.670379526482975e-06
1946,8.466815728525035e-06
1947,8.95734285677463e-06
1948,8.227845071928641e-06
1949,7.115367480992063e-06
1950,8.054159067683031e-06
1951,7.762566767155477e-06
1952,6.6811879122496975e-06
1953,7.559994841699336e-06
1954,7.83268775705892e-06
1955,7.783484548440356e-06
1956,7.3868069705440575e-06
1957,6.826833754303152e-06
1958,6.7939937267169626e-06
1959,6.37188993835025e-06
1960,7.019801145702331e-06
1961,7.676326291061741e-06
1962,7.448627741268865e-06
1963,7.558816079722419e-06
1964,7.12311029360535e-06
1965,8.326261109914412e-06
1966,6.952646430136156e-06
1967,7.381205449519257e-06
1968,8.217494340101439e-06
1969,6.979773317539184e-06
1970,7.182748532841288e-06
1971,7.380280479196699e-06
1972,7.078063688936709e-06
1973,6.50613158370561e-06
1974,5.945666565310148e-06
1975,5.897674405730413e-06
1976,5.9557802742915555e-06
1977,6.507948135947572e-06
1978,6.297620792850012e-06
1979,6.562403136456396e-06
1980,6.261056391565489e-06
1981,6.0712625185033176e-06
1982,6.534017046533336e-06
1983,6.366470188368112e-06
1984,6.316280085627568e-06
1985,6.177376668858869e-06
1986,6.270831391930187e-06
1987,6.392525470744204e-06
1988,5.99415536584047e-06
1989,6.133525445761734e-06
1990,6.249602449770464e-06
1991,6.2184283819988195e-06
1992,6.165076456454699e-06
1993,6.722382060786458e-06
1994,6.2650305352462965e-06
1995,6.414759170070283e-06
1996,6.02136786653773e-06
1997,6.261652920613869e-06
1998,6.09891426250897e-06
1999,6.080652624973482e-06
2000,6.217937311703281e-06
2001,5.895358569318887e-06
2002,6.1713887546943624e-06
2003,6.476231561691748e-06
2004,5.8213720137700875e-06
2005,5.889553527538283e-06
2006,6.120419556054912e-06
2007,5.8782760135045464e-06
2008,5.627058158097498e-06
2009,5.982174187124656e-06
2010,5.559904394658588e-06
2011,5.349736866833155e-06
2012,5.767144472201835e-06
2013,5.7467133558475325e-06
2014,6.203134205406968e-06
2015,6.518504733321606e-06
2016,7.344971635347974e-06
2017,6.1911709963169415e-06
2018,6.474060427308359e-06
2019,6.46802922688039e-06
