year,meilleurs_ADJ effets_NOUN
1986,3.5367463624425e-08
1987,4.6442206524943686e-08
1988,3.358070088665954e-08
1989,4.664903840989609e-08
1990,4.6858399826987807e-08
1991,3.165191131415668e-08
1992,4.022259147973273e-08
1993,4.819110444032049e-08
1994,4.114442830882581e-08
1995,4.337960746170211e-08
1996,3.4697599460287165e-08
1997,4.5072006571444945e-08
1998,5.197260932732206e-08
1999,5.347135356714716e-08
2000,4.771473882669852e-08
2001,4.2935877075933604e-08
2002,3.855474872693776e-08
2003,5.458668894675611e-08
2004,6.12266006783102e-08
2005,4.3686370077011816e-08
2006,3.417848759568187e-08
2007,4.154258803623634e-08
2008,4.2148652568130274e-08
2009,5.054284102357087e-08
2010,3.495607003856094e-08
2011,3.9004515173246546e-08
2012,3.608507981311959e-08
2013,2.872798710029656e-08
2014,4.1143458417991496e-08
2015,3.3913604369217865e-08
2016,4.76408210658974e-08
2017,3.5721679836342446e-08
2018,4.569196221382299e-08
2019,3.4948531180134523e-08
