year,en_ADP os_NOUN,en_ADP bosse_NOUN
1970,1.222800960931636e-06,7.679870606125405e-08
1971,1.7599011243873974e-06,7.861748230197918e-08
1972,1.5575126326439204e-06,7.079602681869801e-08
1973,1.1406818885006942e-06,8.600597567465229e-08
1974,1.7388641708748764e-06,6.019361364906217e-08
1975,1.2902233947897912e-06,9.366827669055056e-08
1976,1.7266278291572235e-06,6.284879816575994e-08
1977,1.6167026615221403e-06,9.814225876425553e-08
1978,2.081583261315245e-06,7.603956930779532e-08
1979,1.7778295386960963e-06,6.086052195541924e-08
1980,1.6083291711765924e-06,5.798853663918635e-08
1981,1.7300377521678456e-06,5.2502059588732664e-08
1982,1.5655321021768032e-06,5.897127053344775e-08
1983,1.5497785170737188e-06,8.778289384281379e-08
1984,1.8377057813268038e-06,6.72685018798802e-08
1985,1.6422472981503233e-06,9.504582010322338e-08
1986,1.8061384707834804e-06,3.896415634585537e-08
1987,1.6627532204438467e-06,6.049708645150531e-08
1988,1.8031637409876566e-06,4.4374498742172364e-08
1989,1.5630172356395633e-06,5.7625282323670035e-08
1990,1.671101244937745e-06,4.6858399826987807e-08
1991,1.4284390772445477e-06,8.381895355569213e-08
1992,1.8645650925463997e-06,4.958949872957419e-08
1993,1.60249271630164e-06,5.428423222042511e-08
1994,1.7618255014895112e-06,5.749669895749321e-08
1995,1.6858399476404884e-06,5.259777324795323e-08
1996,1.672958092058252e-06,5.4982351116450445e-08
1997,1.7808238226280082e-06,4.6030987022049885e-08
1998,1.567284130032931e-06,5.9124801055077114e-08
1999,1.5643798860764946e-06,4.844413226123834e-08
2000,1.7544002730573993e-06,4.5063920595111995e-08
2001,1.42038891226548e-06,4.2935877075933604e-08
2002,1.5364943237727857e-06,4.4250338504525644e-08
2003,1.513426354904368e-06,5.708684369665207e-08
2004,1.4469738971456536e-06,5.329797403419434e-08
2005,1.4461539876720053e-06,7.521261835563564e-08
2006,1.469674884901906e-06,6.135655894468073e-08
2007,1.6013867707442841e-06,4.234148320847453e-08
2008,1.9469271137495525e-06,3.363377487630714e-08
2009,1.8090522644342855e-06,2.62250594573743e-08
2010,1.752527168719098e-06,4.6765549654992355e-08
2011,1.8171514284404111e-06,2.982698177333987e-08
2012,1.9441686163190752e-06,3.43829533733242e-08
2013,1.9507140223140595e-06,3.8211013020372775e-08
2014,1.99026067093655e-06,3.8978011929202694e-08
2015,2.0600850803020876e-06,3.879006982288047e-08
2016,1.974815631911042e-06,5.1990635796528295e-08
2017,1.9020537820324535e-06,2.440143020976393e-08
2018,2.1023465706093702e-06,2.7621693377000156e-08
2019,1.9823726233880734e-06,3.086695343768042e-08
