year,aucun_DET os_NOUN
1875,2.345826111138649e-08
1876,3.7485292869732234e-08
1877,4.638612016716337e-08
1878,3.01954443671093e-08
1879,3.237942403089278e-08
1880,1.8611753915820373e-08
1881,2.4403776777148778e-08
1882,1.8635077481121698e-08
1883,3.096476097752543e-08
1884,2.6406788755650723e-08
1885,1.933690674249533e-08
1886,1.677900562935264e-08
1887,2.285123690271007e-08
1888,5.0090857239837305e-08
1889,2.5687060478674084e-08
1890,2.4906668727453507e-08
1891,1.466070642663908e-08
1892,2.820830635741345e-08
1893,3.0792081995301146e-08
1894,2.8356927694872525e-08
1895,1.9861427391631992e-08
1896,4.363801486828578e-08
1897,6.11804917838299e-08
1898,2.1501748825869527e-08
1899,1.2713430308508578e-08
1900,1.557315876254961e-08
1901,1.844283858964957e-08
1902,1.129365245766678e-08
1903,1.1880484152015924e-08
1904,2.042357483134083e-08
1905,2.4255567332431838e-08
1906,4.166789580040131e-08
1907,2.5199931641406437e-08
1908,2.0627833663411366e-08
1909,3.245580249000568e-08
1910,1.977335761793597e-08
1911,1.649316017093838e-08
1912,1.719108988496032e-08
1913,1.9090762748419365e-08
1914,1.339348720819089e-08
1915,3.06299816621447e-08
1916,1.538244687182555e-08
1917,1.2063066989753679e-08
1918,1.8378202959468126e-08
1919,1.1970202717925815e-08
1920,1.2872794385998532e-08
1921,1.5902768879527684e-08
1922,1.2542490601674672e-08
1923,1.0615948120573648e-08
1924,9.024136882196387e-09
1925,1.429763174520815e-08
1926,2.7865346696742677e-08
1927,1.4493992228636898e-08
1928,1.828166551476329e-08
1929,1.1140406375176326e-08
1930,1.1553964229804592e-08
1931,1.7108034988666532e-08
1932,1.0959536500543265e-08
1933,2.982372215853957e-08
1934,1.0783422155213884e-08
1935,1.196828414151696e-08
1936,2.7886844389257703e-08
1937,3.399601977704947e-08
1938,1.2965214124527336e-08
1939,7.647025235257843e-09
1940,1.5214697057785997e-08
1941,2.3612021227137348e-08
1942,1.8205270180260413e-08
1943,2.6129116870166058e-08
1944,1.2852744646352221e-08
1945,1.3071024262956144e-08
1946,9.744772988540262e-09
1947,1.7881307101674793e-08
1948,1.4133454184772631e-08
1949,9.817008539414473e-09
1950,1.1698897850465073e-08
1951,1.7058243262368933e-08
1952,2.6362009464264702e-08
1953,1.2928592862948562e-08
1954,2.0522326282801373e-08
1955,1.9709777365761738e-08
1956,1.831439710997529e-08
1957,3.6223654298339625e-08
1958,1.9026160202884057e-08
1959,1.4726421193600459e-08
1960,1.038124963770315e-08
1961,2.570818891101112e-08
1962,1.3952303756781248e-08
1963,1.2932106052687686e-08
1964,1.3384730657151067e-08
1965,2.9001829382480082e-08
1966,1.3847686664014702e-08
1967,1.035370456037299e-08
1968,2.06605127450743e-08
1969,2.089208650524199e-08
1970,1.5175792400512478e-08
1971,2.209510840955886e-08
1972,1.8468528706350185e-08
1973,1.2129048487796723e-08
1974,8.438357346207681e-09
1975,1.3136404852787109e-08
1976,2.2282754308378117e-08
1977,1.3516598174057037e-08
1978,1.7821774056514528e-08
1979,1.2289144368793359e-08
1980,1.4781391444174119e-08
1981,1.391620929602766e-08
1982,1.1173503788874939e-08
1983,1.136756866415567e-08
1984,2.0296530678365343e-08
1985,1.3835783629900789e-08
1986,2.038125090919607e-08
1987,2.016569633500609e-08
1988,1.3792073927376691e-08
1989,1.9208427959327423e-08
1990,1.1442167435760098e-08
1991,1.4067516040938699e-08
1992,2.0937788391961476e-08
1993,1.2740176913439427e-08
1994,1.318731657207195e-08
1995,1.626735190995987e-08
1996,1.548046735244668e-08
1997,1.486417278151464e-08
1998,2.0502955555556923e-08
1999,1.9194844824710344e-08
2000,1.5463109903635086e-08
2001,1.1391150689377127e-08
2002,2.102986318419653e-08
2003,3.4168769147413514e-08
2004,2.07025183662779e-08
2005,2.5220997512676036e-08
2006,2.0177661097520172e-08
2007,2.1969636776475454e-08
2008,2.1287199114539135e-08
2009,2.28873242580363e-08
2010,2.3146585981237422e-08
2011,2.4855817404301206e-08
2012,2.5531895819774775e-08
2013,2.649668839893593e-08
2014,3.00996885194138e-08
2015,3.7238466088496125e-08
2016,2.6927421181710542e-08
2017,6.012311049019559e-08
2018,2.7363547427938784e-08
2019,2.6785372142512642e-08
