year,aucun_DET office_NOUN
1962,2.40994342814993e-08
1963,2.7157422977097667e-08
1964,3.285342969894245e-08
1965,3.3379464525751246e-08
1966,3.15727252120368e-08
1967,6.557346154956178e-08
1968,4.1770167102939126e-08
1969,7.31223032957029e-08
1970,5.2885338608366084e-08
1971,3.596878195288866e-08
1972,3.078088028907189e-08
1973,2.9771299980829724e-08
1974,3.712877388872826e-08
1975,3.940921455836133e-08
1976,3.485251509616205e-08
1977,2.6445518497286713e-08
1978,6.475244740400399e-08
1979,3.1600657757202555e-08
1980,3.06998135801706e-08
1981,3.985096341807548e-08
1982,3.414126181766619e-08
1983,3.220810995685497e-08
1984,3.537395265595933e-08
1985,2.8273122065769485e-08
1986,2.3378493918535526e-08
1987,2.0165695613361123e-08
1988,2.2187249093530426e-08
1989,4.39049770983857e-08
1990,3.105731050112581e-08
1991,2.813503263698891e-08
1992,3.085568756056034e-08
1993,3.600484765886591e-08
1994,1.89897358393587e-08
1995,1.9520823235641416e-08
1996,2.562284318052832e-08
1997,2.3494982626104388e-08
1998,2.765515016989184e-08
1999,2.2393985832369623e-08
2000,4.0645889987089845e-08
2001,4.205963399783741e-08
2002,2.4534840381562617e-08
2003,2.2084691242429955e-08
2004,2.5547788606861133e-08
2005,1.8014998492965617e-08
2006,2.923701919455013e-08
2007,3.475197024593868e-08
2008,3.1079310292003726e-08
2009,3.147007165971161e-08
2010,2.1257068827384984e-08
2011,1.873746299785317e-08
2012,2.0425516500388596e-08
2013,2.3428649853496353e-08
2014,2.6634976224571005e-08
2015,2.504730114982756e-08
2016,2.713455515834795e-08
2017,1.3332739939864169e-08
2018,2.1426173280048033e-08
2019,3.086695210541279e-08
