year,son_DET bélier_NOUN
1949,5.890204768377316e-09
1950,3.190608444114673e-09
1951,3.1984206394497505e-09
1952,3.1634410646574906e-09
1953,9.69644453618912e-09
1954,1.4658803948464083e-08
1955,2.1586897602787758e-08
1956,6.104799110673298e-09
1957,9.718541194025931e-09
1958,8.272243334772611e-09
1959,6.200598257066758e-09
1960,2.491499917489648e-08
1961,9.032606995695858e-09
1962,1.0781326054143392e-08
1963,5.1728425987107585e-09
1964,6.6923653285755336e-09
1965,1.3680108601477059e-08
1966,3.3234448526542337e-09
1967,9.367637221480152e-09
1968,1.8414804320299183e-08
1969,1.090021850558287e-08
1970,9.19744974625658e-09
1971,1.1304474023532407e-08
1972,2.0520587451500205e-09
1973,4.961883404153156e-09
1974,7.313243344242437e-09
1975,5.140332159925265e-09
1976,1.0284348483935446e-08
1977,1.1165885105413054e-08
1978,2.019801104147234e-08
1979,8.777960025518894e-09
1980,8.527726080842513e-09
1981,9.488324403950088e-09
1982,9.311253101884631e-09
1983,7.578379479511455e-09
1984,2.84151425167245e-08
1985,7.820225467192188e-09
1986,1.7983456501724504e-08
1987,1.2832715556854168e-08
1988,9.594485983477341e-09
1989,9.878619700032232e-09
1990,5.448650919337439e-09
1991,5.861465368628416e-09
1992,9.366904696328504e-09
1993,8.862731937231416e-09
1994,6.857404422078162e-09
1995,8.133676565602599e-09
1996,1.3879040139386234e-08
1997,1.1987236203658824e-08
1998,4.29131630230728e-09
1999,1.4167623435534793e-08
2000,1.369589786026637e-08
2001,9.638665865452367e-09
2002,6.5718323005725665e-09
2003,1.0000615280336689e-08
2004,7.488145353784503e-09
2005,1.0808999029165989e-08
2006,9.471146533712727e-09
2007,1.0385646675992177e-08
2008,8.94062307521537e-09
2009,1.3350938798950551e-08
2010,2.2201827765133686e-08
2011,1.4913490858914358e-08
2012,1.838296548317686e-08
2013,1.1993237514218436e-08
2014,2.0788274171512633e-08
2015,1.3299452719661708e-08
2016,1.4706514228635115e-08
2017,2.289206391115073e-08
2018,1.0842160003132761e-08
2019,1.2244740998923476e-08
