year,bon_ADJ office_NOUN
1951,7.143139413301469e-08
1952,4.8506098693223976e-08
1953,5.0636987936059086e-08
1954,6.352148318455875e-08
1955,3.9419553843345057e-08
1956,5.145473380707699e-08
1957,6.802979157782829e-08
1958,5.707848060865217e-08
1959,7.518225686453661e-08
1960,7.820541725322983e-08
1961,5.350082687982649e-08
1962,7.800606027785761e-08
1963,5.496145405459174e-08
1964,1.1498700303036458e-07
1965,1.034216197126625e-07
1966,1.0302679243068269e-07
1967,9.367637687773822e-08
1968,8.533690021295115e-08
1969,9.583109061850337e-08
1970,6.438214938953024e-08
1971,8.221435621180717e-08
1972,1.0208992051730092e-07
1973,6.781240813324985e-08
1974,4.050411561706824e-08
1975,6.282628106646371e-08
1976,5.370715427943651e-08
1977,4.58388988988645e-08
1978,8.019798514169452e-08
1979,6.203092084433592e-08
1980,6.424220089229493e-08
1981,3.6055631369436014e-08
1982,3.786576385778062e-08
1983,2.9050454486423405e-08
1984,3.885335786435462e-08
1985,3.0679345286444004e-08
1986,6.593933932208529e-08
1987,3.972030881982391e-08
1988,4.077656612366809e-08
1989,4.116091645300912e-08
1990,3.0512445903241314e-08
1991,4.9822453718206816e-08
1992,3.856960972825618e-08
1993,2.4372512896775334e-08
1994,3.112206670152773e-08
1995,3.145021310047014e-08
1996,2.5089033073300016e-08
1997,2.924885578181602e-08
1998,3.671459580800729e-08
1999,4.753009363867022e-08
2000,3.004261373007466e-08
2001,3.5487815353008045e-08
2002,4.381221430094229e-08
2003,4.333599790129483e-08
2004,4.8893184612097684e-08
2005,2.477062288619436e-08
2006,1.976587071794711e-08
2007,4.154258803623634e-08
2008,3.405951787271988e-08
2009,2.145686650578682e-08
2010,2.5980861906305108e-08
2011,2.562061141020422e-08
2012,3.029784778618705e-08
2013,6.052401602119062e-08
2014,4.33089049067803e-08
2015,6.05125052288713e-08
2016,6.876848601677921e-08
2017,1.8867085671558925e-08
2018,4.233605466197332e-08
2019,6.887666614829868e-08
