year,son_DET os_NOUN
1887,2.6115698048556624e-08
1888,2.4728397995943396e-08
1889,5.889228527067303e-08
1890,2.0974037617804697e-08
1891,2.1034925579144215e-08
1892,2.8835156040685206e-08
1893,3.695049954899332e-08
1894,4.096000538744704e-08
1895,1.9259566164109287e-08
1896,1.1794058174530164e-08
1897,4.77790516040244e-08
1898,1.640922964174507e-08
1899,2.1557555740514545e-08
1900,2.491705552998269e-08
1901,2.291382922292584e-08
1902,3.044376062355525e-08
1903,1.8900771392438287e-08
1904,3.547252447333449e-08
1905,1.8062656259587584e-08
1906,2.3148830408104004e-08
1907,3.08570609064418e-08
1908,2.603036208803644e-08
1909,3.740668930163338e-08
1910,2.8323997813828328e-08
1911,2.2345572059379037e-08
1912,3.386123859083767e-08
1913,2.969674245401066e-08
1914,1.607218563792756e-08
1915,3.769843803791417e-08
1916,1.5382446649780945e-08
1917,2.3029491202919417e-08
1918,5.858052087859278e-08
1919,2.025726569820918e-08
1920,4.770505901419142e-08
1921,3.559191341651058e-08
1922,2.5084981314371646e-08
1923,1.3800733000834953e-08
1924,2.707241186783449e-08
1925,3.849362206764795e-08
1926,5.127223712264595e-08
1927,3.0102906833917586e-08
1928,3.884854016256156e-08
1929,1.8938690837799754e-08
1930,3.256117209193832e-08
1931,2.3951248095954725e-08
1932,3.507051715700982e-08
1933,1.8353059516584835e-08
1934,4.193552882725271e-08
1935,3.829851102921111e-08
1936,3.6374144141149145e-08
1937,2.6441348555117372e-08
1938,4.019216370831913e-08
1939,2.7529290846928234e-08
1940,1.5214697723919812e-08
1941,4.7224041566096275e-08
1942,4.5513175450651033e-08
1943,1.7419411690866582e-08
1944,4.819779064746399e-08
1945,4.7927088075994106e-08
1946,3.897909195416105e-08
1947,5.602809238780537e-08
1948,5.653381518477829e-08
1949,3.239612667016445e-08
1950,5.743095043975188e-08
1951,4.797630870356784e-08
1952,3.9015773722894664e-08
1953,2.693456935265459e-08
1954,4.983993462381875e-08
1955,3.9419553843345057e-08
1956,3.5756678729015334e-08
1957,4.5058691722221766e-08
1958,3.22617488279775e-08
1959,4.2629114460623896e-08
1960,4.221708493901133e-08
1961,3.960450667417348e-08
1962,5.200404162852834e-08
1963,5.948769032926293e-08
1964,5.232212701988814e-08
1965,2.9001830270658502e-08
1966,4.3758689782791294e-08
1967,5.3247622977536935e-08
1968,5.030385830107065e-08
1969,4.632593059161749e-08
1970,4.184839710874577e-08
1971,2.7747345754391972e-08
1972,4.822338073307009e-08
1973,3.25279031487824e-08
1974,3.656621505587765e-08
1975,3.826691763464396e-08
1976,3.6566571992580066e-08
1977,3.761140415781128e-08
1978,4.217819693508318e-08
1979,6.027532750696452e-08
1980,4.775526735167901e-08
1981,9.994368493915218e-08
1982,5.5246770047645555e-08
1983,5.557478155449047e-08
1984,4.6392067076794774e-08
1985,5.8350912768290186e-08
1986,6.174319994167732e-08
1987,4.6442206524943686e-08
1988,3.6578978013235286e-08
1989,3.677041959804228e-08
1990,3.269190707033687e-08
1991,4.103025530444171e-08
1992,3.801861431229625e-08
1993,5.096070765375771e-08
1994,5.591422075346131e-08
1995,4.121062641138096e-08
1996,4.483997417814578e-08
1997,5.178486206514066e-08
1998,4.434360045824093e-08
1999,4.8444130956726283e-08
2000,4.285490384781099e-08
2001,4.8193330021151226e-08
2002,4.4688460654196405e-08
2003,4.25026153161312e-08
2004,3.523833155827383e-08
2005,6.260211593556164e-08
2006,5.888582699231648e-08
2007,8.588130953612882e-08
2008,7.280221547834032e-08
2009,8.535064544012982e-08
2010,1.417137869275109e-07
2011,1.609892188447759e-07
2012,1.974466524168328e-07
2013,1.854768136855256e-07
2014,1.914253580093117e-07
2015,1.7200624979896162e-07
2016,1.74613965064907e-07
2017,1.768474799934694e-07
2018,2.0367772968210573e-07
2019,1.8647720356756992e-07
