year,quelques_DET couverts_NOUN
1981,1.2651099057237047e-09
1982,2.483000915987077e-09
1983,6.315316047889041e-09
1984,3.479405208395292e-09
1985,1.2632672019563529e-08
1986,4.7955883708539204e-09
1987,1.2221633483022742e-08
1988,9.594486094499644e-09
1989,1.0427432250992297e-08
1990,8.717841559757744e-09
1991,9.37834432335194e-09
1992,8.815910668147353e-09
1993,7.200969598386564e-09
1994,6.85740436656701e-09
1995,9.760411145975922e-09
1996,5.3380919684542505e-09
1997,3.835915585170824e-09
1998,4.29131630230728e-09
1999,5.941261704833778e-09
2000,1.3695897749244068e-08
2001,4.8193329327261836e-09
2002,7.448076544402937e-09
2003,3.333538334260311e-09
2004,7.928623979580607e-09
2005,8.106749049829887e-09
2006,5.7650457740976435e-09
2007,7.988958827809256e-09
2008,9.792111205220166e-09
2009,7.629108011997232e-09
2010,1.6060896612657416e-08
2011,1.2236710256186001e-08
2012,1.838296409539808e-08
2013,1.4782362500742607e-08
2014,1.8189739825480444e-08
2015,2.2609068756063166e-08
2016,2.423467915235733e-08
2017,1.836396212873126e-08
2018,2.3749493482938533e-08
2019,2.1428296803627234e-08
