year,voulons_VERB analyser_VERB
1902,1.1293653123800595e-08
1903,3.7801539676252105e-09
1904,5.374625189347171e-09
1905,1.0321517862621477e-08
1906,1.0802787109298606e-08
1907,8.228549397415463e-09
1908,1.0313916831705683e-08
1909,1.870334465081669e-08
1910,6.412980813053082e-09
1911,1.4365010514438836e-08
1912,7.814131564032323e-09
1913,1.6439267724877027e-08
1914,4.68772043404897e-09
1915,4.712304768617059e-09
1916,5.493730803607377e-09
1917,8.773139548168274e-09
1918,1.033773866510046e-08
1919,2.025726608678724e-08
1920,9.843901693784574e-09
1921,1.6660044011018726e-08
1922,8.115729421831475e-09
1923,4.246379248229459e-09
1924,9.02413699321869e-09
1925,8.798542339150117e-09
1926,1.114613823460786e-08
1927,3.3447675740205796e-09
1928,1.1426041446327417e-08
1929,8.912325100141061e-09
1930,0.0
1931,1.1405356659111021e-09
1932,4.383814644626227e-09
1933,2.064719240024715e-08
1934,1.1981580172459871e-08
1935,1.6755597798123745e-08
1936,9.699771652549316e-09
1937,1.2591118370153254e-08
1938,3.8895642262559704e-09
1939,1.3764645423464117e-08
1940,1.7750480196809804e-08
1941,4.427253941230447e-08
1942,1.517105907566929e-08
1943,8.709705845433291e-09
1944,6.4263723231761105e-09
1945,4.357008087652048e-09
1946,9.744772988540262e-09
1947,7.152522574216391e-09
1948,1.3046265401328583e-08
1949,5.890204768377316e-09
1950,5.317680518146517e-09
1951,9.595261474260042e-09
1952,9.490323193972472e-09
1953,1.0773827163745864e-08
1954,1.9545072227344917e-09
1955,1.595553378308523e-08
1956,1.5698054411927842e-08
1957,1.5903067307476704e-08
1958,2.0680609225109947e-08
1959,4.650448914844674e-09
1960,1.7302083321624195e-08
1961,1.250668635321972e-08
1962,1.5220695814832652e-08
1963,2.9743844720542256e-08
1964,2.6161064425878067e-08
1965,2.2982582947861374e-08
1966,1.495550172592175e-08
1967,1.3804939413830652e-08
1968,3.368561962702188e-08
1969,1.8167030546578644e-08
1970,2.207388050123882e-08
1971,2.2608949379332444e-08
1972,1.9494558856081312e-08
1973,1.8193572870472963e-08
1974,1.406392957647995e-08
1975,2.1703623787061588e-08
1976,2.3425460682346966e-08
1977,2.8796231177352638e-08
1978,2.3762364520507617e-08
1979,2.1067103617156135e-08
1980,2.1603572264439208e-08
1981,2.277197808098208e-08
1982,2.110550845202397e-08
1983,1.7682884490000106e-08
1984,2.203623239438457e-08
1985,1.7445119127046382e-08
1986,1.6185110141009318e-08
1987,1.711028652096047e-08
1988,1.8589316752581908e-08
1989,1.3171493229435782e-08
1990,1.3621627381610324e-08
1991,1.52398094144246e-08
1992,1.8182815253453555e-08
1993,1.4401939196773128e-08
1994,2.4264663167627987e-08
1995,1.626735190995987e-08
1996,1.1209993822092201e-08
1997,1.6782131240233866e-08
1998,2.3840646790063147e-08
1999,2.0565904534919355e-08
2000,2.474097726690161e-08
2001,1.4019877703219663e-08
2002,2.1906107150471144e-08
2003,2.1251306492331423e-08
2004,1.9821561281219147e-08
2005,1.5763124139311913e-08
2006,2.141302779534726e-08
2007,2.1969636776475454e-08
2008,1.6178271167177627e-08
2009,1.907277002999308e-08
2010,2.0312310056169736e-08
2011,1.2619107536693264e-08
2012,1.191488419038933e-08
2013,1.1435412616833673e-08
2014,8.445236510112863e-09
2015,1.3077794847049518e-08
2016,1.4085112631789798e-08
2017,1.4842107098900215e-08
2018,1.2132893800753664e-08
2019,8.673358031785483e-09
