year,as_VERB ouvert_VERB
1920,7.572231730534895e-09
1921,9.087297137000405e-09
1922,4.426761179843197e-09
1923,1.4862327368803108e-08
1924,1.5469948877466777e-08
1925,2.1996355847875293e-09
1926,1.5604593173179637e-08
1927,3.3447673075670536e-08
1928,1.0283437212876834e-08
1929,1.3368487650211591e-08
1930,6.302162347537887e-09
1931,6.843213995466613e-09
1932,1.3151444377967891e-08
1933,1.1470662641954732e-08
1934,8.38710612072191e-09
1935,1.196828414151696e-08
1936,1.091224355320719e-08
1937,1.0072894518486919e-08
1938,5.186085783037697e-09
1939,6.117620188206274e-09
1940,2.2822046474857416e-08
1941,5.9030051957620344e-09
1942,0.0
1943,1.1612940831184915e-08
1944,6.4263723231761105e-09
1945,1.089252066321933e-08
1946,9.744772988540262e-09
1947,2.5033829231801974e-08
1948,1.195907639583993e-08
1949,1.9634017078828947e-08
1950,1.914365022059883e-08
1951,1.0661401539380222e-08
1952,7.381362632230548e-09
1953,5.386913581872932e-09
1954,1.6613311615287785e-08
1955,1.9709776921672528e-08
1956,1.3953826538681824e-08
1957,2.2087593976038988e-08
1958,8.272243334772611e-09
1959,2.015194411342236e-08
1960,2.07624992754063e-08
1961,2.223410966450956e-08
1962,1.8391673961559718e-08
1963,2.651081842941494e-08
1964,1.034274621503073e-08
1965,1.094408652591028e-08
1966,1.9940669560014612e-08
1967,1.5777073869571723e-08
1968,1.1677681044375277e-08
1969,1.6804504454626112e-08
1970,7.817832603507213e-09
1971,1.644287195290417e-08
1972,1.2825367434743384e-08
1973,1.543697081274331e-08
1974,6.750686232237513e-09
1975,7.996072248772634e-09
1976,9.712995741040231e-09
1977,1.5867311020656416e-08
1978,9.504946163474415e-09
1979,1.2289143924704149e-08
1980,1.1370301145063877e-08
1981,8.855769451088236e-09
1982,8.069752865935698e-09
1983,1.4525227243211702e-08
1984,1.9716628330002095e-08
1985,1.6843562988810845e-08
1986,1.6784559520033326e-08
1987,1.2832715334809564e-08
1988,1.139345240375178e-08
1989,1.92084268491044e-08
1990,1.6345952147389653e-08
1991,1.2309077312977479e-08
1992,1.7080827419135858e-08
1993,7.200969598386564e-09
1994,1.318731612798274e-08
1995,1.626735190995987e-08
1996,1.8149513891785318e-08
1997,9.58978851883785e-09
1998,2.0502955777601528e-08
1999,2.1479944933844308e-08
2000,1.8113929911578452e-08
2001,1.8839211080035057e-08
2002,1.752488643091965e-08
2003,2.2084691408963408e-08
2004,1.2773894830786503e-08
2005,2.2068373795036678e-08
2006,1.8530505130343045e-08
2007,2.75619083112133e-08
2008,2.7247613942904536e-08
2009,3.003961168701608e-08
2010,6.329882751288096e-08
2011,6.309553413075264e-08
2012,7.285100878107187e-08
2013,7.056486595047318e-08
2014,7.557403591818002e-08
2015,8.511649696174572e-08
2016,8.492494174561216e-08
2017,9.986977289599963e-08
2018,1.0093534541510962e-07
2019,9.540693923781873e-08
