year,vingt - deux heures
1940,2.0546688861422524e-07
1941,9.186697980112513e-08
1942,9.420307200969091e-08
1943,1.220321659278767e-07
1944,1.703736245417531e-07
1945,1.3937179943468436e-07
1946,1.4011596993768194e-07
1947,2.8837542775939085e-07
1948,4.1630945180060053e-07
1949,2.217295280715348e-07
1950,2.6113336470956483e-07
1951,2.3952090799639336e-07
1952,1.7170014299239256e-07
1953,1.9648630456003957e-07
1954,1.480521029106896e-07
1955,1.9736869649733535e-07
1956,1.3505647888933936e-07
1957,1.036550333344266e-07
1958,1.472975847960356e-07
1959,1.7663295892589304e-07
1960,1.6837404448466486e-07
1961,1.6103071209805364e-07
1962,1.0771157121780561e-07
1963,1.3765112938379787e-07
1964,2.0268165279446748e-07
1965,1.6894817012058638e-07
1966,1.607081143717437e-07
1967,1.6078384224016418e-07
1968,1.689799606907627e-07
1969,1.602669810196744e-07
1970,1.2695273010621122e-07
1971,1.9888826230385348e-07
1972,1.3962919886978398e-07
1973,1.5903464589683836e-07
1974,2.2886988038095524e-07
1975,1.787305423661678e-07
1976,1.6725124885041964e-07
1977,1.7665477258788087e-07
1978,1.4264763636973044e-07
1979,1.1530186760921879e-07
1980,1.872238586386743e-07
1981,9.747956219996468e-08
1982,1.336468065105123e-07
1983,1.3675605003982128e-07
1984,1.8467581774928021e-07
1985,1.3811585120038217e-07
1986,1.685387189809262e-07
1987,1.2420307182736678e-07
1988,1.3961924771876966e-07
1989,1.8686199965145533e-07
1990,1.3014590116711133e-07
1991,1.6589205742434388e-07
1992,1.913106295603484e-07
1993,2.1109929182472342e-07
1994,2.124600166908408e-07
1995,1.5830050070775314e-07
1996,1.645056073584783e-07
1997,1.7430020182729322e-07
1998,1.7844781563525203e-07
1999,1.9043246091143828e-07
2000,1.8305939342155853e-07
2001,1.5765639993503555e-07
2002,1.551337476257686e-07
2003,1.8514763322485805e-07
2004,2.3599535659002413e-07
2005,2.2562702639561394e-07
2006,2.3020456563216385e-07
2007,2.482560699235137e-07
2008,2.612646810007391e-07
2009,3.343261667509978e-07
2010,4.3951565409372506e-07
2011,5.375622365022537e-07
2012,5.95805889958001e-07
2013,7.056725195297986e-07
2014,7.920778344328028e-07
2015,6.734041377853828e-07
2016,7.209875043656666e-07
2017,8.916496483379888e-07
2018,8.666606419183154e-07
2019,8.05280066629166e-07
