year,vastes_ADJ carrières_NOUN
1885,3.4161868001092444e-08
1886,2.8395241713496944e-08
1887,2.7421483750345033e-08
1888,1.775372027168487e-08
1889,2.7566601445982997e-08
1890,1.3764211992395303e-08
1891,1.466070642663908e-08
1892,1.56712811616444e-08
1893,1.9091091374434654e-08
1894,1.827446460822557e-08
1895,6.018614495673091e-09
1896,1.2383760683576384e-08
1897,2.3889525024856084e-08
1898,2.0370077180587032e-08
1899,1.0502398950507086e-08
1900,2.076421168339948e-08
1901,3.129693837422565e-08
1902,1.718599307309887e-08
1903,1.9980815224585058e-08
1904,1.3436562973367927e-08
1905,2.3223416079076742e-08
1906,1.2346042410626978e-08
1907,2.7771354993433306e-08
1908,1.080505640516094e-08
1909,1.320236009405562e-08
1910,2.51175080734356e-08
1911,9.576673676292558e-09
1912,1.5628263128064646e-08
1913,1.6969567084856862e-08
1914,1.2054139020278853e-08
1915,1.295883844676382e-08
1916,3.84561182897869e-08
1917,1.973956464951243e-08
1918,1.2635013924011673e-08
1919,2.6702760891339494e-08
1920,2.4231141537711665e-08
1921,1.5902768879527684e-08
1922,1.770704471937279e-08
1923,2.0170300985000722e-08
1924,2.3204924204378585e-08
1925,1.3197813508725176e-08
1926,1.4489979882625903e-08
1927,2.0068604555945058e-08
1928,6.8556245125250825e-09
1929,1.0026365515614089e-08
1930,1.575540586884472e-08
1931,9.124285327288817e-09
1932,1.0959536389520963e-08
1933,1.3764794637438627e-08
1934,2.516131836216573e-08
1935,2.6330225111337313e-08
1936,2.5461901032031165e-08
1937,1.7627565185307503e-08
1938,1.0372171566075394e-08
1939,3.058810094103137e-09
1940,1.0143131667916805e-08
1941,1.1806010391524069e-08
1942,2.1239483061208375e-08
1943,8.709705845433291e-09
1944,2.5705489292704442e-08
1945,8.714016175304096e-09
1946,1.3921104269343232e-08
1947,3.5762612871081956e-09
1948,1.4133454406817236e-08
1949,4.908504269707237e-09
1950,8.508289184305795e-09
1951,2.7719645245838365e-08
1952,1.1599284199803606e-08
1953,1.8315507332999914e-08
1954,1.6613311615287785e-08
1955,1.0324168187025862e-08
1956,1.1337483840634377e-08
1957,9.718541527092839e-09
1958,1.4062814024384807e-08
1959,1.6276571201956358e-08
1960,1.314958364417862e-08
1961,8.33779090214648e-09
1962,5.0735651235811474e-09
1963,1.0992290633282664e-08
1964,8.517555549758526e-09
1965,9.849678406226303e-09
1966,1.2185964237687585e-08
1967,5.916402479044791e-09
1968,4.042274071025531e-09
1969,1.1808570121729645e-08
1970,6.898087434592526e-09
1971,1.3359833239690033e-08
1972,8.208234980600082e-09
1973,5.513203671370093e-09
1974,1.0688586016271984e-08
1975,9.138368284311582e-09
1976,1.199840671262109e-08
1977,4.7014254711541525e-09
1978,7.72276909088987e-09
1979,1.345953837272873e-08
1980,1.591842213599648e-08
1981,8.223214109648325e-09
1982,5.586751949948621e-09
1983,7.57837881337764e-09
1984,6.958810416790584e-09
1985,5.414002135495366e-09
1986,6.593933843390687e-09
1987,9.777306964053878e-09
1988,6.596209356501959e-09
1989,6.036934507847036e-09
1990,5.993515905799995e-09
1991,9.37834432335194e-09
1992,8.815910668147353e-09
1993,7.200969598386564e-09
1994,6.329911705904578e-09
1995,9.21816667442954e-09
1996,6.4057106285986265e-09
1997,7.192341833217597e-09
1998,7.152193948201102e-09
1999,3.656160929565999e-09
2000,9.277866475088103e-09
2001,4.381211837767296e-09
2002,5.257465574004527e-09
2003,1.2500769308587678e-09
2004,6.166707589017051e-09
2005,4.053374524914943e-09
2006,1.2353669198716943e-09
2007,3.1955835755326234e-09
2008,3.405951742863067e-09
2009,4.76819250749827e-09
2010,1.4171379625338432e-09
2011,1.911985902935953e-09
2012,3.4042526575461807e-09
2013,3.904775169871755e-09
2014,4.114345752981308e-09
2015,5.984753581600444e-09
2016,8.699628573083373e-09
2017,1.0062445321423752e-09
2018,3.872199894061623e-09
2019,3.5713827450933877e-09
