year,serons_VERB assez_ADV
1901,2.235495522029396e-08
1902,3.2407871941586563e-08
1903,2.214090244478939e-08
1904,3.654745128756076e-08
1905,2.631987072732045e-08
1906,2.572092228092515e-08
1907,1.2342823652033985e-08
1908,1.4243028090277221e-08
1909,2.9705311987981986e-08
1910,4.382203400155049e-08
1911,2.8197982615552064e-08
1912,3.0735584743979416e-08
1913,2.1742257771961704e-08
1914,2.4777952134513725e-08
1915,4.830112487752558e-08
1916,8.130722051191697e-08
1917,4.0575770299255964e-08
1918,3.790504266021344e-08
1919,3.314825391953491e-08
1920,1.741613253614105e-08
1921,3.180553775905537e-08
1922,3.541408943874558e-08
1923,1.8047112249064412e-08
1924,2.5783249313349188e-08
1925,1.6497267552040284e-08
1926,3.1209186346359274e-08
1927,3.9022285847067906e-08
1928,2.5137291359556002e-08
1929,1.7824650200282122e-08
1930,1.6805765667982087e-08
1931,2.0529641986399838e-08
1932,1.753525857850491e-08
1933,6.882397318719313e-09
1934,2.156684431042777e-08
1935,3.351119559624749e-08
1936,2.5461901032031165e-08
1937,3.399602022113868e-08
1938,2.074434313215079e-08
1939,3.976452944698394e-08
1940,2.5357829613881222e-08
1941,2.6563522936839945e-08
1942,1.2136847082899749e-08
1943,3.774205836748479e-08
1944,3.855823393905666e-08
1945,1.3071024262956144e-08
1946,1.8097434661967782e-08
1947,2.5033829231801974e-08
1948,2.8266908813634473e-08
1949,2.5524220959027843e-08
1950,1.701657836861159e-08
1951,2.2388944032059044e-08
1952,2.6362009464264702e-08
1953,1.723812381726475e-08
1954,4.886268278880834e-09
1955,1.9709776921672528e-08
1956,4.7094165012140365e-08
1957,2.6505112771246786e-08
1958,2.8952852559882558e-08
1959,2.8677767716089875e-08
1960,4.429333344546649e-08
1961,4.655266749864495e-08
1962,3.107558654846798e-08
1963,3.297687101166957e-08
1964,3.285342842218597e-08
1965,2.3529786119524942e-08
1966,2.4925835617750636e-08
1967,2.3665609916179164e-08
1968,2.9643343779639508e-08
1969,3.4971535001204757e-08
1970,2.851209579546321e-08
1971,2.8775026805760717e-08
1972,2.1033601527165047e-08
1973,2.3706776985932265e-08
1974,2.1377172032543967e-08
1975,1.770558810676448e-08
1976,1.8854638739185248e-08
1977,1.5279633558407113e-08
1978,1.7821774278559133e-08
1979,1.1118749476679568e-08
1980,1.6486936260662333e-08
1981,1.5181319312773667e-08
1982,2.296775925003658e-08
1983,1.705135410645653e-08
1984,1.0438215625185876e-08
1985,1.7445119127046382e-08
1986,1.7384007122700496e-08
1987,1.4054879038383206e-08
1988,1.199310784016916e-08
1989,1.1525056464734007e-08
1990,1.3076762783725826e-08
1991,1.52398094144246e-08
1992,1.3774860363469088e-08
1993,1.3294098266669607e-08
1994,1.8989736005892155e-08
1995,1.6809597269684673e-08
1996,8.540947504798169e-09
1997,1.102825741838842e-08
1998,8.582632382569955e-09
1999,1.553868322901053e-08
2000,1.899753598877396e-08
2001,7.886181485616817e-09
2002,1.0953053575235572e-08
2003,1.3750845795357236e-08
2004,1.0571499231559756e-08
2005,9.007498746882447e-09
2006,8.235780057930242e-09
2007,1.078509459517818e-08
2008,1.6604014163590364e-08
2009,1.5258216023994464e-08
2010,2.172944846279279e-08
2011,1.7207874236646603e-08
2012,2.6212745751763578e-08
2013,3.2911675162949905e-08
2014,3.334785603215096e-08
2015,3.5021891164888075e-08
2016,3.3348573680314075e-08
2017,3.09420187249998e-08
2018,4.001273268272598e-08
2019,3.7244422657067844e-08
