year,soyez_VERB assez_ADV
1913,1.2408995786472587e-07
1914,7.701255455572209e-08
1915,5.183535289887686e-08
1916,9.668966427511805e-08
1917,1.0966424213165737e-07
1918,1.0222874990972741e-07
1919,1.1693967749693002e-07
1920,5.3762845730886966e-08
1921,7.042655170153012e-08
1922,1.1657138188070348e-07
1923,6.263409346729532e-08
1924,1.2633792323413218e-07
1925,1.1548086575885463e-07
1926,1.549313211057779e-07
1927,2.0180097237698646e-07
1928,1.1311780667710991e-07
1929,2.1500984104250165e-07
1930,1.2709359964446776e-07
1931,1.1063195870519849e-07
1932,1.205549047256227e-07
1933,1.387950163689311e-07
1934,9.705079762056812e-08
1935,2.716800509006134e-07
1936,1.467090413598271e-07
1937,1.1835650681746301e-07
1938,1.244660623456184e-07
1939,7.952906244668156e-08
1940,6.339457403470306e-08
1941,2.7744124508899404e-07
1942,1.0316319887238024e-07
1943,1.306455850169641e-07
1944,7.069009555493722e-08
1945,6.753362669087437e-08
1946,1.2250571401750676e-07
1947,2.6941168584926345e-07
1948,1.2611389621497437e-07
1949,1.3645641416815124e-07
1950,2.4142271115579206e-07
1951,1.7058242463008355e-07
1952,4.154652799570613e-07
1953,1.443692880798153e-07
1954,1.1042966008290023e-07
1955,1.830193525620416e-07
1956,9.767678577077277e-08
1957,1.3517608010715776e-07
1958,1.3070144788684956e-07
1959,2.1314556164497844e-07
1960,1.69560415486103e-07
1961,1.3896318407091712e-07
1962,1.832825446967945e-07
1963,1.0927630000878708e-07
1964,1.5453279189614477e-07
1965,8.91943088277003e-08
1966,9.804162104387615e-08
1967,1.444588306753758e-07
1968,1.1003968580780565e-07
1969,1.1763152585331227e-07
1970,1.0347131507160157e-07
1971,1.623733609790179e-07
1972,1.6313866524342302e-07
1973,1.301116085983267e-07
1974,5.119270163334022e-08
1975,4.0551508817543436e-08
1976,4.1137393935741784e-08
1977,6.640763494658586e-08
1978,7.900986531694798e-08
1979,9.889835084209153e-08
1980,1.0176420062180114e-07
1981,6.072527547473783e-08
1982,5.276376846552466e-08
1983,1.0672884087625789e-07
1984,5.161117400120929e-08
1985,8.542092544416846e-08
1986,7.493106934930438e-08
1987,7.516304734167534e-08
1988,6.236416005833689e-08
1989,1.2403156190998743e-07
1990,6.919786876835587e-08
1991,5.5097771678447316e-08
1992,5.7854412816027434e-08
1993,1.124459103607478e-07
1994,1.2079581779289583e-07
1995,8.513248062058665e-08
1996,6.032044197468167e-08
1997,5.7059246216795145e-08
1998,6.198568058835008e-08
1999,9.91733628552538e-08
2000,5.875981834435606e-08
2001,6.089884507787247e-08
2002,7.009954217096492e-08
2003,9.500584141619584e-08
2004,5.8143243109043397e-08
2005,7.160961779106856e-08
2006,8.482853175451055e-08
2007,6.191443269187857e-08
2008,5.960415450090295e-08
2009,6.580105704756534e-08
2010,5.81026533552631e-08
2011,7.9156221133303e-08
2012,1.205105455426292e-07
2013,1.2913649172219266e-07
2014,1.2213110878178668e-07
2015,1.4895386613034134e-07
2016,1.702641583278819e-07
2017,9.48385476817748e-08
2018,1.097123352167273e-07
2019,1.3086567207665212e-07
