year,dix_DET heures_NOUN
1956,6.0585769006138435e-06
1957,4.656064902519574e-06
1958,4.821890740913659e-06
1959,4.251285332657062e-06
1960,5.07158685536524e-06
1961,4.6351171079095366e-06
1962,5.122398306411924e-06
1963,4.839194161831983e-06
1964,4.263036515794738e-06
1965,3.7111399109335252e-06
1966,4.201942147119553e-06
1967,4.195222331304649e-06
1968,4.094823765399269e-06
1969,4.914181872095469e-06
1970,3.720828516406982e-06
1971,3.918541963798816e-06
1972,3.7460332436012322e-06
1973,4.4855426182266456e-06
1974,4.204552411124496e-06
1975,3.784426780839567e-06
1976,3.87491395770212e-06
1977,3.0330070615036675e-06
1978,2.9138600439182483e-06
1979,3.0617525084153385e-06
1980,2.934106177576723e-06
1981,3.3443180313952325e-06
1982,2.9876709106702037e-06
1983,2.7818966117365562e-06
1984,2.851372528311913e-06
1985,3.336830104672117e-06
1986,3.3143511188882258e-06
1987,3.026687551255236e-06
1988,3.3472763760755697e-06
1989,4.918455289271151e-06
1990,3.0082001245546053e-06
1991,3.121230179203849e-06
1992,2.9169645472393313e-06
1993,3.275887181075632e-06
1994,2.8943523062707754e-06
1995,2.8532935232306045e-06
1996,2.7058790266210053e-06
1997,2.5892430528529076e-06
1998,2.8694600757717126e-06
1999,2.7576594447964453e-06
2000,2.9017631533179156e-06
2001,2.7895174241621135e-06
2002,3.1470314070247696e-06
2003,2.8389246438109694e-06
2004,2.9296267030076706e-06
2005,2.9504064258389917e-06
2006,3.232955322118869e-06
2007,3.1636276816016107e-06
2008,3.5217541807242014e-06
2009,3.5475353001857e-06
2010,4.348724047531505e-06
2011,4.401391578312541e-06
2012,6.558973666415113e-06
2013,6.629471471342185e-06
2014,7.288022288776119e-06
2015,7.468085811979108e-06
2016,7.819101512041016e-06
2017,5.2674383823614335e-06
2018,6.785126913655404e-06
2019,6.89889108684838e-06
