year,mêmes_ADJ carrières_NOUN
1905,2.4771644291377015e-08
1906,1.9033482345776065e-08
1907,1.902852098112362e-08
1908,1.5225305460830896e-08
1909,1.7603147384193107e-08
1910,1.870452770447173e-08
1911,1.755723388896513e-08
1912,6.772247651554153e-09
1913,1.4318072061314524e-08
1914,1.1384464038144415e-08
1915,5.890381071793627e-09
1916,2.307367097387214e-08
1917,2.7416060532914344e-08
1918,1.1486376294556067e-08
1919,7.366278698128781e-09
1920,1.4387239843927091e-08
1921,2.4232791773215467e-08
1922,8.853522359686394e-09
1923,2.0170300985000722e-08
1924,1.0313299547703991e-08
1925,1.8696901804560184e-08
1926,1.114613823460786e-08
1927,1.5608915049369898e-08
1928,1.82816659588525e-08
1929,1.3368487650211591e-08
1930,1.3654684494213143e-08
1931,1.0264820993199919e-08
1932,1.2055489939655217e-08
1933,6.882397318719313e-09
1934,7.188948103475923e-09
1935,1.6755597798123745e-08
1936,9.699771652549316e-09
1937,5.0364472592434595e-09
1938,6.482607339819424e-09
1939,1.988226472349197e-08
1940,3.0429394115571995e-08
1941,1.7709016475464523e-08
1942,6.068423541449874e-09
1943,0.0
1944,0.0
1945,1.089252066321933e-08
1946,4.1763312808029696e-09
1947,1.1920871401116528e-08
1948,1.6307831529616124e-08
1949,9.817008539414473e-09
1950,7.444753258312176e-09
1951,5.330700769690111e-09
1952,1.370824520563474e-08
1953,7.54167928107563e-09
1954,5.863521668203475e-09
1955,1.1262729415761896e-08
1956,9.593255967388359e-09
1957,6.184526224473075e-09
1958,5.790570245522986e-09
1959,7.750747599288843e-09
1960,1.2457499920515147e-08
1961,8.33779090214648e-09
1962,1.0781326054143392e-08
1963,3.879631726988464e-09
1964,7.300761772910391e-09
1965,7.660860390501512e-09
1966,3.3234448526542337e-09
1967,6.409436092980059e-09
1968,8.084548142051062e-09
1969,7.72098829315837e-09
1970,1.0117195081704722e-08
1971,9.24911525146399e-09
1972,9.234264020108185e-09
1973,4.410563025913916e-09
1974,6.1881286761433785e-09
1975,1.1422960355389478e-09
1976,7.998937512354587e-09
1977,1.3516598507123945e-08
1978,1.2475242172627077e-08
1979,4.096381456264453e-09
1980,1.3075846183596695e-08
1981,6.325549417596221e-09
1982,8.690503427999374e-09
1983,6.946847541655643e-09
1984,7.538710988796993e-09
1985,3.0077789148208467e-09
1986,7.792831269171074e-09
1987,6.721898593298192e-09
1988,1.0793796967334401e-08
1989,1.0976243913773942e-08
1990,7.628111475810329e-09
1991,9.96449056600568e-09
1992,1.4876849085965205e-08
1993,2.2156829260211452e-08
1994,1.160483886764041e-08
1995,8.133675954979935e-09
1996,1.014237493990322e-08
1997,1.3425704992187093e-08
1998,6.675381136744818e-09
1999,1.279656292041409e-08
2000,1.4579503826439577e-08
2001,1.0076787404500465e-08
2002,8.762443215459825e-09
2003,1.5417615628621206e-08
2004,1.2333415178034102e-08
2005,9.457874483587148e-09
2006,1.4000825387938676e-08
2007,8.787854888225866e-09
2008,7.2376473703172906e-09
2009,6.675469510497578e-09
2010,6.613310343794865e-09
2011,8.030340836739924e-09
2012,6.127654827992046e-09
2013,7.530637446961919e-09
2014,6.9294245896855955e-09
2015,4.654808538617772e-09
2016,8.492493819289848e-09
2017,2.264050280587071e-09
2018,3.614053500911041e-09
2019,5.612172948588068e-09
