year,serions_VERB assez_ADV
1994,1.5824779708850656e-08
1995,1.138714633697191e-08
1996,1.6548085568501847e-08
1997,1.8220598363427598e-08
1998,1.6688451509594415e-08
1999,1.0054442611817649e-08
2000,1.1045078629479121e-08
2001,1.3581756164171566e-08
2002,5.257465574004527e-09
2003,1.0417307017007715e-08
2004,8.80958239690699e-09
2005,8.557123898356167e-09
2006,7.823991232669414e-09
2007,1.8774054311165855e-08
2008,1.0643598891135753e-08
2009,9.059565542202108e-09
2010,1.1809482280966677e-08
2011,7.647943611743813e-09
2012,1.1234034147378225e-08
2013,1.4782362889320666e-08
2014,1.2992670939127038e-08
2015,2.21657536769726e-08
2016,2.278474120487317e-08
2017,1.0062445099379147e-08
2018,1.4714360396794746e-08
2019,2.219359274135968e-08
