year,comptes_NOUN ouverts_ADJ
1874,1.9118749583491024e-08
1875,1.0870901512305409e-08
1876,2.6602464897607092e-08
1877,2.4739264858908427e-08
1878,2.113681096815867e-08
1879,1.588424547449563e-08
1880,5.647704748312776e-08
1881,2.510102675712389e-08
1882,2.3959386030725227e-08
1883,2.464542170343975e-08
1884,4.027035149789526e-08
1885,2.5137979031697455e-08
1886,2.774989571463493e-08
1887,3.982644036781835e-08
1888,3.2337135191795596e-08
1889,3.2578710840169833e-08
1890,3.080561700175011e-08
1891,3.505821188909408e-08
1892,4.5133289550136624e-08
1893,2.4017824618027817e-08
1894,2.3945849303430577e-08
1895,3.009307181223164e-08
1896,2.712633251356067e-08
1897,2.38895258020122e-08
1898,2.433092549658511e-08
1899,1.9346524382513053e-08
1900,2.5436160733249835e-08
1901,2.8502567639421272e-08
1902,2.1114220150053598e-08
1903,1.0260418292773466e-08
1904,2.7948051872783708e-08
1905,1.7546580632910036e-08
1906,4.3211150213551264e-08
1907,1.3371392659777825e-08
1908,1.915441649735783e-08
1909,3.355599798027242e-08
1910,3.420256600161764e-08
1911,2.0749459594959774e-08
1912,2.5526164293410147e-08
1913,5.2499598945932036e-08
1914,3.348371946376716e-08
1915,4.005458986711119e-08
1916,1.2086208478478966e-08
1917,2.6319418644504822e-08
1918,9.763419761554815e-08
1919,6.261336854551658e-08
1920,8.935233353213334e-08
1921,1.9689143648804475e-08
1922,1.6231457733439925e-08
1923,8.492758496458919e-09
1924,1.0313299436681689e-08
1925,3.2994533105679125e-08
1926,3.6782257240020044e-08
1927,5.0171511833951854e-08
1928,1.7139061725401916e-08
1929,1.3368487872256196e-08
1930,2.9410089141812534e-08
1931,1.8248570654577634e-08
1932,1.4247397484012936e-08
1933,2.6382522833046096e-08
1934,2.156684431042777e-08
1935,2.5133396697185617e-08
1936,2.667437248859983e-08
1937,4.0291577629858466e-08
1938,2.9819993585533666e-08
1939,2.7529289958749814e-08
1940,5.0715658339584024e-09
1941,1.4757512545315876e-08
1942,6.068423541449874e-09
1943,5.806470415592457e-09
1944,3.213186161588055e-08
1945,3.703456741277478e-08
1946,2.7842208538686464e-08
1947,2.9802178280746716e-08
1948,1.7395020757149382e-08
1949,3.7304630495782476e-08
1950,3.1906085995458966e-08
1951,3.305034523837236e-08
1952,4.74516177462192e-08
1953,3.232148060305917e-08
1954,3.713563767604455e-08
1955,4.3173794317397096e-08
1956,3.05239959974557e-08
1957,1.5903068195655123e-08
1958,3.3088973339090444e-08
1959,1.937687044151204e-08
1960,4.014083287984249e-08
1961,4.4468219051463365e-08
1962,2.4099433670876635e-08
1963,2.5217607002581133e-08
1964,3.954579502751798e-08
1965,3.556828165329762e-08
1966,3.268054027394385e-08
1967,1.5777073647527118e-08
1968,2.2906220920049236e-08
1969,4.042164269968396e-08
1970,3.1731203442575406e-08
1971,3.391342429104327e-08
1972,3.745007193245442e-08
1973,3.969506645606913e-08
1974,2.86904151547418e-08
1975,4.512069207152081e-08
1976,2.5710871209838615e-08
1977,3.2322299503562135e-08
1978,1.6039596539840772e-08
1979,1.8726314721106974e-08
1980,1.4212877097463661e-08
1981,2.1506868952414493e-08
1982,2.5450759166822934e-08
1983,2.7155858450811365e-08
1984,1.7397025708909553e-08
1985,1.8046673710969685e-08
1986,1.0190625343575732e-08
1987,1.527704190928958e-08
1988,1.0194141641939325e-08
1989,1.6464366869861635e-08
1990,3.051244573670786e-08
1991,2.1101275393675678e-08
1992,1.9284805141683847e-08
1993,1.827938378440308e-08
1994,1.7407257857371405e-08
1995,2.0063067651676647e-08
1996,2.348760586023957e-08
1997,1.2946214988929228e-08
1998,1.1920323395031573e-08
1999,1.690974421597602e-08
2000,2.2090157481002848e-08
2001,1.533424159871899e-08
2002,1.1829298207644001e-08
2003,1.4167537809584019e-08
2004,9.690541175055856e-09
2005,1.1259374210759177e-08
2006,1.976587071794711e-08
2007,1.9972397791168106e-08
2008,1.3198063308905716e-08
2009,1.1443661795951243e-08
2010,1.2281862193930237e-08
2011,1.2236710311697152e-08
2012,1.0893608487494433e-08
2013,1.6734750696301148e-08
2014,2.338680826774464e-08
2015,2.327404136082123e-08
2016,2.3199007714858055e-08
2017,2.5407675324773393e-08
2018,1.3165479872956354e-08
2019,1.0714148235280163e-08
