year,six_DET couverts_NOUN
1932,1.4247398039124448e-08
1933,1.835305929454023e-08
1934,7.188948103475923e-09
1935,1.555876849579363e-08
1936,2.182448710641438e-08
1937,1.0072894518486919e-08
1938,1.6854778350783306e-08
1939,2.4470480752825097e-08
1940,2.5357829169792012e-09
1941,2.6563524713196784e-08
1942,0.0
1943,2.9032352077962287e-09
1944,1.2852744646352221e-08
1945,2.178504043826024e-09
1946,8.352662561605939e-09
1947,9.536696765621855e-09
1948,1.522064252412747e-08
1949,1.767061474922116e-08
1950,1.3825969924496917e-08
1951,1.3859822622919182e-08
1952,1.1599284199803606e-08
1953,1.1851209791302608e-08
1954,1.2704296947774196e-08
1955,1.407841132561316e-08
1956,2.0058624983221307e-08
1957,1.236905244894615e-08
1958,1.2408365002158916e-08
1959,1.7826720544178443e-08
1960,1.5917916540431065e-08
1961,2.014966149488373e-08
1962,2.663621678777872e-08
1963,8.405868889838075e-09
1964,1.8251904654320583e-08
1965,1.0944087081021792e-08
1966,1.5509408979319517e-08
1967,1.2818872185960117e-08
1968,1.0779397763283072e-08
1969,1.1808570454796552e-08
1970,1.1496812613032148e-08
1971,1.901207036247854e-08
1972,1.0773308245504154e-08
1973,3.473318305191597e-08
1974,7.875800456247362e-09
1975,8.567219822452898e-09
1976,1.599787491368687e-08
1977,9.402850775774851e-09
1978,1.4257418801122412e-08
1979,1.345953881681794e-08
1980,7.95921106799824e-09
1981,1.0120879245789638e-08
1982,6.828252296919857e-09
1983,9.472973849788957e-09
1984,1.2757819078945687e-08
1985,9.02333718855175e-09
1986,1.2588419251446936e-08
1987,3.0554083707556856e-09
1988,5.396898483667201e-09
1989,1.2622680900520322e-08
1990,7.083246489347772e-09
1991,9.964491121117192e-09
1992,8.815910279569295e-09
1993,7.754890063438324e-09
1994,7.384897138251745e-09
1995,1.2471637056421514e-08
1996,7.473329288743003e-09
1997,4.794894370441227e-09
1998,7.1521940592234046e-09
1999,6.398281460207045e-09
2000,5.743440834038438e-09
2001,8.324302580575704e-09
2002,1.270554239596322e-08
2003,1.0000615446870142e-08
2004,1.101197835695622e-08
2005,5.404499514582994e-09
2006,4.941467679486777e-09
2007,1.4779573787038203e-08
2008,1.4475294907168035e-08
2009,8.105927484791664e-09
2010,1.8422793290895356e-08
2011,1.3766299100659296e-08
2012,1.7702114551987336e-08
2013,1.6455837803519557e-08
2014,2.013863953376216e-08
2015,1.884089151360513e-08
2016,2.8170223931311966e-08
2017,1.5345229087415646e-08
2018,1.987729358887691e-08
2019,2.2958890788515873e-08
