year,seuls_ADJ arts_NOUN
1882,4.6587693702804245e-09
1883,8.847074184359371e-09
1884,0.0
1885,1.2246707647989297e-08
1886,9.034849313138693e-09
1887,1.9586774424595887e-09
1888,3.804368819970705e-09
1889,5.012109394186837e-09
1890,6.554386366985909e-09
1891,1.2748440081367107e-09
1892,1.8805537127519756e-09
1893,6.158416554491453e-10
1894,1.2603078580752936e-09
1895,6.018614495673091e-09
1896,8.845543852942228e-09
1897,8.740070001067579e-09
1898,3.960848538042683e-09
1899,6.080336234504102e-09
1900,6.22926377147337e-09
1901,1.117747761014698e-08
1902,2.455141867585553e-09
1903,3.7801539676252105e-09
1904,2.1498500757388683e-09
1905,2.0643036169332163e-09
1906,2.572092316910357e-09
1907,1.5428529565042481e-09
1908,2.9468334439286537e-09
1909,5.5009836685826485e-09
1910,2.137660271017694e-09
1911,3.1922244847493175e-09
1912,2.6047106693738442e-09
1913,2.121195885607108e-09
1914,6.027069510139427e-09
1915,7.068456930880984e-09
1916,4.394984820521586e-09
1917,8.773139548168274e-09
1918,2.2972752589112133e-09
1919,0.0
1920,5.300562211374427e-09
1921,7.572747429129834e-10
1922,7.377935484775833e-10
1923,0.0
1924,2.578324886925998e-09
1925,6.598906754362588e-09
1926,7.802296586589819e-09
1927,7.804457524684949e-09
1928,3.4278122562625413e-09
1929,4.4561625500705304e-09
1930,4.201441416995522e-09
1931,4.5621426636444085e-09
1932,4.383814644626227e-09
1933,2.2941324395731044e-09
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,3.8895642262559704e-09
1939,4.588215141154706e-09
1940,7.607348528892999e-09
1941,0.0
1942,0.0
1943,2.9032352077962287e-09
1944,0.0
1945,2.178504043826024e-09
1946,5.568441707737293e-09
1947,7.152522574216391e-09
1948,0.0
1949,7.853606653895895e-09
1950,4.2541445921528975e-09
1951,1.0661401761424827e-09
1952,4.2179215675730575e-09
1953,3.232148326759443e-09
1954,8.795282724349818e-09
1955,1.8771215692936494e-09
1956,6.104799332717903e-09
1957,4.417518795207798e-09
1958,9.926692356998501e-09
1959,3.8753737996444215e-09
1960,8.997083078554624e-09
1961,8.33779090214648e-09
1962,2.5367825617905737e-09
1963,1.939815863494232e-09
1964,8.517555549758526e-09
1965,7.660860390501512e-09
1966,7.200797291773142e-09
1967,3.944268467392931e-09
1968,5.838840522187638e-09
1969,5.904285060864822e-09
1970,7.3579600190498695e-09
1971,1.1818314327172175e-08
1972,8.208234980600082e-09
1973,3.3079223804577396e-09
1974,4.500457340128605e-09
1975,8.567219822452898e-09
1976,3.9994687561772935e-09
1977,7.639816779203557e-09
1978,1.2475242172627077e-08
1979,4.681578680276743e-09
1980,4.548120546843393e-09
1981,6.958104314946922e-09
1982,7.449002747961231e-09
1983,4.4207211225000265e-09
1984,5.219107812592938e-09
1985,4.210890747202711e-09
1986,5.994485352545098e-09
1987,7.332980445085013e-09
1988,1.0793796967334401e-08
1989,8.780995486290522e-09
1990,8.172976073694826e-09
1991,5.8614650910726596e-09
1992,7.713921945651236e-09
1993,5.539207315052863e-09
1994,9.494868002946077e-09
1995,1.3013881527967897e-08
1996,1.3345230698291743e-08
1997,1.7261619689179497e-08
1998,1.0013071261028017e-08
1999,2.1479944933844308e-08
2000,1.0161472552283612e-08
2001,9.20054432640427e-09
2002,1.0514931148009055e-08
2003,9.58392298855415e-09
2004,7.047666006343434e-09
2005,9.908249332113428e-09
2006,8.64756888319107e-09
2007,9.18730247434496e-09
2008,5.108927503272298e-09
2009,8.582746957586096e-09
2010,8.502827775203059e-09
2011,1.0707121411712706e-08
2012,3.063827413996023e-09
2013,3.0680376017500066e-09
2014,6.9294245896855955e-09
2015,8.201329393386914e-09
2016,5.799752234025846e-09
2017,4.528100561174142e-09
2018,5.421080029321956e-09
2019,5.101975730781305e-09
