year,sommes_VERB assez_ADV
1897,2.890049870529765e-07
1898,2.998928039232851e-07
1899,2.752734076238994e-07
1900,2.7772134103543067e-07
1901,3.308533393919788e-07
1902,3.0100039793978794e-07
1903,2.662308702383598e-07
1904,3.111908029040933e-07
1905,3.50415547245575e-07
1906,3.343720038628817e-07
1907,3.188562800460204e-07
1908,3.3888585448949016e-07
1909,3.377603832177556e-07
1910,3.2706202546251006e-07
1911,3.34119505396302e-07
1912,3.083977446749486e-07
1913,3.1181579629446787e-07
1914,2.9800509082633653e-07
1915,3.2868325661183917e-07
1916,3.5599376246864267e-07
1917,3.278960889474547e-07
1918,3.1587535431754077e-07
1919,2.863640702344128e-07
1920,3.4377933388896054e-07
1921,3.0290991048786964e-07
1922,2.810993464663625e-07
1923,2.5584435547898465e-07
1924,2.977965323225362e-07
1925,2.936513396889495e-07
1926,3.332695257540763e-07
1927,3.433961239807104e-07
1928,2.913640457791189e-07
1929,2.8519440320451395e-07
1930,3.0670523187836807e-07
1931,3.079446173614997e-07
1932,2.9152366209928005e-07
1933,3.452669261605479e-07
1934,3.1032291758492647e-07
1935,3.027975878922007e-07
1936,3.0433034226007294e-07
1937,2.921139525824401e-07
1938,2.891242729674559e-07
1939,3.028222010925674e-07
1940,2.966866077258601e-07
1941,2.862957444449421e-07
1942,3.034211886188132e-07
1943,2.8451705702536856e-07
1944,2.9239993182272883e-07
1945,3.790597133956908e-07
1946,3.494197073905525e-07
1947,3.552419514107896e-07
1948,3.2180787457036786e-07
1949,3.6421101867745165e-07
1950,3.647928963346203e-07
1951,3.678183588817774e-07
1952,3.195075635176181e-07
1953,3.770839498429268e-07
1954,2.4919967245295993e-07
1955,3.003394510869839e-07
1956,3.183216676916345e-07
1957,3.0480879331662436e-07
1958,3.3254417530770297e-07
1959,2.813521575717459e-07
1960,2.9898001230321825e-07
1961,3.6130427361058537e-07
1962,3.0758488378523907e-07
1963,3.439940314819978e-07
1964,3.121075735634804e-07
1965,2.88376696744308e-07
1966,2.7307638106321974e-07
1967,2.9729923767263244e-07
1968,2.5107013357228425e-07
1969,2.5479261012151255e-07
1970,2.6442668854542717e-07
1971,2.543506809615792e-07
1972,2.4060389591795683e-07
1973,2.723522527503519e-07
1974,2.6215164439236105e-07
1975,2.2274772959463007e-07
1976,2.7367792654331424e-07
1977,2.338959177450306e-07
1978,2.566335410847387e-07
1979,2.908430758452596e-07
1980,2.5640028411544336e-07
1981,2.5175685891554167e-07
1982,2.17883325603907e-07
1983,1.8503875764963595e-07
1984,2.1746281220202945e-07
1985,2.1535697669605725e-07
1986,2.3258603221165686e-07
1987,1.7721369260925712e-07
1988,1.8349454933286324e-07
1989,2.2501301089050685e-07
1990,2.163114487530038e-07
1991,2.2976944080710382e-07
1992,1.675023071356918e-07
1993,1.739311130677379e-07
1994,2.1099705804772384e-07
1995,1.9032802356377942e-07
1996,2.0124608113292197e-07
1997,1.6494436749781016e-07
1998,1.5114969187379756e-07
1999,1.786948615745132e-07
2000,1.8644092847353022e-07
2001,1.577236190541953e-07
2002,1.8313505734113278e-07
2003,1.7042714262061054e-07
2004,1.6782254874669889e-07
2005,1.6798985313926096e-07
2006,1.7253958617402532e-07
2007,1.7216206060766126e-07
2008,1.8349564356867631e-07
2009,1.8595950734834332e-07
2010,1.8233841103665327e-07
2011,2.1376003189743642e-07
2012,2.2468067584213713e-07
2013,2.440484365706652e-07
2014,2.8345678515506734e-07
2015,2.6931391516882286e-07
2016,2.9765155318273173e-07
2017,2.5860484242912207e-07
2018,2.7983099926132127e-07
2019,2.872412210308539e-07
