year,soldats_NOUN couverts_ADJ
1961,4.16889545107324e-09
1962,4.43936931660005e-09
1963,5.819448034571906e-09
1964,1.8251904432275978e-09
1965,5.47204326295514e-09
1966,7.200797291773142e-09
1967,8.381570104631919e-09
1968,4.4914158503495116e-10
1969,6.8126366770115965e-09
1970,4.598724956395017e-09
1971,2.569198631618974e-09
1972,4.104117490300041e-09
1973,3.859242703185828e-09
1974,3.937900228123681e-09
1975,2.2845920710778955e-09
1976,2.856763492431469e-09
1977,5.876781727920388e-09
1978,1.7821774056514528e-09
1979,1.7555920051037788e-09
1980,2.8425752862659692e-09
1981,6.325549528618524e-10
1982,1.8622506869903077e-09
1983,3.157658134966823e-09
1984,1.739702604197646e-09
1985,3.609334831011779e-09
1986,4.196139880008332e-09
1987,3.0554083707556856e-09
1988,4.197587610832443e-09
1989,4.390497743145261e-09
1990,3.2691906959314565e-09
1991,2.9307325455363298e-09
1992,1.65298330578878e-09
1993,4.4313659408601325e-09
1994,3.164955852952289e-09
1995,3.795715741716776e-09
1996,5.338092190498855e-10
1997,1.917957792585412e-09
1998,1.9072516899143466e-09
1999,3.1991407301035224e-09
2000,3.5344251969604557e-09
2001,3.066848330846028e-09
2002,7.886198361006791e-09
2003,4.1669229178253886e-10
2004,3.0833537945085254e-09
2005,2.251874686720612e-09
2006,4.117890028965121e-09
2007,3.595031605740928e-09
2008,4.257439734089985e-09
2009,1.430457752249481e-09
2010,3.3066551718974324e-09
2011,6.118355155848576e-09
2012,1.0212757750593937e-08
2013,6.693900100884775e-09
2014,8.445236510112863e-09
2015,6.64972610309178e-09
2016,7.042556315894899e-09
2017,6.037467414898856e-09
2018,8.776987137082415e-09
2019,5.101975730781305e-09
