year,seras_VERB assez_ADV
1938,2.5930428915188486e-09
1939,1.070583532936098e-08
1940,0.0
1941,8.854508237732261e-09
1942,3.034211770724937e-09
1943,1.7419411690866582e-08
1944,6.4263723231761105e-09
1945,2.178504043826024e-09
1946,9.744772988540262e-09
1947,1.4305045148432782e-08
1948,6.523132700664291e-09
1949,1.2762110479513922e-08
1950,1.4889506516624351e-08
1951,6.396841278899501e-09
1952,3.1634410646574906e-09
1953,1.1851209791302608e-08
1954,1.5636057781875934e-08
1955,7.508486277174597e-09
1956,1.2209598665435806e-08
1957,6.184526224473075e-09
1958,4.9633461784992505e-09
1959,3.100299128533379e-09
1960,1.1765417085030094e-08
1961,8.33779090214648e-09
1962,8.244543714397423e-09
1963,9.69907976156037e-09
1964,8.517555549758526e-09
1965,6.5664522708175355e-09
1966,6.6468897053084675e-09
1967,1.3804939413830652e-08
1968,6.737123747768692e-09
1969,4.087581828571274e-09
1970,5.518470125309705e-09
1971,9.24911525146399e-09
1972,8.208234980600082e-09
1973,9.37244681864513e-09
1974,5.625571564138454e-09
1975,1.1422960355389478e-09
1976,7.427584769459372e-09
1977,2.938390863960194e-09
1978,9.504946163474415e-09
1979,6.437170796402825e-09
1980,9.664756106531058e-09
1981,5.060439622894819e-09
1982,4.966001831974154e-09
1983,7.57837881337764e-09
1984,3.479405208395292e-09
1985,6.617113967877231e-09
1986,7.1933827783254856e-09
1987,5.49973533381376e-09
1988,1.0194141530917022e-08
1989,3.841685636274406e-09
1990,5.993515905799995e-09
1991,8.20605094986604e-09
1992,3.30596661157756e-09
1993,7.200969598386564e-09
1994,8.967375286772494e-09
1995,8.133675954979935e-09
1996,4.270473752399084e-09
1997,6.233362714880286e-09
1998,9.536258005482523e-09
1999,3.656160929565999e-09
2000,3.97622823555821e-09
2001,4.381211837767296e-09
2002,5.6955880012310445e-09
2003,5.8336921959778465e-09
2004,1.3214373595360485e-08
2005,7.205999352777326e-09
2006,4.117890028965121e-09
2007,5.991719120856942e-09
2008,8.940623352771127e-09
2009,1.0013204487790972e-08
2010,1.795041271179798e-08
2011,1.873746313663105e-08
2012,2.9616998631354363e-08
2013,3.151711425175563e-08
2014,2.5985341878254076e-08
2015,3.147536986602972e-08
2016,3.231290435223855e-08
2017,3.421231298261773e-08
2018,3.898014711012365e-08
2019,3.290774230890747e-08
