year,plusieurs_DET anneaux_NOUN,plusieurs_DET canots_NOUN
1856,7.869327589560271e-08,1.2942972915652717e-08
1857,6.980558175939677e-08,3.124165814938351e-08
1858,6.263905566461503e-08,3.3766366147602866e-08
1859,7.587338046732839e-08,2.1896345847594034e-08
1860,5.446848758139389e-08,1.6935581020893764e-08
1861,6.790987860938458e-08,2.8295782605880504e-08
1862,6.641440131183174e-08,3.885468347064602e-08
1863,3.5461807268433176e-08,1.6482248899052365e-08
1864,8.82229951315594e-08,1.4863656527808189e-08
1865,7.90749825618775e-08,1.0355057478150798e-08
1866,8.417510333202927e-08,1.3623716377253459e-08
1867,1.572310939224053e-07,1.9896527092555516e-08
1868,1.0521931415041763e-07,2.7169306804353255e-08
1869,7.764795650899714e-08,1.4650558100015587e-08
1870,9.002456780038415e-08,1.1468098026767848e-08
1871,9.45284810427438e-08,1.3807530008236313e-08
1872,8.042961452403574e-08,1.0885210732780592e-08
1873,1.1373408542736385e-07,1.616221201317103e-08
1874,8.96191352239839e-08,8.364452575015946e-09
1875,9.440519965764338e-08,2.0025344937835143e-08
1876,7.497058041039395e-08,2.237025564788553e-08
1877,8.349501912086055e-08,1.4225076894192057e-08
1878,1.219895908177726e-07,2.657198971967034e-08
1879,7.575563010231434e-08,6.903537830282858e-08
1880,1.0589446031161742e-07,1.0910338854586143e-08
1881,8.924809669075273e-08,1.394501542018034e-08
1882,1.0582062248687407e-07,3.1945848188996706e-08
1883,1.2069937138647902e-07,2.211768601600994e-08
1884,9.110341547824419e-08,3.762967093479119e-08
1885,1.0570842334800545e-07,1.2246707647989297e-08
1886,1.0454611243382317e-07,2.1941777506029325e-08
1887,8.55289101764356e-08,5.157850369030825e-08
1888,9.764546615720349e-08,3.6141504677900116e-08
1889,9.523007749034917e-08,1.3783300445435742e-08
1890,9.045053506184786e-08,2.2284913470116408e-08
1891,7.649063726855587e-08,1.3385862196457765e-08
1892,4.826754462783356e-08,1.1283322276511853e-08
1893,6.281585052114735e-08,2.0322775018399852e-08
1894,7.498832133023825e-08,5.041231654345779e-09
1895,7.703826510052636e-08,2.5880042997528108e-08
1896,5.425266502712134e-08,1.533227589334274e-08
1897,5.477110676110897e-08,1.9810826090704836e-08
1898,6.846609323929442e-08,1.810673566637888e-08
1899,6.577818467690122e-08,8.844125432005967e-09
1900,7.994221817853031e-08,8.305684695564253e-09
1901,6.76237413288483e-08,6.706486699314951e-09
1902,1.8609975716010752e-07,1.915010727771005e-08
1903,6.318257561588325e-08,3.2401321625741275e-09
1904,5.535863945027586e-08,9.674325340824907e-09
1905,5.7284425925008264e-08,6.192910739777346e-09
1906,3.49804547550292e-08,9.259532418592897e-09
1907,5.8114130396802466e-08,1.0285686746769329e-08
1908,6.237464300618001e-08,1.3751889627044989e-08
1909,5.0609048840577486e-08,1.7053049194970527e-08
1910,5.344150810770998e-08,4.275320542035388e-09
1911,4.096687944432631e-08,1.5961122201701983e-08
1912,4.2717254955526585e-08,1.0418842677495377e-08
1913,6.416617681637149e-08,1.3787773589513108e-08
1914,6.830678245250965e-08,1.7411534103395354e-08
1915,8.364341308464418e-08,1.5314990164938536e-08
1916,4.614733883911981e-08,8.789969641043172e-09
1917,4.0575772075612804e-08,1.4256351654751143e-08
1918,4.020231614276781e-08,5.743188147278033e-09
1919,4.143531662226252e-08,1.2890987610703064e-08
1920,6.057785162383311e-08,3.786115865267448e-09
1921,3.7863738422405646e-08,1.5902770267306465e-08
1922,2.951174182808103e-08,6.6401419362982494e-09
1923,4.989495749896378e-08,1.0615948120573648e-08
1924,3.222906019839655e-08,5.156649773851996e-09
1925,3.51941706888681e-08,9.898360353588487e-09
1926,3.1209186346359274e-08,1.1146138456652466e-08
1927,3.456259556333663e-08,5.574612438330462e-09
1928,4.227635130860108e-08,1.5996457269906728e-08
1929,3.676334259239411e-08,2.2280812750352652e-09
1930,4.621585714126297e-08,8.402882833991043e-09
1931,6.158892595919951e-08,1.1405356659111021e-08
1932,2.739884241709234e-08,1.2055490161699822e-08
1933,3.441198770381959e-08,9.176529758292418e-09
1934,4.4331848414458364e-08,4.7926320689839486e-09
1935,2.154291145473053e-08,4.787313656606784e-09
1936,4.7286388138445545e-08,1.2124715009775855e-08
1937,1.7627565185307503e-08,1.2591118370153254e-08
1938,2.7226949583791793e-08,1.4261736125398272e-08
1939,1.988226472349197e-08,1.6823456405745674e-08
1940,3.550096039361961e-08,7.607348528892999e-09
1941,5.607854980382854e-08,2.9515025978810172e-09
1942,2.4273694165799498e-08,3.034211770724937e-08
1943,9.00002918857723e-08,5.806470415592457e-09
1944,6.105053884652989e-08,9.639558484764166e-09
1945,4.357008087652048e-09,4.357008087652048e-09
1946,3.062642850437669e-08,4.1763312808029696e-09
1947,3.218635202806297e-08,3.5762612871081956e-09
1948,6.631851645622078e-08,4.348755133776194e-09
1949,1.9634016856784342e-08,8.835307596655184e-09
1950,3.403315540495555e-08,1.0635361480382244e-09
1951,2.6653504292539765e-08,1.0661401761424827e-09
1952,6.221434634134937e-08,5.272401848444019e-09
1953,3.5553629373907825e-08,5.386913581872932e-09
1954,2.052232517257835e-08,5.863521668203475e-09
1955,3.003394466460918e-08,6.569925492527773e-09
1956,4.186147939400087e-08,1.0465370126055973e-08
1957,3.003912896204497e-08,2.6505113104313693e-09
1958,5.21151335419745e-08,9.926692023931594e-09
1959,3.487836619520124e-08,4.650448914844674e-09
1960,3.460416664324839e-08,4.152499955001332e-09
1961,3.8909690358579496e-08,1.389631876236308e-08
1962,1.0781326054143392e-08,5.7077609305622445e-09
1963,4.3969162977219867e-08,3.879632060055371e-09
1964,1.46015243229769e-08,6.6923653285755336e-09
1965,4.049312085641077e-08,1.0396882466068291e-08
1966,3.157272621123752e-08,9.416427082520329e-09
1967,3.1554148183232655e-08,1.133977201028813e-08
1968,1.8414804736632817e-08,1.0330256650092906e-08
1969,2.0437909975523638e-08,1.2716921959921024e-08
1970,2.4373242313302512e-08,8.27770485489765e-09
1971,3.853798036246303e-08,4.110718099248345e-09
1972,3.231992451446786e-08,1.2312352026810913e-08
1973,2.095017470615801e-08,8.269805840122046e-09
1974,2.756530048664274e-08,1.3501372464475025e-08
1975,2.1132477545648953e-08,3.4268881066168433e-09
1976,2.9710340632149723e-08,3.428116124304381e-09
1977,2.5270161796431267e-08,5.289103655048422e-09
1978,2.138612864577283e-08,8.316827670995508e-09
1979,2.0481905949054635e-08,6.437170796402825e-09
1980,1.5349906234973787e-08,1.1938816268930452e-08
1981,2.719986330612656e-08,6.958104425969225e-09
1982,1.8001756418861703e-08,6.828252518964462e-09
1983,2.7787390166622572e-08,6.94684787472255e-09
1984,2.667543930190419e-08,6.378909511717268e-09
1985,1.1429560076159362e-08,9.023336966507145e-09
1986,2.0980699177997053e-08,5.395036861699509e-09
1987,3.6053820373638246e-08,4.888653482026939e-09
1988,1.5591039570495013e-08,1.1993107618124554e-08
1989,2.1952487827547884e-08,8.780995153223614e-09
1990,1.3076762561681221e-08,4.3589208909011745e-09
1991,2.344586091940215e-08,1.0550637696837839e-08
1992,1.98357992808873e-08,2.754972083796048e-09
1993,2.4926432917737884e-08,9.416652624327781e-09
1994,1.9517228500021133e-08,6.857404755145069e-09
1995,2.4943273835287272e-08,3.79571546416102e-09
1996,1.4946657245218375e-08,6.939519847648512e-09
1997,1.726162068838022e-08,1.0548767859219765e-08
1998,1.0013071483072622e-08,5.244942147264453e-09
1999,1.9651865745817787e-08,1.8280804647829996e-09
2000,1.8555731506886275e-08,3.976228346580513e-09
2001,1.70867264781549e-08,3.5049694258049158e-09
2002,1.7524886153363894e-08,7.009954283709874e-09
2003,1.3334153337041244e-08,3.3335384452826133e-09
2004,1.4095332012686868e-08,6.166707589017051e-09
2005,1.9366122927522156e-08,7.656374201303606e-09
2006,1.1530091548195287e-08,6.176834821403077e-09
2007,1.5977918210730024e-08,3.5950315224742013e-09
2008,2.384166220004147e-08,2.554463751636149e-09
2009,2.384096164931293e-08,1.0490023960585404e-08
2010,1.8422792014138878e-08,5.668551850135373e-09
2011,1.529588808391047e-08,3.441574691898097e-09
2012,2.6553170995313735e-08,1.0212758527750054e-08
2013,1.6455837581474952e-08,6.414987430147789e-09
2014,2.338680726854392e-08,9.744503537412186e-09
2015,1.9727520950141297e-08,9.087959274012292e-09
2016,2.6098883720848676e-08,1.1806638333666797e-08
2017,2.0124890753869806e-08,5.785906087574233e-09
2018,2.0909879938635356e-08,9.035133752277602e-09
2019,2.3724186837270622e-08,8.418259422882102e-09
