year,arbres_NOUN couverts_ADJ
1873,4.1303430009520525e-08
1874,4.182226476245887e-08
1875,3.032409523484603e-08
1876,3.808989390563511e-08
1877,4.762308236649915e-08
1878,4.1065803202400275e-08
1879,5.437299321897626e-08
1880,4.6208491255583795e-08
1881,2.7890029841159958e-08
1882,2.7952617998039386e-08
1883,3.5388296737437486e-08
1884,4.291102939646407e-08
1885,3.3517306263775026e-08
1886,2.6459201052375647e-08
1887,2.546280519766242e-08
1888,3.106901047544852e-08
1889,4.573549716724301e-08
1890,3.4082809463598096e-08
1891,2.7409146952095398e-08
1892,2.4447198043731078e-08
1893,3.202376674948937e-08
1894,2.3945849747519787e-08
1895,3.49079627426363e-08
1896,2.4177818858106548e-08
1897,4.078699333831537e-08
1898,4.639851169940812e-08
1899,2.7637891975018647e-08
1900,3.218453059616877e-08
1901,2.5708198236884527e-08
1902,2.455141867585553e-08
1903,4.104167317109386e-08
1904,3.654745128756076e-08
1905,2.2191263937543226e-08
1906,2.2634411678268407e-08
1907,2.7771354993433306e-08
1908,4.125566732682273e-08
1909,3.960708028216686e-08
1910,2.3514262537105424e-08
1911,1.702519725199636e-08
1912,2.2921453179947093e-08
1913,1.9090762748419365e-08
1914,1.339348720819089e-08
1915,2.9451904026700504e-08
1916,1.9777431248257926e-08
1917,2.7416060532914344e-08
1918,1.8378202071289707e-08
1919,3.1306683467846597e-08
1920,2.0445025228355007e-08
1921,1.8931869405491852e-08
1922,2.951174238319254e-08
1923,1.4862327368803108e-08
1924,3.480738541838946e-08
1925,3.959344141435395e-08
1926,4.458455293843144e-08
1927,3.6792442870137165e-08
1928,1.82816659588525e-08
1929,3.0079096546842266e-08
1930,2.10072066408884e-08
1931,2.3951248095954725e-08
1932,1.4247397928102146e-08
1933,2.2941325283909464e-08
1934,1.1981580172459871e-08
1935,2.992070946561398e-08
1936,2.9099314957647948e-08
1937,3.5255130370615007e-08
1938,2.2040865133021725e-08
1939,2.141167065872196e-08
1940,1.2678914806940611e-08
1941,2.9515025090631752e-08
1942,1.8205270180260413e-08
1943,1.7419411690866582e-08
1944,1.2852744646352221e-08
1945,1.5249527862692958e-08
1946,1.8097434661967782e-08
1947,2.26496545963073e-08
1948,2.717971980814582e-08
1949,1.570721330779179e-08
1950,2.9779013033248702e-08
1951,2.0256663901818683e-08
1952,1.5817205323287453e-08
1953,2.1547654327491728e-08
1954,1.8567819282111486e-08
1955,1.783265446420046e-08
1956,2.703553825256222e-08
1957,2.3854601849393475e-08
1958,1.9853384713997002e-08
1959,1.705164542897819e-08
1960,2.353083417006019e-08
1961,2.014966149488373e-08
1962,2.1562652108286784e-08
1963,1.3578711488548834e-08
1964,1.9468698653213323e-08
1965,1.3132904541635071e-08
1966,1.7171132071780448e-08
1967,2.021437595089992e-08
1968,1.9313088017725022e-08
1969,1.9075383050903838e-08
1970,1.5175793066646293e-08
1971,1.2332153964678128e-08
1972,1.0773308467548759e-08
1973,1.543697081274331e-08
1974,1.7439271360331077e-08
1975,6.282628195464213e-09
1976,1.1427053969725876e-08
1977,8.815172591880582e-09
1978,1.7227714366185864e-08
1979,1.9896710057309974e-08
1980,1.3075846183596695e-08
1981,1.4548763971333756e-08
1982,1.1794254461960918e-08
1983,2.084054351314535e-08
1984,1.5657322549600394e-08
1985,1.564045071233977e-08
1986,6.593933843390687e-09
1987,1.3443797186596385e-08
1988,1.6190695006912392e-08
1989,1.4269117443177493e-08
1990,1.1442167213715493e-08
1991,1.2309077312977479e-08
1992,1.2672871640972971e-08
1993,2.049506697687775e-08
1994,2.162719958676007e-08
1995,9.21816667442954e-09
1996,2.4555223632205525e-08
1997,1.3905194329311144e-08
1998,1.7642078020685403e-08
1999,1.416762351880152e-08
2000,1.678851901942835e-08
2001,2.4096664219541708e-08
2002,8.762443215459825e-09
2003,2.083461403401543e-08
2004,2.070251881036711e-08
2005,1.8014997493764895e-08
2006,2.141302779534726e-08
2007,1.9572949483404045e-08
2008,2.3841662866175284e-08
2009,3.290052674742583e-08
2010,2.1257068993918438e-08
2011,2.4855816960211996e-08
2012,3.880847998516401e-08
2013,4.016339971713023e-08
2014,4.3741991362367116e-08
2015,4.1893276403470736e-08
2016,5.0126427453278666e-08
2017,3.7985731893286356e-08
2018,4.698269506775432e-08
2019,3.392813852087784e-08
