year,véritables_ADJ camps_NOUN
1922,7.377935484775833e-10
1923,2.1231896241147297e-09
1924,3.867487219366694e-09
1925,2.1996355847875293e-09
1926,5.57306911730393e-09
1927,4.4596899506643695e-09
1928,3.4278122562625413e-09
1929,1.1140406375176326e-09
1930,6.302162347537887e-09
1931,1.3686427990933225e-08
1932,5.4797681947604815e-09
1933,2.2941324395731044e-09
1934,2.3963160344919743e-09
1935,5.98414207075848e-09
1936,3.6374143697059935e-09
1937,2.5182236296217297e-09
1938,3.8895642262559704e-09
1939,6.117620188206274e-09
1940,5.0715658339584024e-09
1941,0.0
1942,3.034211770724937e-09
1943,1.4516175816936538e-08
1944,1.6065930807940276e-08
1945,1.9606536838523425e-08
1946,1.9489545977080525e-08
1947,1.1920871401116528e-08
1948,1.0871888278529696e-08
1949,2.945102384188658e-09
1950,6.381216888229346e-09
1951,1.1727541604500402e-08
1952,3.1634410646574906e-09
1953,1.4005975934594517e-08
1954,2.9317608341017376e-09
1955,7.508486277174597e-09
1956,6.104799332717903e-09
1957,1.3252556385623393e-08
1958,9.099467845885556e-09
1959,3.8753737996444215e-09
1960,1.5225833038812198e-08
1961,1.042223907177231e-08
1962,1.4586500007851555e-08
1963,1.4871922360271128e-08
1964,9.125952438182594e-09
1965,1.4774516721161035e-08
1966,1.4401594583546284e-08
1967,1.429797347185513e-08
1968,1.3025106326836067e-08
1969,1.3171097990039016e-08
1970,9.197449912790034e-09
1971,1.5415192677892264e-08
1972,1.539044092169206e-08
1973,1.9847533394568018e-08
1974,2.306484425673716e-08
1975,1.6563292959403952e-08
1976,2.3425460682346966e-08
1977,2.291944944943225e-08
1978,2.0198010375338527e-08
1979,1.8726314721106974e-08
1980,2.38776323158163e-08
1981,1.2018544381930951e-08
1982,1.1173503899897241e-08
1983,1.326216381158929e-08
1984,1.8556827185989277e-08
1985,1.2632671797518924e-08
1986,3.057187569766029e-08
1987,1.711028652096047e-08
1988,1.739000587974715e-08
1989,1.5915555096057687e-08
1990,1.689081763345257e-08
1991,1.875668864670388e-08
1992,2.259077191979486e-08
1993,1.994114740000441e-08
1994,2.7429617688312646e-08
1995,1.7351842629409475e-08
1996,2.6156651955488996e-08
1997,1.1987236092636522e-08
1998,1.3350762273489636e-08
1999,2.1936966021485205e-08
2000,1.8555732950176207e-08
2001,2.5849150375734098e-08
2002,1.6648641576466616e-08
2003,2.0001230893740285e-08
2004,1.9821561281219147e-08
2005,2.2068373795036678e-08
2006,1.7706927479821388e-08
2007,1.3581230362547103e-08
2008,2.0009967016676455e-08
2009,1.2874119548200724e-08
2010,2.9287516412068726e-08
2011,1.1089518636708817e-08
2012,9.872333173177594e-09
2013,1.5061274893923837e-08
2014,1.3425760059249114e-08
2015,1.0417904761084174e-08
2016,9.113896304313585e-09
2017,8.553078245654433e-09
2018,1.161660012627408e-08
2019,1.224474122096808e-08
