year,fus_VERB assez_ADV
1970,7.817832425871529e-08
1971,4.984245549621846e-08
1972,5.950970205503836e-08
1973,6.615844228008427e-08
1974,5.231781585735007e-08
1975,5.3687912782152125e-08
1976,6.227744364650789e-08
1977,4.348818549715361e-08
1978,8.49504573352533e-08
1979,7.783124544857856e-08
1980,6.026260024327712e-08
1981,5.2502059588732664e-08
1982,3.662426451001011e-08
1983,6.062703050702112e-08
1984,4.697196942515802e-08
1985,5.7749357296188464e-08
1986,4.855533219938479e-08
1987,5.377518874638554e-08
1988,5.5168296597685185e-08
1989,5.378359801966326e-08
1990,4.631353434092489e-08
1991,6.799299967497063e-08
1992,5.509944145387635e-08
1993,6.702440913386454e-08
1994,3.850696472795789e-08
1995,6.073145186746842e-08
1996,5.3380922793166974e-08
1997,4.267456077400311e-08
1998,4.625085381348981e-08
1999,5.4385392189715276e-08
2000,4.9923755796044134e-08
2001,5.5641390162008975e-08
2002,5.564151450698773e-08
2003,5.958699844654802e-08
2004,5.9905161720053e-08
2005,7.070887164672968e-08
2006,7.74163311234588e-08
2007,5.2727127552998354e-08
2008,6.173287658839399e-08
2009,6.437059596464678e-08
2010,5.5268380094730674e-08
2011,7.456745265699283e-08
2012,1.1642543995549204e-07
2013,1.3136778420630435e-07
2014,1.1498514140839688e-07
2015,1.3787098396278452e-07
2016,1.957416344566809e-07
2017,9.861196303972974e-08
2018,1.432714071825103e-07
2019,1.1275366063046022e-07
