year,sois_VERB assez_ADV
2000,2.6949991571711962e-08
2001,3.242096680011741e-08
2002,2.409671884251452e-08
2003,3.083522992497478e-08
2004,3.4357372502569206e-08
2005,2.4770623552328175e-08
2006,2.7178074013534115e-08
2007,3.994479413904628e-08
2008,4.129716479894796e-08
2009,4.148327348296732e-08
2010,5.337886133105485e-08
2011,4.932923930445199e-08
2012,6.502122706919522e-08
2013,7.084377617871951e-08
2014,9.311414217449965e-08
2015,9.73076588195454e-08
2016,1.0273846395847386e-07
2017,8.427297659707733e-08
2018,1.1074492234364186e-07
2019,9.897832775607185e-08
