year,plusieurs_DET amas_NOUN
1874,8.364453130127458e-09
1875,1.6020276105699338e-08
1876,2.3579457941735882e-08
1877,2.659470887955706e-08
1878,1.3889904337816006e-08
1879,9.163987568783227e-09
1880,1.4119262203848848e-08
1881,1.2550513517339823e-08
1882,1.6638463051776853e-08
1883,3.791603431224644e-08
1884,1.4523733327109767e-08
1885,6.445635580831777e-09
1886,1.5488313076517102e-08
1887,1.7628096316002484e-08
1888,1.8387781741679987e-08
1889,1.566284169030041e-08
1890,2.818386235503567e-08
1891,2.2309770031370135e-08
1892,3.6984221907232495e-08
1893,2.9560400349737392e-08
1894,1.0082462864602348e-08
1895,9.027921521465032e-09
1896,2.181900704556483e-08
1897,1.4566784223291052e-08
1898,2.7160103499568322e-08
1899,2.432134493801641e-08
1900,4.4123952491759155e-08
1901,4.918090157346455e-08
1902,3.240787482816643e-08
1903,1.8900770726304472e-08
1904,3.3860140469244016e-08
1905,2.4255568220610257e-08
1906,2.5206504439267974e-08
1907,1.0799970695529737e-08
1908,2.013669453404532e-08
1909,2.2003933786152174e-08
1910,2.6186337986899844e-08
1911,1.649316061502759e-08
1912,1.9274857876450113e-08
1913,2.8105845761849935e-08
1914,8.036092680185902e-09
1915,1.8849219074468238e-08
1916,3.2962386153911893e-09
1917,2.4126134423596568e-08
1918,1.6080926812378493e-08
1919,1.6574126959767455e-08
1920,1.2115570768855832e-08
1921,1.1359120755116692e-08
1922,2.656056830030451e-08
1923,1.2739137744688378e-08
1924,1.4180786767070686e-08
1925,2.859526260223788e-08
1926,1.0031524610987219e-08
1927,1.2264147031260109e-08
1928,1.5996457491951332e-08
1929,7.798284684668033e-09
1930,9.453243521306831e-09
1931,2.167017854048936e-08
1932,1.8631212128639163e-08
1933,2.523545639121494e-08
1934,7.188948103475923e-09
1935,8.377798899061872e-09
1936,1.2124714565686645e-08
1937,6.295559185076627e-09
1938,1.4261735792331365e-08
1939,1.5294050470515685e-08
1940,1.2678914806940611e-08
1941,2.6563522936839945e-08
1942,2.1239483061208375e-08
1943,3.4838822493554744e-08
1944,1.6065930807940276e-08
1945,2.6142048970001497e-08
1946,8.352662561605939e-09
1947,7.152522796260996e-09
1948,7.61032148410834e-09
1949,7.853606542873592e-09
1950,1.1698897850465073e-08
1951,1.7058243262368933e-08
1952,4.639713857557126e-08
1953,1.8315507332999914e-08
1954,8.795282724349818e-09
1955,2.815682265122632e-08
1956,1.6570168570595456e-08
1957,1.4136060544345241e-08
1958,2.1507833070089077e-08
1959,1.3176271296266862e-08
1960,2.07624992754063e-08
1961,2.3623742240186374e-08
1962,2.663621678777872e-08
1963,1.681173777967615e-08
1964,1.703511098849475e-08
1965,1.5868925951068036e-08
1966,9.416427082520329e-09
1967,7.888536823763559e-09
1968,1.1228539403829174e-08
1969,8.62933943746036e-09
1970,5.978342709767048e-09
1971,1.1304474689666222e-08
1972,9.747279428040656e-09
1973,5.513203671370093e-09
1974,7.875800456247362e-09
1975,7.4249242310031605e-09
1976,6.8562320265641574e-09
1977,1.6454989593128744e-08
1978,7.72276909088987e-09
1979,1.1703946811714161e-08
1980,7.390696110665118e-09
1981,1.2651099334792804e-08
1982,1.1173503899897241e-08
1983,9.472974182855864e-09
1984,9.858314165001048e-09
1985,6.015557940663996e-09
1986,1.0190625343575732e-08
1987,7.332980445085013e-09
1988,1.4391729474816373e-08
1989,9.329807704183679e-09
1990,9.262707045820662e-09
1991,7.033758464558559e-09
1992,1.1570882529898796e-08
1993,1.274017746855094e-08
1994,3.692448513614721e-09
1995,5.964695848348356e-09
1996,2.6690460952494277e-09
1997,6.233362825902589e-09
1998,3.337690568372409e-09
1999,3.656160929565999e-09
2000,5.7434409450607404e-09
2001,8.3243023585311e-09
2002,4.81934359086722e-09
2003,1.1667384391955693e-08
2004,7.04766583980998e-09
2005,2.2518747977429143e-09
2006,7.000412693969338e-09
2007,5.592271090648637e-09
2008,4.6831836186811415e-09
2009,1.430457752249481e-09
2010,6.140930874920514e-09
2011,3.059177577924288e-09
2012,3.744677901096338e-09
2013,4.183687618564136e-09
2014,2.8150787950709244e-09
2015,4.433150652127793e-09
2016,3.5212781579474495e-09
2017,2.264050197320344e-09
2018,3.6140533898887384e-09
2019,3.061185249730869e-09
