year,leurs_DET amas_NOUN
1895,2.5880042997528108e-08
1896,2.1229304536518612e-08
1897,1.4566784223291052e-08
1898,1.584339415217073e-08
1899,1.7688250864011934e-08
1900,2.595526638060619e-08
1901,1.0618603829559703e-08
1902,1.9641134940684424e-08
1903,1.4580594509538969e-08
1904,5.374625189347171e-09
1905,2.373949126166508e-08
1906,3.9095800818955695e-08
1907,2.2628511286981734e-08
1908,2.1118973236866623e-08
1909,1.870334465081669e-08
1910,1.977335795100288e-08
1911,8.51259862599818e-09
1912,9.897900277167082e-09
1913,1.3787773589513108e-08
1914,1.0714789944188396e-08
1915,2.120537156979907e-08
1916,2.7468655794393726e-08
1917,2.8512703309502285e-08
1918,1.033773866510046e-08
1919,1.2890987832747669e-08
1920,1.2872794385998532e-08
1921,1.6660043622440668e-08
1922,1.9182632371439468e-08
1923,2.229349149729387e-08
1924,2.320492398233398e-08
1925,1.649726644181726e-08
1926,1.671920735191179e-08
1927,1.3379070296082318e-08
1928,1.7139061725401916e-08
1929,1.8938690837799754e-08
1930,2.520864939015155e-08
1931,1.4826963656844327e-08
1932,1.3151443711834077e-08
1933,2.4088391503696016e-08
1934,1.677421224144382e-08
1935,2.2739739868882225e-08
1936,1.4549657478823974e-08
1937,7.554670666820584e-09
1938,7.779128452511941e-09
1939,2.141167065872196e-08
1940,1.5214697723919812e-08
1941,5.9030051957620344e-09
1942,9.102635090130207e-09
1943,3.4838823381733164e-08
1944,2.2492303131116387e-08
1945,2.832055301382752e-08
1946,4.1763312808029696e-09
1947,1.311295849681926e-08
1948,1.1959076617884534e-08
1949,4.908504269707237e-09
1950,1.3825969480407707e-08
1951,4.264560704569931e-09
1952,1.1599284532870513e-08
1953,1.7238124039309355e-08
1954,1.9545072227344917e-08
1955,9.385607846468247e-10
1956,1.6570168570595456e-08
1957,8.835037423882142e-09
1958,1.4890038535497752e-08
1959,1.7051644762844376e-08
1960,5.536666680683311e-09
1961,1.1117054610210175e-08
1962,7.610347907416326e-09
1963,2.5864212993553792e-09
1964,7.300761772910391e-09
1965,8.755269675919664e-09
1966,5.539074976468328e-09
1967,8.381570104631919e-09
1968,7.63540694559417e-09
1969,4.9959334169624725e-09
1970,6.898087434592526e-09
1971,2.569198631618974e-09
1972,5.643161493651405e-09
1973,5.513203671370093e-09
1974,7.313243344242437e-09
1975,6.282628195464213e-09
1976,5.713526762818333e-09
1977,4.113747398282186e-09
1978,6.534650265344055e-09
1979,1.1703946700691858e-09
1980,5.1166357817322705e-09
1981,5.69299452024552e-09
1982,8.069753087980303e-09
1983,1.2630632095778083e-09
1984,9.278413259927731e-09
1985,3.609334831011779e-09
1986,5.395036861699509e-09
1987,4.888653482026939e-09
1988,4.797243047249822e-09
1989,4.390497743145261e-09
1990,2.724325431913144e-09
1991,1.7584396161396398e-09
1992,1.0468894195980738e-08
1993,3.877445031719162e-09
1994,2.637463358823311e-09
1995,3.795715741716776e-09
1996,3.736664311304594e-09
1997,4.794894259418925e-09
1998,3.3376904573501065e-09
1999,3.1991407301035224e-09
2000,5.743440834038438e-09
2001,6.571817756650944e-09
2002,3.504977197366088e-09
2003,8.333845613606172e-09
2004,6.166707589017051e-09
2005,6.7556245042510454e-09
2006,3.706100981659688e-09
2007,1.1983438685803094e-09
2008,5.108927503272298e-09
2009,3.337734755248789e-09
2010,3.3066551718974324e-09
2011,5.353560705856353e-09
2012,1.2595734733000796e-08
2013,6.972812605088308e-09
2014,6.496335469563519e-09
2015,8.201329060320006e-09
2016,8.492494096845604e-09
2017,3.19482644783875e-08
2018,6.453666601125008e-09
2019,6.12237061048404e-09
