year,plusieurs_DET gouttes_NOUN
1979,1.1703946256602649e-08
1980,8.527726080842513e-09
1981,6.325549417596221e-09
1982,3.724501262958313e-09
1983,8.841442245000053e-09
1984,7.538711266352749e-09
1985,2.4062232206745193e-09
1986,5.395036861699509e-09
1987,4.888653482026939e-09
1988,8.395175221664886e-09
1989,9.329807704183679e-09
1990,5.993515961311147e-09
1991,2.344586080837985e-09
1992,1.3223865669154122e-08
1993,2.7696037130375828e-09
1994,1.5824779264761446e-09
1995,5.9646960148818096e-09
1996,3.736664533349199e-09
1997,1.1987236092636522e-08
1998,1.9072516899143466e-09
1999,3.656160929565999e-09
2000,3.0926220473403987e-09
2001,7.009939018143285e-09
2002,5.257465574004527e-09
2003,6.667076501987168e-09
2004,3.52383291990499e-09
2005,2.251874686720612e-09
2006,7.823991010624809e-09
2007,8.38840685801756e-09
2008,8.514879246135365e-09
2009,1.2397300741540107e-08
2010,1.2754241218715379e-08
2011,1.5295888000643743e-08
2012,1.8042539462470586e-08
2013,1.2272150407000026e-08
2014,1.905591773265769e-08
2015,2.10574673253916e-08
2016,1.9470596690496222e-08
2017,1.9621767766153653e-08
2018,2.0393586375178074e-08
2019,2.627517359243825e-08
