year,trois_DET gouttes_NOUN
1923,1.3482254068719612e-07
1924,1.1860294391041748e-07
1925,1.3087831662872418e-07
1926,1.2706597196654457e-07
1927,1.2375639490969093e-07
1928,2.010983255473775e-07
1929,1.8047458727465937e-07
1930,1.7330945834004297e-07
1931,1.9275052665079784e-07
1932,2.4330172010422757e-07
1933,1.8123646228218604e-07
1934,1.6894027865532735e-07
1935,1.4242257684315973e-07
1936,1.1397231780563288e-07
1937,1.2968852081129967e-07
1938,1.607686632709715e-07
1939,1.1164656488205082e-07
1940,8.114505423151286e-08
1941,9.739958528598436e-08
1942,1.941895582113773e-07
1943,1.1903264196533314e-07
1944,8.996921074810871e-08
1945,1.96065365720699e-07
1946,1.1972149493999495e-07
1947,1.1920870957027319e-07
1948,1.3698579137688682e-07
1949,7.755436826073492e-08
1950,7.87016745107394e-08
1951,1.620533041091221e-07
1952,8.014050756344204e-08
1953,1.2389901682396953e-07
1954,1.0456613352971544e-07
1955,9.854888016747054e-08
1956,9.244410215103471e-08
1957,9.718541349457155e-08
1958,1.340103441549445e-07
1959,9.998464722826839e-08
1960,8.097374770699162e-08
1961,1.0978091768976128e-07
1962,8.751899693848486e-08
1963,1.0151703744298857e-07
1964,8.882593771630809e-08
1965,6.238129390823133e-08
1966,7.533141399562737e-08
1967,1.0255098104039462e-07
1968,8.7133463999578e-08
1969,8.265999529299961e-08
1970,7.863819906361869e-08
1971,7.399292267784574e-08
1972,6.82309517774371e-08
1973,8.324937406101185e-08
1974,6.750686321055355e-08
1975,7.196465068304292e-08
1976,6.741961611211877e-08
1977,6.346924408262566e-08
1978,8.613857249706314e-08
1979,9.01203893732827e-08
1980,8.527726169660355e-08
1981,7.59065907907086e-08
1982,7.759377851357385e-08
1983,9.220361496531382e-08
1984,7.88665142081868e-08
1985,5.8350913434424e-08
1986,6.893658399675928e-08
1987,6.171924971098974e-08
1988,9.954279356350071e-08
1989,8.78099584156189e-08
1990,1.155114048856376e-07
1991,6.623455828247415e-08
1992,7.989419259502029e-08
1993,1.0801454486397688e-07
1994,9.020124691616616e-08
1995,8.133676221433461e-08
1996,8.434185883032796e-08
1997,9.397993316895281e-08
1998,8.487270308776829e-08
1999,7.495130160961594e-08
2000,9.454587601709363e-08
2001,6.308944833222085e-08
2002,9.025315916844079e-08
2003,8.000491824589062e-08
2004,6.607187108542689e-08
2005,7.611336627633136e-08
2006,6.753339576448525e-08
2007,8.827799646837775e-08
2008,7.7059655101408e-08
2009,1.0060886390661494e-07
2010,1.2045672104221694e-07
2011,1.3422141442731572e-07
2012,1.5319136892344432e-07
2013,1.637216442418321e-07
2014,1.767003272590273e-07
2015,1.6469154573428568e-07
2016,1.6094312638159636e-07
2017,1.6049600581879986e-07
2018,1.378503160509581e-07
2019,1.7066107815821852e-07
