year,véritables_ADJ amas_NOUN
1911,1.9685383989553884e-08
1912,2.5005221004903433e-08
1913,3.340883480973389e-08
1914,1.7411533548283842e-08
1915,1.295883844676382e-08
1916,8.789969641043172e-09
1917,2.9609346086090227e-08
1918,1.4932290071101306e-08
1919,1.2890987832747669e-08
1920,2.2716694303426266e-08
1921,1.817459427400081e-08
1922,1.770704471937279e-08
1923,2.0170300985000722e-08
1924,1.4180787211159895e-08
1925,1.7597084678300234e-08
1926,8.916910765321973e-09
1927,2.0068604555945058e-08
1928,2.2852082892654835e-08
1929,1.5596569369336066e-08
1930,1.575540586884472e-08
1931,6.843213995466613e-09
1932,1.0959536389520963e-08
1933,1.4911860191091364e-08
1934,1.4377896206951846e-08
1935,1.9149254626427137e-08
1936,1.6974599503782883e-08
1937,1.7627565185307503e-08
1938,1.0372171566075394e-08
1939,2.141167065872196e-08
1940,4.057252667166722e-08
1941,2.6563522936839945e-08
1942,9.102635090130207e-09
1943,1.4516175816936538e-08
1944,1.2852744646352221e-08
1945,1.089252066321933e-08
1946,1.3921104269343232e-08
1947,1.1920870957027319e-09
1948,1.7395020535104777e-08
1949,1.7670615193310368e-08
1950,2.3397795700930146e-08
1951,1.5992101864981123e-08
1952,2.1089608281954497e-08
1953,1.508335856215126e-08
1954,9.772536557761669e-09
1955,1.1262729415761896e-08
1956,2.1802854632824165e-08
1957,1.501956425897788e-08
1958,1.0753916868111446e-08
1959,8.525822714489095e-09
1960,9.689166802218097e-09
1961,2.223410966450956e-08
1962,8.8787386332001e-09
1963,5.1728425987107585e-09
1964,4.258777774879263e-09
1965,8.20806533852192e-09
1966,6.092982118843793e-09
1967,5.916402479044791e-09
1968,5.838840522187638e-09
1969,3.1792304344691047e-09
1970,5.518470125309705e-09
1971,1.541519245584766e-09
1972,9.234264020108185e-09
1973,5.513203671370093e-09
1974,5.625571564138454e-09
1975,0.0
1976,2.856763492431469e-09
1977,3.526069214387917e-09
1978,3.5643548113029055e-09
1979,1.1703946700691858e-09
1980,1.0801786132219604e-08
1981,1.8976649140967083e-09
1982,3.1037510339615437e-09
1983,1.2630632095778083e-09
1984,1.1598016991243298e-09
1985,2.4062232206745193e-09
1986,1.1988970927134801e-09
1987,3.0554083707556856e-09
1988,1.798966087207532e-09
1989,2.1952488715726304e-09
1990,4.358920779878872e-09
1991,4.10302547493302e-09
1992,0.0
1993,1.661762283333701e-09
1994,2.1099706426497278e-09
1995,5.422450821690461e-10
1996,2.135236876199542e-09
1997,2.876936688878118e-09
1998,1.9072516899143466e-09
1999,1.8280804647829996e-09
2000,4.4180314962005696e-10
2001,1.7524847129024579e-09
2002,2.1906108038649563e-09
2003,2.083461403401543e-09
2004,4.845270407116686e-09
2005,4.5037495954858286e-10
2006,0.0
2007,7.988958938831558e-10
2008,8.514879357157668e-10
2009,1.430457752249481e-09
2010,9.447586046817946e-10
2011,1.529588788962144e-09
2012,1.0212758416727752e-09
2013,8.367375126105969e-10
2014,2.1654451842767486e-10
2015,4.433150790905671e-10
2016,1.86420612280358e-09
2017,1.0062445321423752e-09
2018,7.744400121190154e-10
2019,7.65296326310505e-10
