year,nombreux_ADJ amas_NOUN
1875,4.691652222277298e-08
1876,2.1765652391536605e-08
1877,4.886004489890183e-08
1878,2.8383716710322915e-08
1879,3.360128886242819e-08
1880,4.7492061838738664e-08
1881,2.8587281875047665e-08
1882,4.059785041476971e-08
1883,4.865891156669022e-08
1884,2.706695667598069e-08
1885,4.383032248256313e-08
1886,2.5813855941692054e-08
1887,6.202478175509896e-08
1888,1.8387781963724592e-08
1889,3.195219733242993e-08
1890,4.260351360585446e-08
1891,2.932141285327816e-08
1892,5.0774949578169526e-08
1893,5.4194064347257154e-08
1894,3.4028310835765296e-08
1895,3.009307292245467e-08
1896,3.774098544795379e-08
1897,6.584185996416636e-08
1898,6.337357660868292e-08
1899,4.256235186517188e-08
1900,4.204752868108841e-08
1901,5.4210769206974874e-08
1902,3.5845072687834545e-08
1903,4.86019819945227e-08
1904,5.589610019285374e-08
1905,3.715746577093171e-08
1906,6.327346691037405e-08
1907,8.691405239957817e-08
1908,5.009616899087632e-08
1909,6.271121399947788e-08
1910,7.054278583495943e-08
1911,6.331245128166074e-08
1912,4.5321965513878126e-08
1913,5.196929819817342e-08
1914,4.620753202289052e-08
1915,2.1205371680821372e-08
1916,4.724608659856244e-08
1917,4.7155625626515985e-08
1918,4.479686577241182e-08
1919,6.813807829075813e-08
1920,4.997672808926268e-08
1921,3.256281289054641e-08
1922,4.3529817694842876e-08
1923,5.732611851883007e-08
1924,4.898817351772777e-08
1925,3.6293987148994233e-08
1926,3.78968714187522e-08
1927,3.3447673075670536e-08
1928,4.913197582112616e-08
1929,4.1219502699973987e-08
1930,4.516549678701409e-08
1931,7.299428261831054e-08
1932,5.479768483418468e-08
1933,4.817677989876756e-08
1934,7.069132479387008e-08
1935,5.0266792506192814e-08
1936,6.668592877900892e-08
1937,5.0364471260166965e-08
1938,3.759912203804561e-08
1939,4.282334131744392e-08
1940,2.7893612752905028e-08
1941,4.427254030048289e-08
1942,3.3376328811840494e-08
1943,6.096794180621146e-08
1944,2.8918675454292497e-08
1945,2.6142048525912287e-08
1946,4.5939643200654245e-08
1947,1.907339353124371e-08
1948,3.587722829934137e-08
1949,3.2396128224476683e-08
1950,3.722376673565009e-08
1951,3.8381047229307796e-08
1952,2.8470971358274255e-08
1953,6.033343424860504e-08
1954,5.961247140362502e-08
1955,4.129667274810345e-08
1956,3.9245136473908815e-08
1957,4.152467814044769e-08
1958,3.0607301415574995e-08
1959,4.960478650062328e-08
1960,3.598833331341922e-08
1961,4.02993247661243e-08
1962,2.917300001570311e-08
1963,3.9442924371080323e-08
1964,2.494427064902993e-08
1965,3.1190647065137966e-08
1966,2.3818022332200428e-08
1967,4.042875123566603e-08
1968,2.4702787593255948e-08
1969,4.5417579447315504e-08
1970,2.0694263025422543e-08
1971,2.620582706391872e-08
1972,2.2572647029317494e-08
1973,1.709093200297218e-08
1974,3.994155761688489e-08
1975,1.3707552426467373e-08
1976,2.171140245366132e-08
1977,2.6445517775641747e-08
1978,1.900989232694883e-08
1979,1.7555920495126998e-08
1980,3.183684471608217e-08
1981,1.897664803074406e-08
1982,1.551875572491923e-08
1983,1.4525227243211702e-08
1984,1.275781880138993e-08
1985,8.421781494405423e-09
1986,7.792831269171074e-09
1987,1.4054879038383206e-08
1988,1.139345240375178e-08
1989,1.4269117443177493e-08
1990,2.0160008773473237e-08
1991,6.4476117778156095e-09
1992,6.060938473329003e-09
1993,1.1078414630105726e-08
1994,1.1077346095955676e-08
1995,3.795715741716776e-09
1996,7.473328622609188e-09
1997,1.006927874414032e-08
1998,8.582632382569955e-09
1999,1.4624643718263997e-08
2000,1.0161472552283612e-08
2001,9.20054432640427e-09
2002,4.81934359086722e-09
2003,7.500461418619153e-09
2004,4.845270407116686e-09
2005,7.205999352777326e-09
2006,1.6471559671771274e-09
2007,6.391167151065247e-09
2008,5.108927586539025e-09
2009,2.860915504498962e-09
2010,4.2514138876015295e-09
2011,7.647943611743813e-09
2012,4.765953909302567e-09
2013,2.7891249310130206e-09
2014,5.197068553286499e-09
2015,5.098123256885856e-09
2016,6.628288140575478e-09
2017,3.2702947017071438e-09
2018,5.937373370734633e-09
2019,5.101975453225549e-09
