year,quelques_DET gouttes_NOUN
1950,1.3879146862905145e-06
1951,1.4083711903367657e-06
1952,1.552195115550603e-06
1953,1.5708239899936416e-06
1954,1.5215838260473902e-06
1955,1.5026358610725765e-06
1956,1.241890544179114e-06
1957,1.3632463691237717e-06
1958,1.298742247968221e-06
1959,1.2486454963323013e-06
1960,1.111485815386004e-06
1961,1.0491720559002715e-06
1962,1.1149159107048945e-06
1963,1.0630191908944653e-06
1964,1.0859883374791934e-06
1965,1.024913714786635e-06
1966,1.0297140065063104e-06
1967,1.0319192540464428e-06
1968,9.602647281781174e-07
1969,8.034369400888863e-07
1970,7.302775522077809e-07
1971,7.353046527214246e-07
1972,7.243767434772508e-07
1973,6.913557442089768e-07
1974,6.328768122898509e-07
1975,5.888536307452341e-07
1976,5.770662276916028e-07
1977,6.593749439787189e-07
1978,7.176234362304967e-07
1979,7.742160690327182e-07
1980,6.282091682408009e-07
1981,7.20480109350774e-07
1982,6.586159813082304e-07
1983,6.801595304750663e-07
1984,7.376338650999514e-07
1985,6.647191916897555e-07
1986,6.300204375975227e-07
1987,6.947998798523258e-07
1988,6.782102630609188e-07
1989,6.371709702079897e-07
1990,6.756327266543849e-07
1991,5.849742521490953e-07
1992,6.259296689847815e-07
1993,6.813224828761122e-07
1994,6.730806560995006e-07
1995,7.672768020938747e-07
1996,6.560515046771798e-07
1997,6.861493915266692e-07
1998,6.35591611342079e-07
1999,6.498826081724474e-07
2000,6.980489928309908e-07
2001,6.641917096317229e-07
2002,7.31663963193796e-07
2003,6.729580803721547e-07
2004,7.748027996967721e-07
2005,7.48072814360512e-07
2006,8.165775895463412e-07
2007,9.962231573013014e-07
2008,1.2252911432142355e-06
2009,1.295994763950148e-06
2010,1.5631031402563167e-06
2011,2.0163804492767667e-06
2012,2.513359817157834e-06
2013,2.5422874898595182e-06
2014,2.4465199714995833e-06
2015,2.648586047371282e-06
2016,2.7254693293343735e-06
2017,2.406433821988685e-06
2018,2.58301565736474e-06
2019,2.6770065915115993e-06
