year,pas_ADV gâtée_ADJ
1925,8.798542339150117e-09
1926,1.2260752413340015e-08
1927,1.8953683067479687e-08
1928,3.4278122562625413e-09
1929,2.0052731031228177e-08
1930,5.2518016602221e-09
1931,1.1405356659111021e-09
1932,1.0959536611565568e-09
1933,8.02946331646126e-09
1934,5.990790086229936e-09
1935,4.787313656606784e-09
1936,8.487299751891442e-09
1937,5.0364472592434595e-09
1938,6.482607339819424e-09
1939,1.3764645423464117e-08
1940,0.0
1941,0.0
1942,9.102635090130207e-09
1943,5.806470415592457e-09
1944,2.2492303131116387e-08
1945,4.357008087652048e-09
1946,6.960552134671616e-09
1947,9.536696765621855e-09
1948,8.697510267552389e-09
1949,1.1780409536754632e-08
1950,5.317680518146517e-09
1951,6.396841278899501e-09
1952,6.326882129314981e-09
1953,5.386913581872932e-09
1954,1.3681550115052232e-08
1955,3.754243138587299e-09
1956,5.232684952005684e-09
1957,9.718541527092839e-09
1958,5.790570245522986e-09
1959,6.200598257066758e-09
1960,1.038124963770315e-08
1961,4.86371165564492e-09
1962,3.805173953708163e-09
1963,6.466053470433053e-09
1964,1.0951143103454797e-08
1965,6.5664522708175355e-09
1966,8.862519607077957e-09
1967,6.902469706915326e-09
1968,1.122853987567396e-08
1969,9.991866889436096e-09
1970,5.518470125309705e-09
1971,3.083038491169532e-09
1972,8.208234980600082e-09
1973,4.9618833486420044e-09
1974,4.500457340128605e-09
1975,6.8537762132336866e-09
1976,4.570821499072508e-09
1977,1.057820764316375e-08
1978,4.752473081737207e-09
1979,6.437170796402825e-09
1980,1.1370301367108482e-09
1981,5.060439622894819e-09
1982,5.586751949948621e-09
1983,1.0104505676622466e-08
1984,7.538710988796993e-09
1985,3.0077789148208467e-09
1986,4.7955883708539204e-09
1987,7.332980445085013e-09
1988,3.597932174415064e-09
1989,9.878619700032232e-09
1990,6.538381391862913e-09
1991,5.2753188484189195e-09
1992,1.65298330578878e-09
1993,6.093128224193833e-09
1994,4.747434001473039e-09
1995,1.138714633697191e-08
1996,9.074756945892659e-09
1997,2.876936688878118e-09
1998,9.059445638115449e-09
1999,3.656160929565999e-09
2000,3.5344251969604557e-09
2001,4.8193329327261836e-09
2002,7.009954394732176e-09
2003,7.500461585152607e-09
2004,1.2773894830786503e-08
2005,8.106749049829887e-09
2006,1.0294725072412803e-08
2007,8.787854888225866e-09
2008,9.366367237362283e-09
2009,1.5735034608610476e-08
2010,9.919965293647692e-09
2011,1.3766299211681599e-08
2012,1.599998711299122e-08
2013,2.0639525644128298e-08
2014,2.4469530401916018e-08
2015,1.884089151360513e-08
2016,1.7606391011781852e-08
2017,1.9873329648589788e-08
2018,2.1942467398616827e-08
2019,1.785691416955615e-08
