year,vingt - six années
1887,3.817390792359987e-08
1888,4.752533033780537e-08
1889,3.249609159539091e-08
1890,4.337384762465035e-08
1891,3.583875507473522e-08
1892,5.395407143282682e-08
1893,7.472235807881589e-08
1894,7.724278489051883e-08
1895,5.645663847531068e-08
1896,5.8539189495832034e-08
1897,5.411146986045168e-08
1898,8.552351715707118e-08
1899,4.636311801142767e-08
1900,4.6461636316053045e-08
1901,4.7488563692521524e-08
1902,2.325075509901353e-08
1903,2.8016662878549425e-08
1904,3.026965622598965e-08
1905,3.760611561043348e-08
1906,4.483769155960715e-08
1907,4.887973148459679e-08
1908,4.285642796197919e-08
1909,3.700300044151561e-08
1910,4.423768751316004e-08
1911,4.9323205963958117e-08
1912,4.023405253406054e-08
1913,3.4521491443229024e-08
1914,4.3580901998296895e-08
1915,3.636667300632723e-08
1916,2.781472951962627e-08
1917,7.598444895506873e-08
1918,7.077109931419301e-08
1919,3.547231086642455e-08
1920,3.337350723553456e-08
1921,4.2620493800882286e-08
1922,6.51510934090993e-08
1923,3.2847961684012716e-08
1924,6.982037303870925e-08
1925,4.9959261616550066e-08
1926,3.456796804357509e-08
1927,5.8010597880908676e-08
1928,4.9341438712602326e-08
1929,3.085656663515124e-08
1930,3.2552222251069907e-08
1931,2.6519947127212617e-08
1932,2.5470523024040403e-08
1933,3.6795135827105696e-08
1934,4.380477980348019e-08
1935,3.5812096621512524e-08
1936,4.563579725225253e-08
1937,4.6027051059382984e-08
1938,3.442586604673892e-08
1939,1.694217566239331e-08
1940,2.814614918911218e-08
1941,9.842890946742955e-09
1942,4.3737141908195554e-08
1943,5.1381963794838725e-08
1944,2.839560409029218e-08
1945,2.1626657797924054e-08
1946,2.0016566182334827e-08
1947,3.555313554670647e-08
1948,2.5267336778433958e-08
1949,2.8121794226620977e-08
1950,4.234595252228246e-08
1951,4.4836426127403683e-08
1952,3.387281821698451e-08
1953,3.334313181113657e-08
1954,5.6194962017031e-08
1955,3.116347868648006e-08
1956,2.7975984195904857e-08
1957,1.6623920018332683e-08
1958,3.842545837073885e-08
1959,2.3150921846237793e-08
1960,2.6786779017129447e-08
1961,1.4569444817258415e-08
1962,2.0982774406874682e-08
1963,2.924195147135933e-08
1964,2.9529778344805635e-08
1965,3.7409953357325776e-08
1966,3.2386046844301575e-08
1967,2.227073481186892e-08
1968,2.7175138139767796e-08
1969,2.945717025859551e-08
1970,3.641671708631833e-08
1971,2.1532062799423102e-08
1972,3.335272624749308e-08
1973,2.8029094156778456e-08
1974,3.9181528466158966e-08
1975,3.726184516494868e-08
1976,4.2917304376999255e-08
1977,1.818505079853594e-08
1978,1.3086939698592204e-08
1979,1.2238746016635105e-08
1980,2.62990031973942e-08
1981,2.9243867771810983e-08
1982,3.136608661691298e-08
1983,2.9156112191230932e-08
1984,3.884560184630459e-08
1985,2.775533780585704e-08
1986,2.501746632077584e-08
1987,2.8197454593481552e-08
1988,3.6880557274798775e-08
1989,2.5919568713561603e-08
1990,3.880497212449541e-08
1991,1.8003789348242094e-08
1992,4.10382439142154e-08
1993,3.8822857595377513e-08
1994,3.868158032771518e-08
1995,3.6166032169049345e-08
1996,3.9668018758654e-08
1997,2.9311746030380448e-08
1998,2.2371008823185434e-08
1999,2.991085734649346e-08
2000,2.794064446476341e-08
2001,2.484282779491309e-08
2002,6.014416342736695e-08
2003,2.8135179741539673e-08
2004,4.796653785277272e-08
2005,3.678701387954675e-08
2006,3.589934893799551e-08
2007,3.6649402401778275e-08
2008,4.32341946687842e-08
2009,3.390202762965089e-08
2010,3.675572779471281e-08
2011,3.147319849183816e-08
2012,3.9745389202039405e-08
2013,3.295807959879937e-08
2014,3.760393552099117e-08
2015,3.652610791604616e-08
2016,3.0948588358725715e-08
2017,3.765176925796254e-08
2018,3.2087930090796135e-08
2019,3.342351462265469e-08
