year,seriez_VERB en_ADP,seriez_VERB dans_ADP
1842,7.647422251011449e-08,7.647422251011449e-08
1843,8.446883015267304e-08,5.316219997553162e-08
1844,6.641159444598088e-08,4.061535463506516e-08
1845,5.970844085823046e-08,5.133809821700197e-08
1846,6.030136034951283e-08,7.025401771443285e-08
1847,9.977463832910871e-08,5.123562374365065e-08
1848,8.769291781618449e-08,3.539897619475596e-08
1849,5.362825561405771e-08,6.954914510970411e-08
1850,5.838536765168101e-08,4.412847331991543e-08
1851,5.546517201082679e-08,3.740674614505224e-08
1852,8.398603768000612e-08,6.185018008864063e-08
1853,5.1358615138497044e-08,3.523439673358553e-08
1854,1.080698197597485e-07,3.844791862661623e-08
1855,7.8542669257331e-08,5.519214596461097e-08
1856,6.264399132760445e-08,5.850223772085883e-08
1857,9.128422107096412e-08,3.417056504417815e-08
1858,8.808616769329092e-08,6.508589223130912e-08
1859,7.027199444564758e-08,5.0412516827691434e-08
1860,7.048863182035348e-08,7.598125506547149e-08
1861,6.083593007133459e-08,5.659156343540417e-08
1862,1.1746764272402288e-07,3.4336697041226216e-08
1863,8.740586565636477e-08,4.04564275413577e-08
1864,9.54150891629979e-08,4.411149845395812e-08
1865,7.90749865586804e-08,6.213034708935083e-08
1866,8.368854054197072e-08,3.7465220259491616e-08
1867,9.074757656435395e-08,3.202855580752839e-08
1868,6.125443974269729e-08,5.4832600682175325e-08
1869,7.325278517100742e-08,5.567211758261692e-08
1870,7.798306000950106e-08,5.103303379883073e-08
1871,4.991953161948004e-08,2.2304472935275044e-08
1872,6.168286148522384e-08,3.9912439575573444e-08
1873,5.5071240012694034e-08,4.1303430009520525e-08
1874,6.572069821686455e-08,6.034355237716227e-08
1875,9.097227859911072e-08,5.149374260327022e-08
1876,3.808989390563511e-08,2.7207066821688386e-08
1877,6.49405649255641e-08,7.236234722540758e-08
1878,4.7708802242141246e-08,4.1065803202400275e-08
1879,8.369775628125353e-08,2.3215436684154156e-08
1880,6.417846520889725e-08,5.262634061864446e-08
1881,7.600033313792665e-08,4.8807553554297556e-08
1882,6.788492612486152e-08,5.257754409626614e-08
1883,4.3603439081607576e-08,5.561018312505439e-08
1884,6.46966284989503e-08,3.036780782394999e-08
1885,4.447488777259423e-08,5.0920522909336796e-08
1886,4.904632433522238e-08,3.226731948302586e-08
1887,5.092561039532484e-08,3.525619263200497e-08
1888,4.438430423192585e-08,1.521747527988282e-08
1889,4.385595886446936e-08,3.257871128425904e-08
1890,6.292211196523567e-08,3.0150179242127706e-08
1891,5.5455714687013824e-08,3.824532157636895e-08
1892,6.519253048509199e-08,3.13425623232888e-08
1893,5.1114856347567184e-08,2.6481190573690583e-08
1894,4.915200690902566e-08,2.457600345451283e-08
1895,4.814891596538473e-08,2.768562623600701e-08
1896,3.715128116255073e-08,3.4792471126365854e-08
1897,3.26295968022805e-08,3.4960280004270317e-08
1898,4.9227686815811467e-08,2.9423445013776472e-08
1899,3.371822998587959e-08,2.8743407654019393e-08
1900,5.294874227956825e-08,2.3359739032002835e-08
1901,3.520905522691464e-08,1.7325090695408107e-08
1902,4.959386856739911e-08,2.356936334990678e-08
1903,4.1581696308412575e-08,3.132127801563911e-08
1904,4.03096898082822e-08,2.6335662539622717e-08
1905,2.9932401446330914e-08,2.0126959654476195e-08
1906,3.600929332492342e-08,3.189394348623864e-08
1907,4.782844342798853e-08,2.9314207949937554e-08
1908,4.0764529529724314e-08,3.388858615949175e-08
1909,4.1807474815414025e-08,1.925344328412848e-08
1910,5.50447509795049e-08,2.404867771588215e-08
1911,5.533189195716659e-08,3.1390207766435196e-08
1912,4.167537070998151e-08,3.64659484830554e-08
1913,4.560571298384275e-08,2.7575547179026216e-08
1914,5.424362470307642e-08,2.4777952134513725e-08
1915,1.767114277129167e-08,3.534228465440492e-09
1916,3.186363883855847e-08,1.4283700444650549e-08
1917,2.1932848426331475e-08,1.5352993543160665e-08
1918,3.675640414257941e-08,2.412139110674616e-08
1919,4.4197673076951105e-08,1.4732557396257562e-08
1920,4.467616676606667e-08,2.0445025228355007e-08
1921,3.180553775905537e-08,1.5902768879527684e-08
1922,5.75478971143184e-08,3.467629738906908e-08
1923,6.051090650771584e-08,3.078624999375279e-08
1924,4.769901096324247e-08,2.0626599095407983e-08
1925,3.739380360912037e-08,3.299453510408057e-08
1926,3.4553028882555736e-08,3.343841470382358e-08
1927,4.9056588125040435e-08,1.7838759802657478e-08
1928,5.255979118601317e-08,2.742249805010033e-08
1929,5.23599084090165e-08,3.119313873867213e-08
1930,4.20144132817768e-08,2.6259009189288918e-08
1931,3.5356606531422585e-08,2.737285598186645e-08
1932,5.370172928564898e-08,3.06867029564728e-08
1933,3.0970788600370724e-08,1.605892663292252e-08
1934,3.834105655187159e-08,2.6359476379411717e-08
1935,2.992070946561398e-08,7.180970484910176e-09
1936,2.66743711563322e-08,2.5461901032031165e-08
1937,3.777335422228134e-08,2.5182236740306507e-08
1938,4.2785206488815675e-08,4.019216603978748e-08
1939,2.9058696782158222e-08,1.070583532936098e-08
1940,3.296517903095264e-08,2.5357829613881222e-08
1941,5.017554371988808e-08,1.1806010391524069e-08
1942,1.517105907566929e-08,9.102635090130207e-09
1943,5.806470415592457e-09,8.709705845433291e-09
1944,4.177142187700156e-08,1.2852744646352221e-08
1945,3.921307367704685e-08,1.5249527862692958e-08
1946,2.645009899993056e-08,2.227376683094917e-08
1947,5.245183132274178e-08,2.1457568166738383e-08
1948,3.587722829934137e-08,1.522064252412747e-08
1949,5.2030145525350235e-08,4.908504269707237e-09
1950,7.12569203642488e-08,2.4461330738745346e-08
1951,4.371174711081949e-08,1.9190522948520083e-08
1952,4.112473561690422e-08,8.435843135146115e-09
1953,4.201792691560513e-08,8.619061908632375e-09
1954,3.9090146231046674e-08,1.2704297169818801e-08
1955,4.129667274810345e-08,1.595553378308523e-08
1956,4.0117249966442614e-08,1.3953826538681824e-08
1957,3.6223653410161205e-08,1.1485549400447326e-08
1958,4.9633460008635666e-08,1.6544486669545222e-08
1959,5.348016074435691e-08,1.5501495198577686e-08
1960,4.0832915715327545e-08,2.422291700554524e-08
1961,4.099414141478519e-08,2.779263752472616e-08
1962,5.834600003140622e-08,1.9660065575521912e-08
1963,3.168366191630412e-08,1.3578711488548834e-08
1964,3.04198408684897e-08,2.494427064902993e-08
1965,3.775710055720083e-08,2.0793764932136583e-08
1966,4.043524626240469e-08,1.38476865529924e-08
1967,2.9582013283402375e-08,1.3804939413830652e-08
1968,4.6710724177501106e-08,1.5719955115400808e-08
1969,5.450109341609277e-08,2.4071315607443466e-08
1970,5.334521091526767e-08,1.4715920038099739e-08
1971,4.624557803367679e-08,2.6205826841874114e-08
1972,3.33459553303328e-08,2.0520587895589415e-08
1973,3.6938466507763223e-08,1.1577728109557484e-08
1974,3.037808582462276e-08,8.438357568252286e-09
1975,2.627280792921738e-08,1.1422960355389478e-08
1976,3.828062844490887e-08,1.428381679602353e-08
1977,2.6445517775641747e-08,5.876781727920388e-09
1978,2.8514838490423244e-08,8.910887139279566e-09
1979,3.803782533395861e-08,1.9311512389208474e-08
1980,3.240536017301565e-08,1.2507331170752423e-08
1981,3.226030287351023e-08,1.644642821929665e-08
1982,4.0969514003563745e-08,1.8001756529884005e-08
1983,3.157657957331139e-08,1.6419821946556112e-08
1984,3.943325666000419e-08,1.3917620833581168e-08
1985,2.8874678648094232e-08,8.421781494405423e-09
1986,3.2370220282018636e-08,1.2588419195935785e-08
1987,2.5665430669619127e-08,1.7721369260925712e-08
1988,2.818380373525997e-08,7.795519785247507e-09
1989,3.5123981945162086e-08,8.780995486290522e-09
1990,2.3429199913493903e-08,1.6345952147389653e-08
1991,3.3996499837485317e-08,1.2895223555631219e-08
1992,2.589673719910479e-08,8.815910668147353e-09
1993,3.212740296021366e-08,2.049506697687775e-08
1994,4.114442830882581e-08,7.912389854425328e-09
1995,2.331653803366862e-08,8.675921314704738e-09
1996,2.4555223632205525e-08,9.60856638698715e-09
1997,3.212579358091716e-08,1.2466725429760572e-08
1998,3.099284029417504e-08,6.198567881199324e-09
1999,2.559312584082818e-08,7.312321859131998e-09
2000,2.2973763336153752e-08,8.394259509714175e-09
2001,3.8992784112679146e-08,1.0514908055370142e-08
2002,2.8477940006155222e-08,9.200564754507923e-09
2003,3.1251921939201566e-08,1.583430631058036e-08
2004,2.686922684347337e-08,1.2333415178034102e-08
2005,2.432024714948966e-08,1.5763124139311913e-08
2006,2.9648807853277503e-08,1.6059770402421236e-08
2007,4.314037838071272e-08,1.5977917655618512e-08
2008,3.8316958494988285e-08,2.299017509699297e-08
2009,5.292693572300777e-08,1.7165493915172192e-08
2010,7.747020447368413e-08,3.117703428756613e-08
2011,8.412738594643088e-08,2.103184648660772e-08
2012,9.123397148869117e-08,3.6425504390535934e-08
2013,1.0877587897084595e-07,3.3190588055731496e-08
2014,1.1087079343496953e-07,4.092691341384125e-08
2015,1.1326699933533746e-07,3.812509774547834e-08
2016,1.2552320072245493e-07,4.515521467851613e-08
2017,1.0615880086106699e-07,3.7482607240235666e-08
2018,1.141008283411793e-07,3.872199982879465e-08
2019,1.14539346895981e-07,3.622402644509748e-08
