year,meilleurs_ADJ essais_NOUN
1911,1.276889793899727e-08
1912,7.814131564032323e-09
1913,1.4318072061314524e-08
1914,2.276892807628883e-08
1915,1.295883844676382e-08
1916,3.625862632361532e-08
1917,3.289927441585405e-09
1918,1.378365155346728e-08
1919,1.012863304339362e-08
1920,1.817335615328375e-08
1921,1.5902768879527684e-08
1922,7.377935595798135e-09
1923,1.5923921736771263e-08
1924,6.445812328337297e-09
1925,1.649726644181726e-08
1926,1.2260752413340015e-08
1927,2.0068604555945058e-08
1928,2.2852082892654835e-08
1929,1.3368487650211591e-08
1930,3.046045193855207e-08
1931,1.9389105432310316e-08
1932,2.082311922890767e-08
1933,1.0323596200123575e-08
1934,1.9170528275935794e-08
1935,8.377798899061872e-09
1936,8.487299751891442e-09
1937,3.1477796369472344e-08
1938,1.2965214457594243e-08
1939,1.6823456405745674e-08
1940,1.0143131667916805e-08
1941,5.9030051957620344e-09
1942,2.4273694165799498e-08
1943,2.322588166236983e-08
1944,4.4984606262232774e-08
1945,3.267756198965799e-08
1946,1.6705326011390298e-08
1947,9.536696765621855e-09
1948,1.195907639583993e-08
1949,2.2579119018928395e-08
1950,1.914365022059883e-08
1951,2.3455083209000804e-08
1952,1.370824520563474e-08
1953,1.8315507332999914e-08
1954,2.8340354063516315e-08
1955,2.0648336374051723e-08
1956,2.7907653521452858e-08
1957,1.9437083054185678e-08
1958,1.4062814024384807e-08
1959,2.2477168570844697e-08
1960,1.4533750203327145e-08
1961,1.6675582859004834e-08
1962,1.9025868880362395e-08
1963,2.780402907909263e-08
1964,2.8594651924063186e-08
1965,1.969935614631879e-08
1966,1.1078149952936656e-08
1967,9.86067127950463e-09
1968,1.976222918642634e-08
1969,1.544197658631674e-08
1970,1.7475155905666284e-08
1971,1.6956711590410123e-08
1972,1.487742551375959e-08
1973,9.923766697284009e-09
1974,7.875800456247362e-09
1975,9.138368284311582e-09
1976,1.314111219841152e-08
1977,8.22749424145286e-09
1978,1.2475242172627077e-08
1979,1.345953837272873e-08
1980,2.4446148216838992e-08
1981,1.138598904049104e-08
1982,1.3656505259973528e-08
1983,1.7682884490000106e-08
1984,1.333771937339634e-08
1985,2.105445351396895e-08
1986,7.792831269171074e-09
1987,4.888653482026939e-09
1988,1.1993107784658008e-08
1989,1.0976243913773942e-08
1990,2.0704873870958096e-08
1991,1.1136783939491579e-08
1992,1.322386644631024e-08
1993,7.200969598386564e-09
1994,1.476979427650349e-08
1995,1.2471637056421514e-08
1996,1.014237493990322e-08
1997,5.274384040632185e-09
1998,1.0013071261028017e-08
1999,1.2339542720951613e-08
2000,1.3254094710646314e-08
2001,5.257454027685071e-09
2002,1.270554239596322e-08
2003,9.167230530238157e-09
2004,6.607186797680242e-09
2005,7.205999352777326e-09
2006,7.000412693969338e-09
2007,7.589511241690161e-09
2008,7.2376473703172906e-09
2009,6.198650481792356e-09
2010,4.2514138876015295e-09
2011,5.353560705856353e-09
2012,6.468080293586809e-09
2013,5.29933741333366e-09
2014,2.5985342766432495e-09
2015,1.5516027351836215e-09
2016,4.764082156549776e-09
2017,4.024978128569501e-09
2018,2.581466596041082e-09
2019,3.826481798085979e-09
