year,devriez_VERB écrire_VERB
1909,1.2102163715610459e-08
1910,1.9238942883248455e-08
1911,6.916486494645824e-09
1912,4.167536982180309e-09
1913,9.015082902408267e-09
1914,1.4732836284281348e-08
1915,1.767114277129167e-08
1916,6.592477230782379e-09
1917,2.1932848870420685e-09
1918,1.1486376294556067e-09
1919,1.012863304339362e-08
1920,2.6502810612782923e-08
1921,1.2873671018098776e-08
1922,1.1804696775641332e-08
1923,2.0170300985000722e-08
1924,6.445812328337297e-09
1925,1.5397448649423495e-08
1926,1.5604593173179637e-08
1927,2.2298449309232637e-08
1928,1.5996457491951332e-08
1929,7.798284684668033e-09
1930,1.1553964007759987e-08
1931,1.0264820993199919e-08
1932,1.4247397928102146e-08
1933,2.408838994938378e-08
1934,1.9170528275935794e-08
1935,1.6755597798123745e-08
1936,9.699771652549316e-09
1937,1.3850230295986421e-08
1938,1.0372171566075394e-08
1939,1.5294050470515685e-08
1940,1.2678914806940611e-08
1941,2.066051862925633e-08
1942,3.034211770724937e-09
1943,2.0322646676618206e-08
1944,9.639558484764166e-09
1945,1.5249527862692958e-08
1946,2.645009899993056e-08
1947,1.0728784083369192e-08
1948,1.3046265401328583e-08
1949,8.835307596655184e-09
1950,2.6588404367089424e-08
1951,2.1322803078760444e-08
1952,1.1599284199803606e-08
1953,1.508335856215126e-08
1954,1.6613311615287785e-08
1955,3.003394510869839e-08
1956,2.2674967681268754e-08
1957,2.1204090927540165e-08
1958,1.3235589513271862e-08
1959,1.5501495198577686e-08
1960,2.4914999841030294e-08
1961,2.223410966450956e-08
1962,1.7123282347597524e-08
1963,1.6165133231993423e-08
1964,1.5818317322668918e-08
1965,7.1136563306595235e-09
1966,1.8278946356531378e-08
1967,1.2818872185960117e-08
1968,1.257596426995633e-08
1969,9.083515273289322e-09
1970,1.5635665207014426e-08
1971,1.5415192677892264e-08
1972,1.0773308467548759e-08
1973,1.2129047988196362e-08
1974,1.4626486688484874e-08
1975,1.1422960355389478e-08
1976,9.141642998145016e-09
1977,1.5867311020656416e-08
1978,1.128712323605896e-08
1979,8.192762912528906e-09
1980,2.1603572264439208e-08
1981,1.0753434587229549e-08
1982,1.924325765401136e-08
1983,1.9577479193344516e-08
1984,9.858314165001048e-09
1985,1.3234227935754461e-08
1986,1.8582904104391673e-08
1987,1.1610551631235921e-08
1988,1.679035044332977e-08
1989,7.683371272548811e-09
1990,1.2531897297662908e-08
1991,1.1136783939491579e-08
1992,6.060938417817852e-09
1993,6.647049133334804e-09
1994,9.494868002946077e-09
1995,1.138714633697191e-08
1996,2.2419987644184403e-08
1997,1.2946214766884623e-08
1998,1.5734826774860267e-08
1999,1.7823785114501334e-08
2000,1.0603275590881367e-08
2001,1.3581756164171566e-08
2002,1.5772396722013582e-08
2003,1.2917460878725251e-08
2004,1.3654853248112886e-08
2005,1.7564623533417034e-08
2006,1.976587071794711e-08
2007,1.677681460421354e-08
2008,2.1287197782271505e-08
2009,1.8595951445377068e-08
2010,2.3146585093059002e-08
2011,2.4091024286576612e-08
2012,3.5063802528156884e-08
2013,3.207493648460513e-08
2014,3.702911399727782e-08
2015,2.7263876489769245e-08
2016,2.754882189037744e-08
2017,2.842640789424422e-08
2018,3.3559068413069326e-08
2019,3.035675533169524e-08
