year,premiers_ADJ doutes_NOUN
1981,3.1627749308427155e-08
1982,4.2831767022022404e-08
1983,3.599730291625747e-08
1984,3.479405208395292e-08
1985,2.4062231318566774e-08
1986,3.2969668828375376e-08
1987,3.422057304192094e-08
1988,4.6773120265797274e-08
1989,4.390497621020728e-08
1990,3.705082818328265e-08
1991,3.9857964928557976e-08
1992,4.352855903499986e-08
1993,4.542150233710629e-08
1994,4.1144427642691994e-08
1995,5.314001777501076e-08
1996,3.149474281372022e-08
1997,4.794894581383602e-08
1998,4.5297225970131194e-08
1999,4.2045851605942985e-08
2000,3.79950708673249e-08
2001,5.3888903617238526e-08
2002,5.5641511398363264e-08
2003,4.5836151596478913e-08
2004,3.6559766436461416e-08
2005,5.044199669068661e-08
2006,5.435614836013514e-08
2007,4.913209894485959e-08
2008,4.981204523857308e-08
2009,4.91123837154106e-08
2010,4.5348413579837654e-08
2011,5.124122323674207e-08
2012,3.8468056073881485e-08
2013,4.574165130000196e-08
2014,5.132105118654806e-08
2015,5.2089522944998023e-08
2016,3.831979134005792e-08
2017,4.276539358749609e-08
2018,4.6208252280077744e-08
2019,4.515248425152052e-08
