year,mieux_ADV doté_VERB
1907,2.5199932807140613e-08
1908,1.7189861978295085e-08
1909,3.080550925460557e-08
1910,1.977335806202518e-08
1911,2.0217422402879492e-08
1912,2.1879568379290504e-08
1913,6.893886794756554e-09
1914,1.1384464038144415e-08
1915,1.4136913861761968e-08
1916,3.186363883855847e-08
1917,3.947912929902486e-08
1918,4.479686666059024e-08
1919,2.8544329566670967e-08
1920,2.0445025228355007e-08
1921,3.180553775905537e-08
1922,1.696925089333945e-08
1923,1.5923921736771263e-08
1924,6.445812328337297e-09
1925,1.6497267552040284e-08
1926,1.2260752413340015e-08
1927,2.6758140592164636e-08
1928,1.9424270192303084e-08
1929,1.2254447234738564e-08
1930,2.10072066408884e-08
1931,1.3686427990933225e-08
1932,1.53433514782364e-08
1933,1.8353059516584835e-08
1934,1.3179738189705859e-08
1935,1.795242710045386e-08
1936,1.8187071404440758e-08
1937,5.0364472592434595e-09
1938,6.482607339819424e-09
1939,2.4470480752825097e-08
1940,1.0143131667916805e-08
1941,2.9515025978810172e-09
1942,3.034211770724937e-09
1943,2.9032352077962287e-09
1944,0.0
1945,6.535512131478072e-09
1946,1.2528993842408909e-08
1947,8.344609447874518e-09
1948,9.784699273041042e-09
1949,1.47255123650325e-08
1950,1.4889506516624351e-08
1951,1.4925962688039363e-08
1952,2.6362009464264702e-08
1953,2.477980309834038e-08
1954,1.3681550115052232e-08
1955,1.5016972554349195e-08
1956,6.976913269340912e-09
1957,1.4136060322300636e-08
1958,2.2335056470978998e-08
1959,2.1702094343822864e-08
1960,1.6610000486139143e-08
1961,1.042223907177231e-08
1962,1.3952304200870458e-08
1963,8.405868889838075e-09
1964,1.7035111099517053e-08
1965,2.0793764932136583e-08
1966,2.0494576702390077e-08
1967,1.5777073869571723e-08
1968,1.661823922916028e-08
1969,2.361714024345929e-08
1970,2.207388050123882e-08
1971,2.209510974182649e-08
1972,2.565073486948677e-08
1973,1.598829157956061e-08
1974,3.6566216721212186e-08
1975,3.655347313724633e-08
1976,1.7140580510499603e-08
1977,1.880570188461661e-08
1978,2.198018833610149e-08
1979,2.808947208166046e-08
1980,3.0699812469947574e-08
1981,3.352541355639005e-08
1982,2.6071509395819703e-08
1983,2.2103606056589342e-08
1984,3.073474630355122e-08
1985,2.3460676956688076e-08
1986,3.956360572487938e-08
1987,2.749867533680117e-08
1988,3.2381390013824785e-08
1989,2.359892548042808e-08
1990,3.923028657482064e-08
1991,2.8721180100887977e-08
1992,3.581463658974826e-08
1993,3.877445209354846e-08
1994,4.114442830882581e-08
1995,3.3619194539369346e-08
1996,3.3629980578098184e-08
1997,5.03463937207016e-08
1998,4.5297227302398824e-08
1999,3.519054914136177e-08
2000,4.462211933287108e-08
2001,4.425023902854264e-08
2002,3.7678503872484725e-08
2003,4.750292248445476e-08
2004,5.285749438144194e-08
2005,5.044199724579812e-08
2006,5.3120778886750486e-08
2007,4.353982774318865e-08
2008,4.2148652568130274e-08
2009,4.8635563132393145e-08
2010,3.7790343299093365e-08
2011,3.250376323649107e-08
2012,3.063827591631707e-08
2013,2.2591912340885756e-08
2014,2.9016964830930192e-08
2015,2.903713713919842e-08
2016,2.8998760726040018e-08
2017,2.1634257052483008e-08
2018,2.1426172835958823e-08
2019,2.4999680547921344e-08
