year,leurs_DET hivers_NOUN,leurs_DET divers_ADJ
1983,5.683784443100137e-09,3.302910229763256e-07
1984,8.118611560803402e-09,3.218449684538882e-07
1985,6.617113967877231e-09,2.9295768200210404e-07
1986,2.997242676272549e-09,2.607601139459348e-07
1987,5.49973533381376e-09,3.159292325527474e-07
1988,5.396898483667201e-09,2.614497416342232e-07
1989,4.390497743145261e-09,2.56844112200838e-07
1990,5.993515905799995e-09,2.560865905998355e-07
1991,2.9307325455363298e-09,2.596629198325928e-07
1992,4.958949695321735e-09,2.518044519561613e-07
1993,2.2156830259412175e-09,2.6865156765865095e-07
1994,2.1099706426497278e-09,2.5055901131665337e-07
1995,7.591431483433553e-09,2.9715031391042146e-07
1996,5.871901187504136e-09,2.8024984732866187e-07
1997,2.3974471297094624e-09,2.6659613672208593e-07
1998,2.3840646123929332e-09,2.7416742831576357e-07
1999,1.8280804647829996e-09,2.988911621537582e-07
2000,3.5344251969604557e-09,2.4520074060063735e-07
2001,6.571817756650944e-09,2.5892961941220705e-07
2002,6.133709984368352e-09,2.843412776343257e-07
2003,4.166923084358842e-09,2.570991519679211e-07
2004,7.488145215006625e-09,2.563588399340233e-07
2005,4.503749484463526e-09,2.8013323460918116e-07
2006,3.294311934354255e-09,2.6148599641118153e-07
2007,2.7961355453243186e-09,2.580433602350496e-07
2008,4.257439734089985e-09,2.5331767128378146e-07
2009,6.198650481792356e-09,2.5414465776307793e-07
2010,8.030448139795254e-09,2.1446019893289758e-07
2011,5.353560705856353e-09,1.900514134955955e-07
2012,5.7872298064864935e-09,1.7531901885803336e-07
2013,7.809549951165451e-09,1.7599379420474293e-07
2014,6.4963353585412165e-09,1.5591205504428274e-07
2015,7.093041265449074e-09,1.8131586787539788e-07
2016,9.113896304313585e-09,2.1624789603436056e-07
2017,3.2702947017071438e-09,1.4364140921152568e-07
2018,1.0842160058643913e-08,1.533391200680967e-07
2019,8.163160536422964e-09,1.5714084122819827e-07
