year,nombreux_ADJ doutes_NOUN
1920,5.300562211374427e-09
1921,3.7863738810983705e-09
1922,2.2133805899215986e-09
1923,6.369568872344189e-09
1924,5.156649773851996e-09
1925,3.299453377181294e-09
1926,1.0031524944054127e-08
1927,1.1149224876660924e-09
1928,2.170947865920425e-08
1929,2.2280812750352652e-09
1930,4.201441416995522e-09
1931,3.4216069977333063e-09
1932,3.287861094491973e-09
1933,1.1470662641954732e-08
1934,9.585264137967897e-09
1935,4.787313656606784e-09
1936,6.0623572828433225e-09
1937,2.5182236296217297e-09
1938,1.1668692678767911e-08
1939,1.2235240376412548e-08
1940,1.0143131667916805e-08
1941,0.0
1942,6.068423541449874e-09
1943,0.0
1944,3.2131861615880553e-09
1945,1.089252066321933e-08
1946,1.1136883415474585e-08
1947,8.344609447874518e-09
1948,6.523132700664291e-09
1949,5.890204768377316e-09
1950,1.914365022059883e-08
1951,5.330700769690111e-09
1952,1.1599284199803606e-08
1953,1.508335856215126e-08
1954,6.840775057526116e-09
1955,1.0324168187025862e-08
1956,1.3953826538681824e-08
1957,8.835037590415595e-09
1958,5.790570245522986e-09
1959,8.525822714489095e-09
1960,6.920833239831836e-09
1961,1.042223907177231e-08
1962,1.331810839388936e-08
1963,1.2932106940866106e-08
1964,2.494427064902993e-08
1965,1.2038495533772675e-08
1966,1.5509408868297214e-08
1967,7.395503320850594e-09
1968,9.88111459321317e-09
1969,7.72098829315837e-09
1970,8.7375777724219e-09
1971,6.679916619845017e-09
1972,1.539044092169206e-08
1973,2.0950174928202614e-08
1974,1.1813700240281833e-08
1975,8.567219822452898e-09
1976,1.2569759455516305e-08
1977,1.2928920156696222e-08
1978,1.7821774278559133e-08
1979,8.777959692451986e-09
1980,9.096241093686785e-09
1981,1.3283654176632353e-08
1982,1.0552754226011984e-08
1983,1.8314416649900522e-08
1984,2.8415142239168745e-08
1985,1.3234227935754461e-08
1986,2.45773907892044e-08
1987,2.0776777631681398e-08
1988,2.2187249371086182e-08
1989,1.0427432250992297e-08
1990,1.2531897297662908e-08
1991,8.20605094986604e-09
1992,1.8733810946969243e-08
1993,2.8249957040316076e-08
1994,2.162719958676007e-08
1995,2.1689803730851054e-08
1996,2.5622842514394506e-08
1997,1.5823152565985765e-08
1998,3.3853716274734325e-08
1999,2.5136106529544122e-08
2000,1.899753598877396e-08
2001,2.2782300490575835e-08
2002,3.24210382984802e-08
2003,3.500215228768866e-08
2004,4.360743233178255e-08
2005,3.2877373712381086e-08
2006,3.706101026068609e-08
2007,2.676301313897511e-08
2008,2.937633425403874e-08
2009,4.196009228962794e-08
2010,2.5508482437430757e-08
2011,3.594533737327765e-08
2012,2.791487219155897e-08
2013,2.7333426189102283e-08
2014,3.269822101970021e-08
2015,2.7485535625260127e-08
2016,2.9205894591655124e-08
2017,3.9243538196842565e-08
2018,3.9238294391452655e-08
2019,3.7244422657067844e-08
