year,plusieurs_DET doutes_NOUN
1951,2.1322803522849654e-09
1952,9.490323193972472e-09
1953,1.4005975934594517e-08
1954,0.0
1955,0.0
1956,0.0
1957,6.184526224473075e-09
1958,8.272243445794913e-10
1959,3.8753737996444215e-09
1960,2.7683333958528067e-09
1961,6.253343398654465e-09
1962,2.5367825617905737e-09
1963,3.879632060055371e-09
1964,7.300761772910391e-09
1965,4.377634699181954e-09
1966,9.416427082520329e-09
1967,5.916402701089396e-09
1968,7.635406917838594e-09
1969,7.72098829315837e-09
1970,7.81783243697376e-09
1971,4.1107179882260425e-09
1972,2.565073486948677e-09
1973,1.6539611902288698e-09
1974,3.937900228123681e-09
1975,6.8537762132336866e-09
1976,2.285410749536254e-09
1977,5.289103821581875e-09
1978,2.3762365408686037e-09
1979,4.681578680276743e-09
1980,1.1370301367108482e-09
1981,3.795329661659963e-09
1982,2.483000915987077e-09
1983,3.789189628733425e-09
1984,7.538711266352749e-09
1985,2.4062232206745193e-09
1986,3.5966913891627428e-09
1987,4.888653482026939e-09
1988,4.197587610832443e-09
1989,3.841685525252103e-09
1990,4.90378582185258e-09
1991,3.516879065745826e-09
1992,4.958949695321735e-09
1993,8.308810806045841e-09
1994,3.6924485691258724e-09
1995,3.253470548525428e-09
1996,2.6690460952494277e-09
1997,4.315404922294874e-09
1998,6.198567881199324e-09
1999,6.398281821029528e-09
2000,3.5344251969604557e-09
2001,4.8193329327261836e-09
2002,8.76244299341522e-10
2003,7.500461585152607e-09
2004,2.202395626982323e-09
2005,4.9541245550344115e-09
2006,4.529678854225949e-09
2007,2.79613560083547e-09
2008,5.108927586539025e-09
2009,5.245011758248097e-09
2010,5.196172492283324e-09
2011,2.6767803251726008e-09
2012,4.085103200157647e-09
2013,3.068037435216553e-09
2014,4.980523882203158e-09
2015,3.5465207437468393e-09
2016,3.935546166733417e-09
2017,4.024978239591803e-09
2018,4.1303465647679616e-09
2019,2.5509878098795014e-09
