year,nouveaux_ADJ doutes_NOUN
1869,2.24641888424415e-08
1870,2.2362789842134134e-08
1871,1.5931766128574054e-08
1872,2.8422494358082417e-08
1873,2.9331422624068182e-08
1874,2.5690819693835465e-08
1875,3.2612703648737806e-08
1876,3.5066885395451663e-08
1877,3.277952520530647e-08
1878,2.596808090782332e-08
1879,2.993569470088886e-08
1880,2.3746030475280122e-08
1881,2.719277958362909e-08
1882,2.728707881871628e-08
1883,1.3270612164717477e-08
1884,1.1883054540362536e-08
1885,3.158361416844002e-08
1886,2.3877815502615363e-08
1887,2.4809914123125054e-08
1888,1.014498351992188e-08
1889,3.383173891036151e-08
1890,2.6217545467943637e-08
1891,1.912265967796145e-08
1892,2.2566644553023707e-08
1893,1.970693297437265e-08
1894,1.5753848003896564e-08
1895,1.0833506536300774e-08
1896,1.6511680911435178e-08
1897,9.905413378419325e-09
1898,9.05336783318944e-09
1899,7.738609753005221e-09
1900,1.661137005726232e-08
1901,1.6766217081354284e-08
1902,1.0311596021495006e-08
1903,7.560308601384236e-09
1904,1.5048950530172078e-08
1905,1.9610885193532823e-08
1906,1.1317205839134203e-08
1907,1.2857108266928208e-08
1908,5.40252775849126e-09
1909,1.8153246017504898e-08
1910,1.3894791983659616e-08
1911,1.5429085564733214e-08
1912,2.0837685354990754e-08
1913,1.5378670392696137e-08
1914,2.1429579888376793e-08
1915,1.5314990164938536e-08
1916,1.2086208478478966e-08
1917,7.676496771580332e-09
1918,2.2972752589112133e-08
1919,2.2098836538475553e-08
1920,1.1358347151713133e-08
1921,7.572747762196741e-09
1922,8.853522359686394e-09
1923,9.554353752605493e-09
1924,1.1602462102189293e-08
1925,1.4297631523163545e-08
1926,1.89484357093761e-08
1927,2.341337179689873e-08
1928,9.14083297942625e-09
1929,1.0026365515614089e-08
1930,3.151081173768944e-08
1931,1.1405356659111021e-08
1932,9.863582839386709e-09
1933,1.0323595756034365e-08
1934,8.38710612072191e-09
1935,9.574627313213568e-09
1936,8.487299751891442e-09
1937,8.813782592653752e-09
1938,9.075650453382877e-09
1939,1.6823456405745674e-08
1940,2.2822046474857416e-08
1941,2.066051907334554e-08
1942,1.2136847082899749e-08
1943,8.709705845433291e-09
1944,0.0
1945,2.3963544037997053e-08
1946,1.1136883415474585e-08
1947,1.4305044926388177e-08
1948,1.0871887834440486e-08
1949,3.9268033269479474e-09
1950,1.3825969702452312e-08
1951,1.0661401539380222e-08
1952,1.7926166662185494e-08
1953,2.5857185281807915e-08
1954,2.14995790059902e-08
1955,1.783265446420046e-08
1956,1.744228317335228e-08
1957,9.718541527092839e-09
1958,9.099467845885556e-09
1959,1.705164542897819e-08
1960,1.4533750314349447e-08
1961,1.181187059273725e-08
1962,2.5367825173816527e-08
1963,1.1638895847099207e-08
1964,1.5818317211646615e-08
1965,1.8057743078614408e-08
1966,2.4925835617750636e-08
1967,1.8735275830739084e-08
1968,1.3025105882746857e-08
1969,1.4079449550674639e-08
1970,2.0234390163409444e-08
1971,1.2845993713206383e-08
1972,5.130146973897354e-09
1973,1.3231689077741748e-08
1974,1.3501372464475025e-08
1975,1.0851812337620004e-08
1976,6.8562320265641574e-09
1977,1.1165885660524566e-08
1978,2.67326614178387e-08
1979,1.7555920273082393e-08
1980,1.1370301367108482e-08
1981,1.2018544104375195e-08
1982,8.069752865935698e-09
1983,1.0736037614478278e-08
1984,6.378909400694965e-09
1985,1.2031116325417202e-08
1986,1.1988970705090196e-08
1987,1.0999470501094066e-08
1988,1.6190695006912392e-08
1989,1.3720305780395847e-08
1990,5.993515905799995e-09
1991,6.4476117778156095e-09
1992,7.713922001162388e-09
1993,8.862732159276021e-09
1994,7.912389743403025e-09
1995,1.2471636501310002e-08
1996,9.074756945892659e-09
1997,1.6302641014931396e-08
1998,8.105819682135973e-09
1999,7.769341614505265e-09
2000,1.060327570190367e-08
2001,1.22673927682726e-08
2002,7.009954283709874e-09
2003,8.333845835650777e-09
2004,5.285749449246424e-09
2005,1.2610498756338018e-08
2006,1.4824403204993786e-08
2007,1.4779574009082808e-08
2008,1.915847874789378e-08
2009,1.0013204487790972e-08
2010,1.5116138118997924e-08
2011,9.942326906209331e-09
2012,1.4978711604385353e-08
2013,2.2313000835882946e-08
2014,2.360335167594929e-08
2015,2.305238329392001e-08
2016,1.9263461936702697e-08
2017,1.5093667926624477e-08
2018,2.7105401145810504e-08
2019,2.499967943769832e-08
