year,soixante - dix années
1889,2.1433592678476998e-08
1890,3.903646311753661e-08
1891,4.286596455571612e-08
1892,2.559359657539062e-08
1893,4.9588474659856274e-08
1894,4.453638258183901e-08
1895,4.7157898863670056e-08
1896,3.642438528572711e-08
1897,3.1565022595714254e-08
1898,4.744370230014283e-08
1899,4.209283177569745e-08
1900,5.678644221518425e-08
1901,4.62550957536223e-08
1902,4.704222700269156e-08
1903,2.1459571897253227e-08
1904,6.588101886251252e-08
1905,4.216443028060013e-08
1906,6.583762512946123e-08
1907,4.262767161478109e-08
1908,2.983675462253643e-08
1909,4.610209702882173e-08
1910,3.539015125397782e-08
1911,5.284629267521268e-08
1912,6.092584925454503e-08
1913,5.324501195502762e-08
1914,3.914894541878766e-08
1915,1.9482145674487583e-08
1916,3.2652074821726274e-08
1917,3.497696932086569e-08
1918,4.802324671260294e-08
1919,3.749930277407998e-08
1920,2.753314320980138e-08
1921,7.354124420544395e-08
1922,4.3976989605454264e-08
1923,3.40211019356218e-08
1924,3.5622640837118524e-08
1925,3.899259404249733e-08
1926,3.086425870435505e-08
1927,4.196511227405608e-08
1928,3.542462323480322e-08
1929,4.690198229795328e-08
1930,5.464123020715306e-08
1931,5.051418394685925e-08
1932,5.33668078617211e-08
1933,2.4107157159392045e-08
1934,5.1769286413261284e-08
1935,5.305495509588809e-08
1936,2.818681621441499e-08
1937,3.626373512588543e-08
1938,1.8647345001454596e-08
1939,4.066121961354696e-08
1940,2.533153420358758e-08
1941,4.26525272878564e-08
1942,5.7194723623865684e-08
1943,6.743882607906926e-08
1944,2.484615357900566e-08
1945,5.767108746113081e-08
1946,5.850996265266417e-08
1947,4.213704940525531e-08
1948,3.609619625422056e-08
1949,5.516197987276428e-08
1950,6.704775312726952e-08
1951,2.2418213063701842e-08
1952,6.073746916523959e-08
1953,4.167891543005453e-08
1954,4.5388237168708656e-08
1955,4.4667651799557007e-08
1956,4.148163190720311e-08
1957,4.4004494603733235e-08
1958,4.574459266937225e-08
1959,5.230393429478397e-08
1960,3.826682792862357e-08
1961,3.910745594026821e-08
1962,5.10580815404893e-08
1963,5.27781567338792e-08
1964,4.36235344514202e-08
1965,4.827090716030824e-08
1966,4.399613962036142e-08
1967,4.671422382251933e-08
1968,6.571442323632937e-08
1969,5.3921598297534956e-08
1970,5.057877316971826e-08
1971,4.646392537388522e-08
1972,5.313823869812495e-08
1973,4.204364323356913e-08
1974,4.664467501136471e-08
1975,6.63134542833177e-08
1976,3.408138571359132e-08
1977,4.221529725789708e-08
1978,4.056951175002155e-08
1979,4.573426215515042e-08
1980,4.320550506253795e-08
1981,5.082862886141015e-08
1982,3.5457314417897123e-08
1983,3.6098043665333535e-08
1984,4.7124174340495983e-08
1985,5.815404069409169e-08
1986,5.5960122868903284e-08
1987,7.452184735967649e-08
1988,7.441969263055626e-08
1989,6.38947525999356e-08
1990,9.372893217118872e-08
1991,1.0545076722934255e-07
1992,7.905897225768399e-08
1993,6.612017766638445e-08
1994,8.198185863506069e-08
1995,6.521743700638183e-08
1996,6.708561750556896e-08
1997,5.967033989140447e-08
1998,6.086995119058969e-08
1999,5.982171558116534e-08
2000,6.358905624281874e-08
2001,7.405073576549626e-08
2002,6.157616372348684e-08
2003,4.8555876430711464e-08
2004,5.180385742598048e-08
2005,5.7387745222570175e-08
2006,4.80153787008053e-08
2007,5.061108099280176e-08
2008,6.18295481480402e-08
2009,5.789423562774232e-08
2010,4.9180198358200755e-08
2011,7.469639284884977e-08
2012,5.774330302799058e-08
2013,4.71269747670533e-08
2014,7.424981118830942e-08
2015,5.123460566913707e-08
2016,5.0893233849436115e-08
2017,5.243357414919103e-08
2018,5.271588721100784e-08
2019,5.0985021537997e-08
