year,aucuns_ADJ dommages_NOUN
1915,1.1191723814363286e-07
1916,5.8233549538044826e-08
1917,4.1672411299487067e-08
1918,9.189101035644853e-09
1919,3.498982437122322e-08
1920,2.8017257847068322e-08
1921,4.0892835784234194e-08
1922,3.6151885041135756e-08
1923,3.290944050604594e-08
1924,4.1253198190815965e-08
1925,1.8696901804560184e-08
1926,3.009457216762712e-08
1927,3.0102906833917586e-08
1928,3.884854038460617e-08
1929,7.798284684668033e-09
1930,1.7856125467119455e-08
1931,2.0529641986399838e-08
1932,1.2055489939655217e-08
1933,2.523545639121494e-08
1934,1.7972370258689807e-08
1935,2.2739740757060645e-08
1936,4.849885826274658e-09
1937,1.3850230295986421e-08
1938,7.779128452511941e-09
1939,1.2235240376412548e-08
1940,1.7750480196809804e-08
1941,1.4757512545315876e-08
1942,2.1239483061208375e-08
1943,2.0322646676618206e-08
1944,1.2852744646352221e-08
1945,1.089252066321933e-08
1946,8.352662561605939e-09
1947,7.152522574216391e-09
1948,1.195907639583993e-08
1949,8.835307596655184e-09
1950,1.3825969702452312e-08
1951,1.5992101864981123e-08
1952,1.4762725264461096e-08
1953,1.1851209791302608e-08
1954,1.172704333640695e-08
1955,2.2525458831523792e-08
1956,1.0465369904011368e-08
1957,8.835037590415595e-09
1958,9.099467845885556e-09
1959,1.007597205671118e-08
1960,3.460416619915918e-09
1961,6.25334317660986e-09
1962,6.976152100435229e-09
1963,1.0992290633282664e-08
1964,5.475571551727398e-09
1965,6.0192477668863376e-09
1966,3.8773522170743036e-09
1967,9.860671390526932e-09
1968,4.940557296606585e-09
1969,9.537691525451919e-09
1970,5.518470125309705e-09
1971,1.0276794970565106e-09
1972,3.0780880067027283e-09
1973,3.3079223804577396e-09
1974,3.937900228123681e-09
1975,2.8557400888473694e-09
1976,1.5997875024709174e-08
1977,1.7630346071939584e-09
1978,2.3762365408686037e-09
1979,3.5111840102075575e-09
1980,4.548120546843393e-09
1981,5.060439622894819e-09
1982,1.8622506869903077e-09
1983,0.0
1984,3.479405208395292e-09
1985,4.210890747202711e-09
1986,2.997242676272549e-09
1987,4.888653482026939e-09
1988,1.1993107618124554e-09
1989,2.1952488715726304e-09
1990,7.083246433836621e-09
1991,5.2753188484189195e-09
1992,4.958949695321735e-09
1993,4.4313659408601325e-09
1994,4.2199412852994556e-09
1995,2.7112254663563817e-09
1996,1.0676184380997711e-08
1997,2.876936688878118e-09
1998,4.7681290027412615e-09
1999,1.1882523409667556e-08
2000,3.5344251969604557e-09
2001,3.066848330846028e-09
2002,4.81934359086722e-09
2003,4.166922806803086e-09
2004,3.0833537945085254e-09
2005,1.8014998381943315e-09
2006,4.117890028965121e-09
2007,3.595031605740928e-09
2008,2.9802078582719105e-09
2009,2.384096253749135e-09
2010,1.8895172093635892e-09
2011,3.82397197240536e-10
2012,1.3617010852229328e-09
2013,5.020424964641279e-09
2014,5.197068553286499e-09
2015,7.979671146074452e-09
2016,1.0563834251797743e-08
2017,5.282783988036499e-09
2018,4.3884935685412074e-09
2019,1.53059265262101e-09
