year,tes_DET doutes_NOUN
1881,1.0458761079412682e-08
1882,9.317539406694664e-09
1883,1.5798347796636136e-08
1884,7.2618666635548834e-09
1885,1.353583467533781e-08
1886,8.38950281467632e-09
1887,2.0892558794116667e-08
1888,1.7119660356001987e-08
1889,6.891650361495749e-09
1890,1.5730527991308918e-08
1891,6.3742202627281586e-09
1892,1.56712811616444e-08
1893,7.390100087434348e-09
1894,1.7014155417882648e-08
1895,2.1065151400989635e-08
1896,1.2973463581200662e-08
1897,8.157398867503218e-09
1898,9.619203211741478e-09
1899,1.713549302451156e-08
1900,7.786579381274805e-09
1901,1.5648469298135126e-08
1902,1.0311596021495006e-08
1903,1.4580594953628179e-08
1904,1.5586412160928376e-08
1905,8.773290538499623e-09
1906,7.201858442940079e-09
1907,1.3885677496716653e-08
1908,2.3083529532286207e-08
1909,6.60118004702781e-09
1910,2.8858413880783473e-08
1911,4.788336727123976e-09
1912,2.2921453846080908e-08
1913,1.3257474340555575e-08
1914,1.2723813114234872e-08
1915,8.246533234057551e-09
1916,8.789969863087777e-09
1917,5.483212106582869e-09
1918,1.1486376294556067e-09
1919,1.3811772281435708e-08
1920,7.572231730534895e-09
1921,1.1359120977161297e-08
1922,3.6889677090812256e-08
1923,2.5478275045287546e-08
1924,1.0313299547703991e-08
1925,1.3197813952814386e-08
1926,1.7833821530643945e-08
1927,1.0034302277972529e-08
1928,2.0566874425753667e-08
1929,1.6710609784809094e-08
1930,6.302162347537887e-09
1931,1.9389105432310316e-08
1932,9.863583061431314e-09
1933,6.882397318719313e-09
1934,9.585264137967897e-09
1935,1.196828414151696e-08
1936,8.487299751891442e-09
1937,1.0072894518486919e-08
1938,2.5930428915188486e-09
1939,6.117620188206274e-09
1940,1.0143131667916805e-08
1941,0.0
1942,6.068423541449874e-09
1943,2.0322646676618206e-08
1944,4.4984606262232774e-08
1945,2.3963544037997053e-08
1946,9.744772988540262e-09
1947,2.1457568166738383e-08
1948,6.523132700664291e-09
1949,1.3743811422273211e-08
1950,5.317680518146517e-09
1951,8.529121409139861e-09
1952,7.381362632230548e-09
1953,1.508335811806205e-08
1954,1.4658804392553293e-08
1955,1.0324168187025862e-08
1956,1.9186511934776718e-08
1957,1.767007518083119e-08
1958,1.985338454746355e-08
1959,1.007597205671118e-08
1960,1.522583353841256e-08
1961,1.80652133252579e-08
1962,1.331810839388936e-08
1963,2.0044765403071096e-08
1964,1.5818317322668918e-08
1965,1.2038495533772675e-08
1966,1.606331601067268e-08
1967,2.0707408898701374e-08
1968,1.1677681266419881e-08
1969,1.0446043141598693e-08
1970,1.1956684753400282e-08
1971,1.233215407570043e-08
1972,7.182205663536223e-09
1973,1.598829119098255e-08
1974,1.125114323929921e-08
1975,7.4249242310031605e-09
1976,6.8562320265641574e-09
1977,9.402850775774851e-09
1978,9.504946163474415e-09
1979,1.4044735929807928e-08
1980,8.527726080842513e-09
1981,6.3255494731073725e-09
1982,1.1794254350938616e-08
1983,1.1999100379966876e-08
1984,8.118611560803402e-09
1985,1.0226449020933615e-08
1986,1.1988970816112499e-08
1987,1.0999470501094066e-08
1988,9.594485872455039e-09
1989,1.8659614742233543e-08
1990,2.0160008773473237e-08
1991,1.2895223833186975e-08
1992,1.597883780846132e-08
1993,1.938722604677423e-08
1994,1.3187316794116555e-08
1995,1.6809596992128917e-08
1996,2.1352368539950817e-08
1997,1.3425704992187093e-08
1998,1.954932971059975e-08
1999,1.736676369379353e-08
2000,1.2370487856294687e-08
2001,2.5849149126733195e-08
2002,1.4896153199828177e-08
2003,1.2500768420409258e-08
2004,2.0702519532012076e-08
2005,2.792324715894523e-08
2006,2.511912877700695e-08
2007,4.314037838071272e-08
2008,3.2782287273658284e-08
2009,3.957599914450327e-08
2010,6.093692928033079e-08
2011,8.068580825693061e-08
2012,8.068078738432405e-08
2013,6.86124785875819e-08
2014,8.3802726091875e-08
2015,9.664268674214327e-08
2016,9.693871083626959e-08
2017,1.1747905226400235e-07
2018,1.3965734524390427e-07
2019,1.2627389534003441e-07
