year,seriez_VERB dans_ADP
1938,4.019216603978748e-08
1939,1.070583532936098e-08
1940,2.5357829613881222e-08
1941,1.1806010391524069e-08
1942,9.102635090130207e-09
1943,8.709705845433291e-09
1944,1.2852744646352221e-08
1945,1.5249527862692958e-08
1946,2.227376683094917e-08
1947,2.1457568166738383e-08
1948,1.522064252412747e-08
1949,4.908504269707237e-09
1950,2.4461330738745346e-08
1951,1.9190522948520083e-08
1952,8.435843135146115e-09
1953,8.619061908632375e-09
1954,1.2704297169818801e-08
1955,1.595553378308523e-08
1956,1.3953826538681824e-08
1957,1.1485549400447326e-08
1958,1.6544486669545222e-08
1959,1.5501495198577686e-08
1960,2.422291700554524e-08
1961,2.779263752472616e-08
1962,1.9660065575521912e-08
1963,1.3578711488548834e-08
1964,2.494427064902993e-08
1965,2.0793764932136583e-08
1966,1.38476865529924e-08
1967,1.3804939413830652e-08
1968,1.5719955115400808e-08
1969,2.4071315607443466e-08
1970,1.4715920038099739e-08
1971,2.6205826841874114e-08
1972,2.0520587895589415e-08
1973,1.1577728109557484e-08
1974,8.438357568252286e-09
1975,1.1422960355389478e-08
1976,1.428381679602353e-08
1977,5.876781727920388e-09
1978,8.910887139279566e-09
1979,1.9311512389208474e-08
1980,1.2507331170752423e-08
1981,1.644642821929665e-08
1982,1.8001756529884005e-08
1983,1.6419821946556112e-08
1984,1.3917620833581168e-08
1985,8.421781494405423e-09
1986,1.2588419195935785e-08
1987,1.7721369260925712e-08
1988,7.795519785247507e-09
1989,8.780995486290522e-09
1990,1.6345952147389653e-08
1991,1.2895223555631219e-08
1992,8.815910668147353e-09
1993,2.049506697687775e-08
1994,7.912389854425328e-09
1995,8.675921314704738e-09
1996,9.60856638698715e-09
1997,1.2466725429760572e-08
1998,6.198567881199324e-09
1999,7.312321859131998e-09
2000,8.394259509714175e-09
2001,1.0514908055370142e-08
2002,9.200564754507923e-09
2003,1.583430631058036e-08
2004,1.2333415178034102e-08
2005,1.5763124139311913e-08
2006,1.6059770402421236e-08
2007,1.5977917655618512e-08
2008,2.299017509699297e-08
2009,1.7165493915172192e-08
2010,3.117703428756613e-08
2011,2.103184648660772e-08
2012,3.6425504390535934e-08
2013,3.3190588055731496e-08
2014,4.092691341384125e-08
2015,3.812509774547834e-08
2016,4.515521467851613e-08
2017,3.7482607240235666e-08
2018,3.872199982879465e-08
2019,3.622402644509748e-08
