year,véritables_ADJ dents_NOUN
2005,4.5037495954858286e-10
2006,1.6471559671771274e-09
2007,1.1983438685803094e-09
2008,2.1287198670449925e-09
2009,1.430457752249481e-09
2010,1.4171379625338432e-09
2011,3.4415748029203996e-09
2012,3.744677901096338e-09
2013,1.6734750252211938e-09
2014,3.4647122948427977e-09
2015,3.989835573037226e-09
2016,2.899876117012923e-09
2017,1.0062445321423752e-09
2018,3.3559066636712487e-09
2019,1.7856913725466939e-09
