year,on_PRON erre_VERB,on_PRON gère_VERB
1846,2.1661654248106288e-08,5.269050973311096e-09
1847,1.1325769655456952e-08,1.5101026207275936e-08
1848,1.3676877186341585e-08,8.849743937666688e-09
1849,3.770736700658972e-08,1.3407064347603637e-08
1850,1.5614691761811628e-08,1.425689166723032e-08
1851,4.3211238143214814e-08,2.579775504329973e-09
1852,1.7578472233381603e-08,5.208436348880241e-09
1853,1.911018188138769e-08,5.3747388761848924e-09
1854,2.1302224872954412e-08,4.67609800880453e-09
1855,1.963566731433275e-08,6.368324534378189e-09
1856,4.0899793773974125e-08,9.318940286107136e-09
1857,2.9777205645675764e-08,1.757343248698362e-08
1858,3.572383455718864e-08,5.3830437884982985e-09
1859,3.3608344329749684e-08,1.9350259394812497e-08
1860,3.249800606397457e-08,1.785101666484934e-08
1861,4.527325270231586e-08,2.357981809808507e-08
1862,2.6656119311851967e-08,5.873382225018986e-09
1863,2.946826249683454e-08,1.9978482868054925e-08
1864,2.1576275877066564e-08,6.712618905169165e-09
1865,1.835669261041062e-08,1.3649848862318237e-08
1866,1.65430835696867e-08,1.265059373922739e-08
1867,2.0867089389753346e-08,2.91168689159349e-09
1868,2.7663294210888978e-08,3.951899252285784e-09
1869,1.269715022012008e-08,6.8369265804335555e-09
1870,4.30053663791341e-08,3.4404292748035914e-09
1871,7.434824089713743e-09,8.496941816815706e-09
1872,1.4513614310374123e-08,7.861540751719076e-09
1873,1.616221201317103e-08,2.633841961197092e-08
1874,8.961913655625153e-09,4.182226565063729e-09
1875,2.5174719198162165e-08,1.2587359599081083e-08
1876,5.441413186701993e-08,5.441413319928756e-09
1877,2.535774568102056e-08,3.0924081073635534e-09
1878,2.0532902045289347e-08,2.294853729267743e-08
1879,2.443730151568957e-08,1.221865053580018e-09
1880,2.5029599504122757e-08,1.3477476912271413e-08
1881,3.137628423743877e-08,2.3009274485730202e-08
1882,2.0631693686823382e-08,1.4641847512208983e-08
1883,2.8437026067251736e-08,1.6430281413182257e-08
1884,2.8387296957532726e-08,4.621187876807653e-09
1885,2.0626034213933053e-08,3.2228177904158883e-09
1886,1.2261580972783293e-08,1.1616235084943582e-08
1887,2.7421483750345033e-08,2.0892558794116667e-08
1888,2.0289966373709944e-08,1.268122939990235e-08
1889,2.6940087494153886e-08,6.891650361495749e-09
1890,2.7528423984790606e-08,7.209825181320184e-09
1891,3.314594465564369e-08,9.561330394092238e-09
1892,2.382034658410248e-08,1.2537024529635232e-08
1893,3.387129021703572e-08,1.4780200174868696e-08
1894,2.709661939270802e-08,1.0082462864602348e-08
1895,2.7083765452573516e-08,1.5648398132839247e-08
1896,3.36130654421396e-08,1.769108692872834e-09
1897,3.1464253869017966e-08,8.740070556179091e-09
1898,3.960848360406999e-08,4.526684027617023e-09
1899,2.266307141951529e-08,1.1607914629507832e-08
1900,5.0353215819143315e-08,5.19105292084987e-09
1901,3.800342485149599e-08,3.353243294146324e-09
1902,2.455142000812316e-08,1.9641135384773634e-09
1903,3.0781255766498816e-08,8.640352433531007e-09
1904,3.493506461893503e-08,5.374625189347171e-09
1905,3.4577085195053314e-08,1.1353670004154992e-08
1906,3.395161618513498e-08,3.6009292214700395e-09
1907,2.5199932807140613e-08,1.3885677496716653e-08
1908,4.174680778845641e-08,8.349361202419914e-09
1909,3.025540928902615e-08,1.5402754349747028e-08
1910,3.1530488442399474e-08,6.947395991829808e-09
1911,4.149891918991955e-08,7.448523575703803e-09
1912,4.375913742471482e-08,8.856016364688912e-09
1913,4.931780317463108e-08,7.954484682048957e-09
1914,5.022557836298347e-08,4.68772043404897e-09
1915,4.005459064426731e-08,7.068456930880984e-09
1916,4.504859507648007e-08,3.2962386153911893e-09
1917,2.7416060977003553e-08,1.6449636319748606e-08
1918,4.479686754876866e-08,5.743188147278033e-09
1919,2.3940405213807026e-08,2.762354567309444e-09
1920,7.042175553806374e-08,7.572231730534895e-09
1921,4.240738649130549e-08,1.1359120866138994e-08
1922,4.648099505288883e-08,4.426761346376651e-09
1923,5.520292845062613e-08,1.2739137744688378e-08
1924,2.9650736754760487e-08,7.734974660777993e-09
1925,5.389107116116065e-08,3.299453377181294e-09
1926,6.01891469997895e-08,4.458455493683289e-09
1927,3.5677519605314956e-08,0.0
1928,4.1133747963328915e-08,7.998228745975666e-09
1929,5.235990929719492e-08,7.798284684668033e-09
1930,3.991369190714522e-08,1.0503603875555712e-08
1931,2.2810713318222042e-08,1.1405356659111021e-08
1932,3.7262425145456746e-08,1.3151443933878681e-08
1933,2.523545639121494e-08,1.4911860191091364e-08
1934,3.1152108448395666e-08,9.585264137967897e-09
1935,3.2314367182095793e-08,2.393656828303392e-09
1936,2.5461901032031165e-08,6.0623572828433225e-09
1937,2.6441348666139675e-08,6.295558963032022e-09
1938,2.3337386689803452e-08,7.779128452511941e-09
1939,2.9058695893979802e-08,1.5294050470515685e-09
1940,3.55009599495304e-08,7.607348528892999e-09
1941,3.541802984230458e-08,0.0
1942,1.517105907566929e-08,9.102635090130207e-09
1943,3.193558839598154e-08,1.4516176261025748e-08
1944,4.819779242382083e-08,1.927911696952833e-08
1945,2.6142048525912287e-08,6.535512131478072e-09
1946,4.037120149291695e-08,4.1763312808029696e-09
1947,2.8610091185043984e-08,1.549713202209091e-08
1948,3.1528474053743594e-08,8.697510267552389e-09
1949,3.337782894519137e-08,1.1780409536754632e-08
1950,3.403315673722318e-08,9.57182533234402e-09
1951,3.0918065441198905e-08,9.595261474260042e-09
1952,3.479785259941082e-08,4.217921456550755e-09
1953,1.939288862828903e-08,5.386913581872932e-09
1954,3.8112889733099564e-08,5.863521668203475e-09
1955,2.5341141185464267e-08,2.815682353940474e-09
1956,3.7500909044752007e-08,2.0058624761176702e-08
1957,3.180613505904262e-08,1.501956425897788e-08
1958,3.8052319517589694e-08,8.272243334772611e-09
1959,2.1702094787912074e-08,6.9756733722670106e-09
1960,2.9759583686228552e-08,6.228750015768725e-09
1961,2.223410922042035e-08,7.642975308197464e-09
1962,2.02942609384138e-08,1.0147130080628841e-08
1963,3.879631815806306e-08,7.112658795271898e-09
1964,3.7112207529332863e-08,1.0951142992432494e-08
1965,2.7360217647043328e-08,8.755269398363907e-09
1966,2.8249280692449474e-08,8.30861190959098e-09
1967,2.4158644418292852e-08,7.395503209828291e-09
1968,3.7278750308900044e-08,1.4821672222886662e-08
1969,2.815889876828237e-08,1.2716921682365268e-08
1970,3.587005403815624e-08,1.8854773409238135e-08
1971,4.162101907567717e-08,2.2608948491154024e-08
1972,3.283294014444493e-08,2.359867568024754e-08
1973,3.804110448868414e-08,1.2129048487796723e-08
1974,1.6314157580410438e-08,1.96895009185738e-08
1975,3.0270844497692906e-08,1.8276735680444745e-08
1976,3.313845509111957e-08,3.0853044341583313e-08
1977,2.703319657015868e-08,3.114694457906353e-08
1978,2.5544543369449002e-08,2.0198010375338527e-08
1979,2.1652302173436055e-08,2.63338808537128e-08
1980,1.8760996423061727e-08,3.240535972892644e-08
1981,2.846497215713839e-08,3.479052246291303e-08
1982,2.855450986771757e-08,3.848651397575509e-08
1983,3.0945048301589395e-08,4.168108747037991e-08
1984,3.131464687555763e-08,4.349256466085194e-08
1985,2.947623389815135e-08,5.5343134519603154e-08
1986,3.596691211527059e-08,5.6947612847579876e-08
1987,2.749867533680117e-08,6.110816830329213e-08
1988,3.7178633061074606e-08,7.555657610680555e-08
1989,3.128229586479847e-08,8.012658714307008e-08
1990,2.8332984847168063e-08,9.044760851395495e-08
1991,2.7548886727402078e-08,8.440510157470271e-08
1992,3.912060364541503e-08,8.04451847358223e-08
1993,3.988229213547356e-08,1.1133807120700112e-07
1994,3.956194927212664e-08,9.336620276911844e-08
1995,3.7957156528989344e-08,9.65196242930233e-08
1996,3.5231408013203236e-08,1.1797183852024773e-07
1997,2.5412941528912825e-08,9.44594242824337e-08
1998,3.814503291010851e-08,1.1968004720586123e-07
1999,2.970630763599047e-08,1.0602866407083411e-07
2000,3.9320480649251977e-08,1.1796143795095304e-07
2001,2.8039755406439326e-08,1.3012198785133933e-07
2002,3.329728492929007e-08,9.945372703157318e-08
2003,3.833568928968134e-08,1.1250692111275384e-07
2004,3.347641364115361e-08,1.1232217822509938e-07
2005,2.7923246825878323e-08,1.0944111838995241e-07
2006,3.294311889945334e-08,1.0871229072506594e-07
2007,3.994479413904628e-08,1.262255544531854e-07
2008,4.001993225699607e-08,1.1878256778175e-07
2009,4.052963786804753e-08,1.268339220317216e-07
2010,2.9759895436853867e-08,1.436033087998112e-07
2011,3.059177577924288e-08,1.62901201861132e-07
2012,3.5063803416335304e-08,1.6919135248372186e-07
2013,3.3190588499820706e-08,1.4001407855346315e-07
2014,3.897801459373795e-08,1.2516273528717647e-07
2015,3.568686501864704e-08,1.3099960405327238e-07
2016,3.6662719082869444e-08,1.2904448709605276e-07
2017,3.2954507567239943e-08,1.6099912159006635e-07
2018,4.311049472960349e-08,1.7270012619974295e-07
2019,3.698932271589683e-08,1.6453870799182369e-07
