year,premier_ADJ an_NOUN
1948,2.717971980814582e-08
1949,2.0615717910565934e-08
1950,9.571825110299415e-09
1951,3.1984206394497505e-09
1952,1.4762725264461096e-08
1953,8.619061908632375e-09
1954,4.886268278880834e-09
1955,4.6928039232341234e-09
1956,7.849027428008526e-09
1957,1.2369053004057662e-08
1958,1.2408365002158916e-08
1959,6.975673150222406e-09
1960,1.591791637389761e-08
1961,9.72742331128984e-09
1962,1.6489087428794846e-08
1963,1.2932106940866106e-08
1964,1.2776333768727e-08
1965,2.637524995074969e-07
1966,2.1048483844765542e-08
1967,2.4651678420806178e-08
1968,1.4372530721118437e-08
1969,1.8893712194767431e-07
1970,1.5175792539290356e-08
1971,1.849823050292798e-08
1972,1.5903454553267693e-08
1973,9.372446041489013e-09
1974,1.5751600079827455e-08
1975,9.138368284311582e-09
1976,1.2569759400005154e-08
1977,1.704266772151186e-08
1978,1.9009891771837317e-08
1979,1.6385525825057812e-08
1980,1.3644362084619388e-08
1981,1.0753433810073432e-08
1982,1.6760255960868164e-08
1983,6.946847541655643e-09
1984,1.3917620222958504e-08
1985,9.02333674446254e-09
1986,7.1933827783254856e-09
1987,7.332980445085013e-09
1988,1.3792074093910145e-08
1989,7.134558721588746e-09
1990,9.262707045820662e-09
1991,7.033758464558559e-09
1992,1.8733810946969243e-08
1993,9.416652346772025e-09
1994,1.0549853435293244e-08
1995,1.0302656505700725e-08
1996,1.0676184380997711e-08
1997,2.4933450859521145e-08
1998,1.668845261981744e-08
1999,1.2339542720951613e-08
2000,1.0161472663305915e-08
2001,1.1829271784336015e-08
2002,8.762442660348313e-09
2003,2.0417921575699438e-08
2004,7.047666006343434e-09
2005,9.007498746882447e-09
2006,1.1941880373456115e-08
2007,1.2782334302130494e-08
2008,4.683183701947868e-09
2009,7.15228898329201e-09
2010,6.613310454817167e-09
2011,1.1471915639660324e-09
2012,5.1063788752969685e-09
2013,4.741512571460049e-09
2014,6.279790909502481e-09
2015,3.103205609145121e-09
2016,3.5212781579474495e-09
2017,1.509366853724714e-09
2018,5.421079862788503e-09
2019,4.846876733299865e-09
