year,léger_ADJ salut_NOUN
1870,3.096386436141074e-08
1871,4.354682658913589e-08
1872,3.084143074261192e-08
1873,1.97538145840781e-08
1874,4.600449088343339e-08
1875,3.318485752856759e-08
1876,2.5997863417615008e-08
1877,5.00970109840182e-08
1878,2.536417298415472e-08
1879,4.3987142817059066e-08
1880,2.5029599726167362e-08
1881,2.5101027034679646e-08
1882,2.3959387362992857e-08
1883,1.9589950994713945e-08
1884,3.498899303622238e-08
1885,3.8029249083137984e-08
1886,3.1621972595985426e-08
1887,2.6115698048556624e-08
1888,2.9166827175686194e-08
1889,2.6940087494153886e-08
1890,1.9663159989136147e-08
1891,2.2947192590550003e-08
1892,2.9462007944403013e-08
1893,2.3401982574000613e-08
1894,3.843938856107343e-08
1895,2.5880042997528108e-08
1896,2.240870955461105e-08
1897,5.826713334045053e-09
1898,1.3580051749784161e-08
1899,2.1004797901014172e-08
1900,1.972600216504361e-08
1901,1.8442838367604963e-08
1902,2.553347577816112e-08
1903,1.5120615870500842e-08
1904,8.599400302955473e-09
1905,7.741138396966107e-09
1906,2.8807432883581896e-08
1907,2.3657079850636364e-08
1908,1.1787333775714615e-08
1909,2.53045246978445e-08
1910,2.0307773240801907e-08
1911,1.5961122201701983e-08
1912,2.3963337980603683e-08
1913,1.7499866444836698e-08
1914,1.875088173619588e-08
1915,8.246533234057551e-09
1916,7.69122365795738e-09
1917,2.1932848870420685e-09
1918,1.722956355365568e-08
1919,9.207848705727883e-09
1920,2.8017257847068322e-08
1921,1.1359120755116692e-08
1922,2.5822775029382683e-08
1923,2.0170300985000722e-08
1924,1.5469948877466777e-08
1925,2.859526304632709e-08
1926,1.7833821530643945e-08
1927,3.2332753363562006e-08
1928,3.427812345080383e-08
1929,1.5596569369336066e-08
1930,2.520864939015155e-08
1931,1.1405356659111021e-08
1932,2.9590749406338546e-08
1933,2.064719240024715e-08
1934,1.3179738189705859e-08
1935,1.3165112555668657e-08
1936,1.6974599503782883e-08
1937,1.0072894518486919e-08
1938,2.463390735840676e-08
1939,4.435274547631707e-08
1940,2.028626333583361e-08
1941,3.5418032950929046e-08
1942,1.517105907566929e-08
1943,8.709705845433291e-09
1944,3.534504600111177e-08
1945,2.178504132643866e-08
1946,2.7842208538686464e-08
1947,4.0530959921625254e-08
1948,1.6307831529616124e-08
1949,2.2579119018928395e-08
1950,2.2334258886758107e-08
1951,2.2388944032059044e-08
1952,2.1089608281954497e-08
1953,1.6160740301529586e-08
1954,9.772536557761669e-09
1955,3.191106756617046e-08
1956,2.0930739808022736e-08
1957,2.297109880089465e-08
1958,2.1507833736222892e-08
1959,1.5501495198577686e-08
1960,3.391208380776334e-08
1961,2.36237411854745e-08
1962,2.0928455413127267e-08
1963,3.814971449855875e-08
1964,2.1902286206909594e-08
1965,2.0793764932136583e-08
1966,2.880318916709257e-08
1967,1.824224149515885e-08
1968,8.533690198930799e-09
1969,1.2716921737876419e-08
1970,8.277704743875347e-09
1971,1.1304474689666222e-08
1972,1.1799337507056862e-08
1973,1.2129047988196362e-08
1974,1.012602890426706e-08
1975,5.711480177694739e-10
1976,6.2848797277581525e-09
1977,8.22749424145286e-09
1978,4.158414057542359e-09
1979,1.0533551808578068e-08
1980,7.390696055153967e-09
1981,5.060439622894819e-09
1982,6.2075020679230875e-09
1983,8.841442245000053e-09
1984,6.958810416790584e-09
1985,5.414002135495366e-09
1986,1.1988970927134801e-09
1987,1.0388388815840699e-08
1988,2.99827696004229e-09
1989,6.585746614717891e-09
1990,8.717841559757744e-09
1991,5.8614650910726596e-09
1992,6.61193322315512e-09
1993,8.308811416668505e-09
1994,4.747434001473039e-09
1995,4.337960657352369e-09
1996,5.3380921904988554e-09
1997,4.794894259418925e-09
1998,9.059445638115449e-09
1999,4.570201106446348e-09
2000,5.3016377954406835e-09
2001,3.943090742808408e-09
2002,6.133709984368352e-09
2003,1.0417307017007715e-08
2004,2.642874807889939e-09
2005,7.205999352777326e-09
2006,8.64756888319107e-09
2007,9.586750948642475e-09
2008,7.2376473703172906e-09
2009,1.0490023072406984e-08
2010,2.220182793166714e-08
2011,3.938691151006424e-08
2012,3.744677812278496e-08
2013,4.211578641388769e-08
2014,6.36640891116258e-08
2015,5.1646207310795944e-08
2016,5.364770672144914e-08
2017,2.968421419780043e-08
2018,4.104532180804199e-08
2019,5.5356434103259744e-08
