year,vos_DET aînés_NOUN
1941,8.854507926869815e-08
1942,6.978687139280737e-08
1943,4.3548528338988035e-08
1944,6.105053707017305e-08
1945,8.060464695702763e-08
1946,6.264496654750928e-08
1947,4.053096125389288e-08
1948,4.348755222594036e-08
1949,3.1414426393538974e-08
1950,3.403315540495555e-08
1951,3.838104511988405e-08
1952,5.799642188719645e-08
1953,3.555363037310855e-08
1954,3.713563812013376e-08
1955,3.003394510869839e-08
1956,2.7907653521452858e-08
1957,3.180613605824334e-08
1958,4.136121811715299e-08
1959,2.1702094343822864e-08
1960,3.668041614890427e-08
1961,2.4318558167202298e-08
1962,3.86859341228174e-08
1963,2.845063473699838e-08
1964,3.1028239422248305e-08
1965,4.6512369067386317e-08
1966,4.542041365240834e-08
1967,4.338695402950066e-08
1968,3.638046663922978e-08
1969,3.54257111978562e-08
1970,2.5292986927105687e-08
1971,4.316253754410582e-08
1972,3.078088040009419e-08
1973,2.1501495306441853e-08
1974,1.74392724705541e-08
1975,3.369773304839896e-08
1976,2.228275497451193e-08
1977,3.349765664850679e-08
1978,2.9702957538013663e-08
1979,3.9208221447317726e-08
1980,2.5014663285194416e-08
1981,1.5181318924195608e-08
1982,3.041676122084169e-08
1983,3.2839643893112225e-08
1984,2.3775934387959552e-08
1985,2.8273123287014812e-08
1986,1.3187867797803676e-08
1987,3.4220574485210875e-08
1988,2.3986215569316016e-08
1989,3.073348442406143e-08
1990,2.1794604454505873e-08
1991,2.05151273746651e-08
1992,3.250866953408149e-08
1993,2.4926432917737884e-08
1994,2.5847139484280746e-08
1995,2.0063068872921974e-08
1996,2.2953797085278893e-08
1997,2.4453961855464e-08
1998,2.1456582288692516e-08
1999,1.919484549084416e-08
2000,3.048441721276163e-08
2001,2.3658544096027967e-08
2002,2.716357361265409e-08
2003,3.2501998425971124e-08
2004,2.6428746663365033e-08
2005,3.1075872986008335e-08
2006,3.211954080484247e-08
2007,3.9545348329284025e-08
2008,4.087142035924529e-08
2009,2.9562792658310855e-08
2010,4.015223886710828e-08
2011,3.862211594984899e-08
2012,5.072336506373176e-08
2013,3.7932100127591184e-08
2014,4.222618099625208e-08
2015,3.568686235411178e-08
2016,3.914832646945143e-08
2017,4.5029441508859236e-08
2018,4.104532169701969e-08
2019,4.0560704794856406e-08
