year,vouliez_VERB être_VERB
1906,3.395161840558103e-08
1907,3.3428481316377656e-08
1908,3.634427869769752e-08
1909,2.475442606453271e-08
1910,3.4202564336283103e-08
1911,2.128149745317387e-08
1912,3.229841283314272e-08
1913,1.96210621083992e-08
1914,2.4777952134513725e-08
1915,2.238344798399794e-08
1916,3.29623865980011e-08
1917,1.6449636319748606e-08
1918,1.4932290071101306e-08
1919,1.5653341733923298e-08
1920,4.164727585020955e-08
1921,2.574734203619755e-08
1922,3.6151885041135756e-08
1923,2.1231896241147297e-08
1924,2.836157442231979e-08
1925,3.519416935660047e-08
1926,2.452150482668003e-08
1927,2.3413372574054847e-08
1928,2.6279895593006586e-08
1929,3.230717737778832e-08
1930,1.995684684175103e-08
1931,1.2545892325022123e-08
1932,9.863582839386709e-09
1933,3.211785326584504e-08
1934,2.3963160344919743e-08
1935,3.8298509252854274e-08
1936,2.3036957230715416e-08
1937,1.6368453259474336e-08
1938,2.074434313215079e-08
1939,1.5294050470515685e-08
1940,2.5357829169792012e-09
1941,2.066051862925633e-08
1942,3.034211815133858e-08
1943,1.7419411690866582e-08
1944,1.927911696952833e-08
1945,2.178504132643866e-08
1946,3.201854070766785e-08
1947,5.4836007734593295e-08
1948,2.717971980814582e-08
1949,2.0615717133409817e-08
1950,1.808011518278363e-08
1951,2.5587365115598004e-08
1952,1.8980646387944944e-08
1953,1.8315507332999914e-08
1954,3.224936762080688e-08
1955,2.815682265122632e-08
1956,1.657016923672927e-08
1957,2.5621609722747962e-08
1958,1.8198935691771112e-08
1959,1.8601795659378695e-08
1960,2.2838749558218296e-08
1961,3.057190056665604e-08
1962,2.7904608401740916e-08
1963,2.2631185814248056e-08
1964,2.8594651979574337e-08
1965,2.7907420374617686e-08
1966,2.76953731059848e-08
1967,3.303324902503846e-08
1968,1.2126823101255013e-08
1969,1.7712855182594467e-08
1970,1.9314645882673176e-08
1971,3.0316545718278576e-08
1972,2.257264597460562e-08
1973,2.3706776985932265e-08
1974,1.012602890426706e-08
1975,7.4249242310031605e-09
1976,1.428381679602353e-08
1977,9.402850942308305e-09
1978,2.1386128423728223e-08
1979,1.6385525825057812e-08
1980,2.1603572264439208e-08
1981,1.0753434587229549e-08
1982,1.8622506203769262e-08
1983,2.0209011353244932e-08
1984,1.275781880138993e-08
1985,2.3460676956688076e-08
1986,1.9182353483415682e-08
1987,1.3443797186596385e-08
1988,1.5591039570495013e-08
1989,2.469655058234821e-08
1990,9.80757164370516e-09
1991,2.6376593353916178e-08
1992,1.8182815253453555e-08
1993,2.1048988330107932e-08
1994,1.7407257857371405e-08
1995,1.1929391696696712e-08
1996,1.7615704450690828e-08
1997,1.054876808126437e-08
1998,1.4781200263769279e-08
1999,2.422206613061917e-08
2000,1.590491294223284e-08
2001,1.8839211080035057e-08
2002,1.7963008858146168e-08
2003,1.7084383685528337e-08
2004,1.761916479381398e-08
2005,1.6663873836364473e-08
2006,1.4824403926638752e-08
2007,2.5165221018141892e-08
2008,3.022782024686421e-08
2009,3.4807804638603557e-08
2010,3.070465481869178e-08
2011,3.709252638373073e-08
2012,5.9233997262708726e-08
2013,6.526552454033663e-08
2014,6.626262205600142e-08
2015,5.807427427839684e-08
2016,7.228976528494968e-08
2017,5.106690892375809e-08
2018,6.402037655561799e-08
2019,5.816252013346457e-08
