year,derniers_ADJ nombres_NOUN
1872,6.168286148522384e-08
1873,6.824045328812645e-08
1874,7.05003913026303e-08
1875,1.0699255881263525e-07
1876,7.85981910667033e-08
1877,7.8547159887421e-08
1878,4.891661831152305e-08
1879,5.009646741882534e-08
1880,4.55667077403632e-08
1881,5.159655458442103e-08
1882,5.523969548448804e-08
1883,9.03665480223026e-08
1884,6.40364632431556e-08
1885,7.928132106371777e-08
1886,2.5813855941692054e-08
1887,6.463635315867577e-08
1888,6.150396103521416e-08
1889,5.7012744747453326e-08
1890,3.8015443237782165e-08
1891,6.182993672609882e-08
1892,3.447681962143179e-08
1893,4.865148994781521e-08
1894,4.348062176973144e-08
1895,5.416752912879019e-08
1896,4.2458609073037223e-08
1897,4.603103676004139e-08
1898,4.6964345301603316e-08
1899,6.577818112418754e-08
1900,4.6200373304827735e-08
1901,5.532851687917173e-08
1902,3.5845072687834545e-08
1903,3.7801541452608944e-08
1904,6.557042553367864e-08
1905,5.005936287716395e-08
1906,6.790323681116206e-08
1907,7.559980019777868e-08
1908,5.058730678797474e-08
1909,3.905698164885507e-08
1910,4.756294202934441e-08
1911,6.650467554436545e-08
1912,4.948950049765699e-08
1913,6.151468312509678e-08
1914,4.2859159776753586e-08
1915,4.005459075528961e-08
1916,5.383856560570166e-08
1917,4.276905585243185e-08
1918,4.5945505178224266e-08
1919,4.603924352863942e-08
1920,3.9375606775138294e-08
1921,2.7261890522822796e-08
1922,2.6560567079059183e-08
1923,2.0170300985000722e-08
1924,3.480738541838946e-08
1925,2.639562701745035e-08
1926,3.6782257240020044e-08
1927,3.7907366134959375e-08
1928,2.6279895593006586e-08
1929,7.798284684668033e-09
1930,3.466189113510154e-08
1931,1.1405356659111021e-08
1932,4.4934100884574946e-08
1933,1.9500125958415992e-08
1934,1.4377896206951846e-08
1935,3.351119559624749e-08
1936,1.33371855781661e-08
1937,2.895957251780601e-08
1938,2.9819993585533666e-08
1939,2.2941076593951948e-08
1940,5.325144059042941e-08
1941,5.017554371988808e-08
1942,2.1239483061208375e-08
1943,1.4516175816936538e-08
1944,6.7476911169706e-08
1945,3.703456741277478e-08
1946,1.3921104269343232e-08
1947,2.26496545963073e-08
1948,1.7395020535104777e-08
1949,8.835307596655184e-09
1950,2.3397795700930146e-08
1951,1.8124383771578323e-08
1952,3.268889159357968e-08
1953,2.3702419582605216e-08
1954,2.34540866728139e-08
1955,1.3139850985055546e-08
1956,2.7907653077363648e-08
1957,1.8553580005686854e-08
1958,9.099467845885556e-09
1959,1.4726420971555854e-08
1960,1.038124963770315e-08
1961,2.153929301584867e-08
1962,1.4586500007851555e-08
1963,2.133797494252576e-08
1964,1.034274621503073e-08
1965,1.3680108601477059e-08
1966,1.3293779410616935e-08
1967,5.916402479044791e-09
1968,7.186265360559219e-09
1969,1.7712855182594467e-08
1970,5.978342709767048e-09
1971,8.735275613958038e-09
1972,1.3338381954497436e-08
1973,9.37244681864513e-09
1974,3.937900228123681e-09
1975,6.8537762132336866e-09
1976,7.427584769459372e-09
1977,4.11374712072643e-09
1978,4.752473081737207e-09
1979,8.192762912528906e-09
1980,3.97960553399912e-09
1981,5.060439622894819e-09
1982,9.932003663948308e-09
1983,6.315316269933646e-09
1984,3.479405208395292e-09
1985,4.210890747202711e-09
1986,4.7955883708539204e-09
1987,4.277571630240118e-09
1988,5.99655392008458e-09
1989,9.329808037250586e-09
1990,6.538381391862913e-09
1991,2.344586080837985e-09
1992,6.060938417817852e-09
1993,5.539207315052863e-09
1994,6.329911705904578e-09
1995,1.626735190995987e-09
1996,3.2028553142993132e-09
1997,5.753873377756236e-09
1998,8.10582001520288e-09
1999,4.113180906983871e-09
2000,7.068850393920911e-09
2001,3.066848330846028e-09
2002,6.133709984368352e-09
2003,7.91715315529018e-09
2004,7.488145215006625e-09
2005,9.007498746882447e-09
2006,4.117890028965121e-09
2007,3.994479413904628e-09
2008,2.554463751636149e-09
2009,1.0490023072406984e-08
2010,3.7790344187271785e-09
2011,5.7359579308524644e-09
2012,3.4042526575461807e-09
2013,4.741512515948898e-09
2014,4.114345752981308e-09
2015,4.43315073539452e-09
2016,5.3854840587064245e-09
2017,4.779661555431858e-09
2018,3.614053500911041e-09
2019,5.3570743396846865e-09
